date,visitors
2016-07-01,18
2016-07-02,16
2016-07-03,24
2016-07-04,16
2016-07-05,36
2016-07-06,9
2016-07-07,10
2016-07-08,15
2016-07-09,38
2016-07-10,25
2016-07-11,12
2016-07-12,12
2016-07-13,8
2016-07-15,57
2016-07-16,18
2016-07-17,17
2016-07-18,17
2016-07-19,9
2016-07-20,14
2016-07-21,25
2016-07-22,10
2016-07-23,16
2016-07-24,17
2016-07-25,9
2016-07-27,33
2016-07-28,16
2016-07-29,11
2016-07-30,19
2016-07-31,22
2016-08-01,84
2016-08-03,7
2016-08-04,18
2016-08-05,9
2016-08-06,42
2016-08-07,12
2016-08-08,6
2016-08-09,11
2016-08-10,39
2016-08-11,11
2016-08-12,9
2016-08-14,43
2016-08-15,18
2016-08-16,10
2016-08-17,9
2016-08-18,25
2016-08-19,16
2016-08-20,19
2016-08-21,28
2016-08-22,15
2016-08-23,10
2016-08-24,13
2016-08-25,10
2016-08-26,42
2016-08-27,13
2016-08-28,9
2016-08-29,11
2016-08-30,6
2016-08-31,13
2016-09-01,14
2016-09-02,23
2016-09-03,18
2016-09-04,2
2016-09-05,12
2016-09-07,11
2016-09-08,10
2016-09-09,12
2016-09-10,34
2016-09-11,30
2016-09-12,31
2016-09-13,6
2016-09-14,21
2016-09-15,6
2016-09-16,46
2016-09-17,12
2016-09-18,10
2016-09-19,22
2016-09-21,6
2016-09-22,38
2016-09-23,14
2016-09-24,14
2016-09-25,28
2016-09-26,22
2016-09-27,18
2016-09-28,9
2016-09-29,12
2016-09-30,6
2016-10-01,11
2016-10-02,38
2016-10-03,10
2016-10-04,8
2016-10-05,7
2016-10-06,7
2016-10-07,35
2016-10-08,29
2016-10-09,23
2016-10-10,51
2016-10-11,7
2016-10-13,17
2016-10-14,18
2016-10-15,18
2016-10-16,17
2016-10-17,13
2016-10-18,10
2016-10-19,9
2016-10-20,10
2016-10-21,6
2016-10-22,13
2016-10-23,15
2016-10-24,13
2016-10-26,48
2016-10-27,27
2016-10-28,63
2016-10-29,29
2016-10-30,41
2016-10-31,8
2016-11-01,8
2016-11-02,18
2016-11-03,14
2016-11-04,13
2016-11-05,16
2016-11-06,52
2016-11-07,26
2016-11-09,5
2016-11-10,9
2016-11-11,22
2016-11-12,23
2016-11-13,24
2016-11-14,23
2016-11-15,18
2016-11-16,30
2016-11-17,25
2016-11-18,73
2016-11-19,17
2016-11-20,18
2016-11-21,27
2016-11-22,50
2016-11-23,6
2016-11-24,9
2016-11-25,5
2016-11-26,28
2016-11-27,18
2016-11-28,10
2016-11-29,12
2016-11-30,4
2016-12-01,7
2016-12-02,36
2016-12-03,20
2016-12-04,12
2016-12-05,13
2016-12-07,31
2016-12-08,7
2016-12-09,19
2016-12-10,24
2016-12-11,34
2016-12-12,14
2016-12-13,1
2016-12-14,14
2016-12-15,13
2016-12-16,2
2016-12-17,20
2016-12-18,24
2016-12-19,29
2016-12-20,15
2016-12-21,42
2016-12-22,28
2016-12-23,68
2016-12-24,57
2016-12-25,10
2016-12-26,11
2016-12-28,128
2016-12-30,17
2016-12-31,29
2017-01-05,28
2017-01-06,7
2017-01-07,13
2017-01-08,14
2017-01-09,13
2017-01-10,2
2017-01-11,16
2017-01-12,3
2017-01-13,5
2017-01-14,3
2017-01-15,11
2017-01-16,6
2017-01-17,17
2017-01-18,4
2017-01-19,24
2017-01-20,7
2017-01-21,23
2017-01-22,28
2017-01-23,13
2017-01-24,5
2017-01-25,8
2017-01-26,12
2017-01-27,14
2017-01-28,18
2017-01-29,10
2017-01-30,24
2017-01-31,11
2017-02-01,49
2017-02-02,3
2017-02-03,7
2017-02-04,20
2017-02-05,9
2017-02-06,6
2017-02-07,4
2017-02-08,8
2017-02-09,10
2017-02-10,23
2017-02-11,10
2017-02-12,23
2017-02-13,13
2017-02-14,5
2017-02-15,12
2017-02-16,14
2017-02-17,50
2017-02-18,26
2017-02-19,14
2017-02-20,5
2017-02-21,30
2017-02-22,8
2017-02-23,18
