date,visitors
2016-01-05,15
2016-01-06,11
2016-01-07,7
2016-01-08,18
2016-01-09,16
2016-01-10,10
2016-01-12,7
2016-01-13,7
2016-01-14,8
2016-01-15,11
2016-01-16,20
2016-01-17,9
2016-01-19,14
2016-01-20,4
2016-01-21,10
2016-01-22,12
2016-01-23,8
2016-01-24,11
2016-01-26,11
2016-01-27,14
2016-01-28,9
2016-01-29,15
2016-01-30,14
2016-01-31,12
2016-02-02,9
2016-02-03,14
2016-02-04,9
2016-02-05,5
2016-02-06,12
2016-02-07,6
2016-02-09,12
2016-02-10,4
2016-02-11,3
2016-02-12,12
2016-02-13,11
2016-02-14,6
2016-02-17,5
2016-02-18,8
2016-02-19,12
2016-02-20,16
2016-02-21,13
2016-02-23,4
2016-02-24,4
2016-02-25,3
2016-02-26,10
2016-02-27,15
2016-02-28,9
2016-03-01,11
2016-03-02,4
2016-03-03,6
2016-03-04,12
2016-03-05,16
2016-03-06,15
2016-03-08,14
2016-03-09,2
2016-03-10,4
2016-03-11,12
2016-03-12,13
2016-03-13,14
2016-03-15,2
2016-03-16,3
2016-03-17,12
2016-03-18,13
2016-03-19,14
2016-03-20,16
2016-03-22,14
2016-03-23,11
2016-03-24,1
2016-03-25,11
2016-03-26,12
2016-03-27,16
2016-03-29,12
2016-03-30,12
2016-03-31,16
2016-04-01,15
2016-04-02,2
2016-04-03,16
2016-04-05,7
2016-04-06,7
2016-04-07,5
2016-04-08,12
2016-04-09,10
2016-04-10,13
2016-04-12,12
2016-04-13,10
2016-04-14,10
2016-04-15,2
2016-04-16,13
2016-04-17,10
2016-04-19,11
2016-04-20,12
2016-04-21,7
2016-04-22,10
2016-04-23,10
2016-04-24,13
2016-04-26,12
2016-04-27,14
2016-04-28,10
2016-04-29,15
2016-04-30,15
2016-05-01,9
2016-05-02,11
2016-05-03,11
2016-05-06,13
2016-05-07,14
2016-05-08,17
2016-05-10,6
2016-05-11,5
2016-05-12,10
2016-05-13,13
2016-05-14,18
2016-05-15,14
2016-05-17,8
2016-05-18,10
2016-05-19,11
2016-05-20,12
2016-05-21,18
2016-05-22,9
2016-05-24,9
2016-05-25,6
2016-05-26,10
2016-05-27,11
2016-05-28,16
2016-05-29,18
2016-05-31,7
2016-06-01,6
2016-06-02,13
2016-06-03,12
2016-06-04,14
2016-06-05,17
2016-06-07,11
2016-06-08,10
2016-06-09,10
2016-06-10,10
2016-06-11,17
2016-06-12,15
2016-06-14,10
2016-06-15,6
2016-06-16,11
2016-06-17,14
2016-06-18,12
2016-06-19,6
2016-06-21,12
2016-06-22,10
2016-06-23,8
2016-06-24,11
2016-06-25,18
2016-06-26,18
2016-06-28,14
2016-06-29,9
2016-06-30,15
2016-07-01,12
2016-07-02,19
2016-07-03,13
2016-07-05,8
2016-07-06,9
2016-07-07,9
2016-07-08,8
2016-07-09,8
2016-07-10,10
2016-07-12,7
2016-07-13,6
2016-07-14,5
2016-07-15,5
2016-07-16,5
2016-07-17,9
2016-07-19,6
2016-07-20,3
2016-07-21,2
2016-07-22,7
2016-07-23,4
2016-07-24,5
2016-07-26,5
2016-07-27,4
2016-07-28,7
2016-07-29,9
2016-07-30,6
2016-07-31,7
2016-08-02,4
2016-08-03,5
2016-08-04,3
2016-08-05,4
2016-08-06,1
2016-08-07,8
2016-08-09,7
2016-08-10,7
2016-08-11,3
2016-08-12,4
2016-08-13,8
2016-08-14,4
2016-08-17,5
2016-08-18,4
2016-08-19,5
2016-08-20,3
2016-08-21,7
2016-08-23,2
2016-08-24,8
2016-08-25,2
2016-08-26,9
2016-08-27,2
2016-08-28,4
2016-08-30,4
2016-08-31,2
2016-09-01,4
2016-09-02,5
2016-09-03,3
2016-09-04,8
2016-09-06,3
2016-09-07,4
2016-09-09,13
2016-09-10,17
2016-09-11,13
2016-09-13,11
2016-09-14,7
2016-09-15,10
2016-09-16,11
2016-09-17,7
2016-09-18,12
2016-09-20,6
2016-09-21,15
2016-09-22,8
2016-09-23,10
2016-09-24,11
2016-09-26,3
2016-09-27,8
2016-09-28,3
2016-09-29,10
2016-09-30,13
2016-10-01,10
2016-10-02,11
2016-10-04,7
2016-10-05,8
2016-10-06,9
2016-10-07,11
2016-10-08,17
2016-10-09,15
2016-10-11,12
2016-10-12,11
2016-10-13,10
2016-10-14,9
2016-10-15,13
2016-10-16,13
2016-10-20,3
2016-10-21,17
2016-10-22,16
2016-10-23,12
2016-10-25,5
2016-10-26,5
2016-10-27,6
2016-10-28,11
2016-10-29,13
2016-10-30,16
2016-11-01,11
2016-11-02,7
2016-11-03,20
2016-11-04,6
2016-11-05,12
2016-11-06,10
2016-11-08,5
2016-11-09,8
2016-11-10,3
2016-11-11,6
2016-11-12,13
2016-11-13,9
2016-11-15,1
2016-11-16,8
2016-11-17,9
2016-11-18,8
2016-11-19,12
2016-11-20,12
2016-11-22,6
2016-11-23,16
2016-11-24,8
2016-11-25,6
2016-11-26,13
2016-11-29,12
2016-11-30,6
2016-12-01,10
2016-12-02,9
2016-12-03,6
2016-12-04,15
2016-12-06,7
2016-12-07,6
2016-12-08,12
2016-12-09,14
2016-12-11,4
2016-12-13,9
2016-12-14,7
2016-12-15,2
2016-12-16,9
2016-12-17,2
2016-12-18,8
2016-12-20,11
2016-12-21,5
2016-12-22,15
2016-12-23,9
2016-12-24,8
2016-12-25,11
2016-12-27,14
2016-12-28,14
2016-12-29,12
2016-12-30,16
2017-01-04,4
2017-01-05,7
2017-01-06,6
2017-01-07,3
2017-01-08,11
2017-01-10,5
2017-01-11,2
2017-01-12,8
2017-01-13,5
2017-01-14,10
2017-01-15,5
2017-01-18,10
