date,visitors
2016-07-01,42
2016-07-02,32
2016-07-03,20
2016-07-04,11
2016-07-05,16
2016-07-06,19
2016-07-07,19
2016-07-08,49
2016-07-09,28
2016-07-10,13
2016-07-11,20
2016-07-12,20
2016-07-13,16
2016-07-14,13
2016-07-15,29
2016-07-16,44
2016-07-17,23
2016-07-19,35
2016-07-20,15
2016-07-21,21
2016-07-22,43
2016-07-23,34
2016-07-24,11
2016-07-25,15
2016-07-26,10
2016-07-27,18
2016-07-28,37
2016-07-29,37
2016-08-01,13
2016-08-02,10
2016-08-03,32
2016-08-04,9
2016-08-05,36
2016-08-06,29
2016-08-07,26
2016-08-08,12
2016-08-09,14
2016-08-10,21
2016-08-11,22
2016-08-12,30
2016-08-13,13
2016-08-14,5
2016-08-16,13
2016-08-17,23
2016-08-18,20
2016-08-19,39
2016-08-20,33
2016-08-21,10
2016-08-22,9
2016-08-23,15
2016-08-24,27
2016-08-25,11
2016-08-26,43
2016-08-27,23
2016-08-29,8
2016-08-30,18
2016-08-31,34
2016-09-01,21
2016-09-02,41
2016-09-03,36
2016-09-05,13
2016-09-06,10
2016-09-07,21
2016-09-08,30
2016-09-09,32
2016-09-10,31
2016-09-11,3
2016-09-12,5
2016-09-13,13
2016-09-14,21
2016-09-15,19
2016-09-16,38
2016-09-17,49
2016-09-20,3
2016-09-21,20
2016-09-22,24
2016-09-23,13
2016-09-24,38
2016-09-26,28
2016-09-27,16
2016-09-28,16
2016-09-29,23
2016-09-30,17
2016-10-01,34
2016-10-03,13
2016-10-04,33
2016-10-05,16
2016-10-06,21
2016-10-07,45
2016-10-08,36
2016-10-09,16
2016-10-10,4
2016-10-11,20
2016-10-12,20
2016-10-13,33
2016-10-14,41
2016-10-15,36
2016-10-16,1
2016-10-17,7
2016-10-18,21
2016-10-19,23
2016-10-20,38
2016-10-21,35
2016-10-22,39
2016-10-24,21
2016-10-25,29
2016-10-26,15
2016-10-27,32
2016-10-28,34
2016-10-29,25
2016-10-31,20
2016-11-01,26
2016-11-02,20
2016-11-03,17
2016-11-04,30
2016-11-05,31
2016-11-07,12
2016-11-08,18
2016-11-09,30
2016-11-10,29
2016-11-11,39
2016-11-12,43
2016-11-14,14
2016-11-15,23
2016-11-16,34
2016-11-17,39
2016-11-18,43
2016-11-19,24
2016-11-21,17
2016-11-22,34
2016-11-23,33
2016-11-24,7
2016-11-25,45
2016-11-26,46
2016-11-28,19
2016-11-29,11
2016-11-30,28
2016-12-01,30
2016-12-02,43
2016-12-03,34
2016-12-05,6
2016-12-06,14
2016-12-07,31
2016-12-08,22
2016-12-09,59
2016-12-10,32
2016-12-12,26
2016-12-13,23
2016-12-14,28
2016-12-15,35
2016-12-16,45
2016-12-17,57
2016-12-19,25
2016-12-20,25
2016-12-21,25
2016-12-22,49
2016-12-23,29
2016-12-24,19
2016-12-26,37
2016-12-27,36
2016-12-28,38
2016-12-29,34
2016-12-30,29
2016-12-31,1
2017-01-05,9
2017-01-06,29
2017-01-07,40
2017-01-08,6
2017-01-10,20
2017-01-11,23
2017-01-12,24
2017-01-13,33
2017-01-14,34
2017-01-16,23
2017-01-17,33
2017-01-18,19
2017-01-19,10
2017-01-20,50
2017-01-21,22
2017-01-23,2
2017-01-24,15
2017-01-25,21
2017-01-26,43
2017-01-27,30
2017-01-28,45
2017-01-30,17
2017-01-31,34
2017-02-01,24
2017-02-02,33
2017-02-03,35
2017-02-04,29
2017-02-06,23
2017-02-07,13
2017-02-08,29
2017-02-09,15
2017-02-10,43
2017-02-11,30
2017-02-13,23
2017-02-14,18
2017-02-15,13
2017-02-16,20
2017-02-17,41
2017-02-18,33
2017-02-20,4
2017-02-21,21
