date,visitors
2016-07-01,33
2016-07-02,26
2016-07-03,45
2016-07-04,13
2016-07-05,2
2016-07-06,24
2016-07-07,23
2016-07-08,13
2016-07-09,38
2016-07-10,25
2016-07-11,24
2016-07-12,2
2016-07-13,18
2016-07-14,25
2016-07-15,20
2016-07-16,37
2016-07-17,33
2016-07-18,28
2016-07-19,6
2016-07-20,19
2016-07-21,19
2016-07-22,28
2016-07-23,42
2016-07-24,30
2016-07-25,17
2016-07-27,26
2016-07-28,19
2016-07-29,19
2016-07-30,45
2016-07-31,23
2016-08-01,21
2016-08-02,11
2016-08-03,19
2016-08-04,33
2016-08-05,26
2016-08-06,26
2016-08-07,23
2016-08-08,22
2016-08-09,7
2016-08-10,26
2016-08-11,30
2016-08-12,28
2016-08-13,25
2016-08-14,35
2016-08-15,23
2016-08-17,28
2016-08-18,24
2016-08-19,33
2016-08-20,32
2016-08-21,29
2016-08-22,21
2016-08-24,12
2016-08-25,24
2016-08-26,28
2016-08-27,33
2016-08-28,32
2016-08-29,19
2016-08-31,20
2016-09-01,29
2016-09-02,22
2016-09-03,20
2016-09-04,28
2016-09-05,13
2016-09-07,12
2016-09-08,24
2016-09-09,30
2016-09-10,31
2016-09-11,33
2016-09-12,22
2016-09-13,2
2016-09-14,22
2016-09-15,17
2016-09-16,28
2016-09-17,23
2016-09-18,27
2016-09-19,25
2016-09-20,3
2016-09-21,19
2016-09-22,38
2016-09-23,22
2016-09-24,25
2016-09-25,31
2016-09-26,21
2016-09-27,7
2016-09-28,8
2016-09-29,32
2016-09-30,27
2016-10-01,38
2016-10-02,17
2016-10-03,23
2016-10-04,4
2016-10-05,19
2016-10-06,23
2016-10-07,22
2016-10-08,34
2016-10-09,30
2016-10-10,31
2016-10-11,21
2016-10-12,31
2016-10-13,3
2016-10-14,25
2016-10-15,27
2016-10-16,22
2016-10-17,19
2016-10-19,16
2016-10-20,23
2016-10-21,28
2016-10-22,32
2016-10-23,25
2016-10-24,17
2016-10-25,4
2016-10-26,12
2016-10-27,21
2016-10-28,32
2016-10-29,30
2016-10-30,24
2016-10-31,8
2016-11-02,20
2016-11-03,28
2016-11-04,16
2016-11-05,26
2016-11-06,24
2016-11-07,10
2016-11-09,25
2016-11-10,14
2016-11-11,26
2016-11-12,42
2016-11-13,24
2016-11-14,16
2016-11-15,7
2016-11-16,16
2016-11-17,17
2016-11-18,26
2016-11-19,31
2016-11-20,28
2016-11-22,18
2016-11-23,23
2016-11-24,13
2016-11-25,23
2016-11-26,35
2016-11-27,33
2016-11-28,19
2016-11-29,3
2016-11-30,10
2016-12-01,18
2016-12-02,22
2016-12-03,40
2016-12-04,31
2016-12-05,16
2016-12-06,2
2016-12-07,15
2016-12-08,23
2016-12-09,28
2016-12-10,40
2016-12-11,33
2016-12-12,12
2016-12-13,11
2016-12-14,19
2016-12-15,36
2016-12-16,26
2016-12-17,35
2016-12-18,29
2016-12-19,12
2016-12-20,21
2016-12-21,24
2016-12-22,25
2016-12-23,37
2016-12-24,29
2016-12-25,36
2016-12-26,27
2016-12-27,23
2016-12-28,24
2016-12-29,30
2016-12-30,12
2017-01-06,16
2017-01-07,29
2017-01-08,35
2017-01-09,23
2017-01-11,5
2017-01-12,18
2017-01-13,19
2017-01-14,36
2017-01-15,36
2017-01-16,8
2017-01-18,15
2017-01-19,33
2017-01-20,26
2017-01-21,30
2017-01-22,22
2017-01-23,8
2017-01-24,10
2017-01-25,20
2017-01-26,34
2017-01-27,26
2017-01-28,33
2017-01-29,32
2017-01-30,23
2017-01-31,2
2017-02-01,20
2017-02-02,17
2017-02-03,21
2017-02-04,44
2017-02-05,17
2017-02-06,20
2017-02-08,22
2017-02-09,20
2017-02-10,27
2017-02-11,25
2017-02-12,30
2017-02-13,9
2017-02-14,10
2017-02-15,26
2017-02-16,18
2017-02-17,21
2017-02-18,29
2017-02-19,32
2017-02-20,4
2017-02-22,20
