date,visitors
2016-07-01,10
2016-07-02,16
2016-07-03,21
2016-07-04,6
2016-07-05,15
2016-07-06,16
2016-07-07,7
2016-07-08,7
2016-07-09,17
2016-07-10,26
2016-07-11,10
2016-07-12,12
2016-07-13,8
2016-07-14,6
2016-07-15,16
2016-07-16,12
2016-07-17,17
2016-07-18,20
2016-07-19,8
2016-07-20,10
2016-07-21,4
2016-07-22,15
2016-07-23,21
2016-07-24,15
2016-07-25,14
2016-07-26,11
2016-07-27,13
2016-07-28,1
2016-07-29,12
2016-07-30,11
2016-07-31,13
2016-08-01,5
2016-08-02,9
2016-08-03,11
2016-08-04,6
2016-08-05,12
2016-08-06,8
2016-08-07,24
2016-08-08,11
2016-08-09,14
2016-08-10,19
2016-08-11,14
2016-08-12,17
2016-08-13,34
2016-08-14,11
2016-08-15,17
2016-08-16,14
2016-08-17,13
2016-08-18,5
2016-08-19,8
2016-08-20,11
2016-08-21,9
2016-08-22,19
2016-08-23,8
2016-08-24,11
2016-08-26,7
2016-08-27,18
2016-08-28,14
2016-08-29,8
2016-08-30,9
2016-08-31,11
2016-09-02,15
2016-09-03,12
2016-09-04,12
2016-09-05,15
2016-09-06,7
2016-09-07,3
2016-09-09,14
2016-09-10,5
2016-09-11,20
2016-09-12,9
2016-09-13,12
2016-09-14,9
2016-09-15,5
2016-09-16,11
2016-09-17,17
2016-09-18,8
2016-09-19,12
2016-09-20,16
2016-09-21,20
2016-09-22,11
2016-09-23,10
2016-09-24,26
2016-09-25,12
2016-09-26,15
2016-09-27,3
2016-09-28,6
2016-09-29,4
2016-09-30,16
2016-10-01,16
2016-10-02,13
2016-10-03,15
2016-10-04,10
2016-10-05,7
2016-10-06,6
2016-10-07,14
2016-10-08,4
2016-10-09,12
2016-10-10,27
2016-10-11,11
2016-10-12,19
2016-10-13,1
2016-10-14,23
2016-10-15,19
2016-10-16,15
2016-10-17,10
2016-10-18,10
2016-10-19,21
2016-10-20,5
2016-10-21,7
2016-10-22,7
2016-10-23,7
2016-10-24,14
2016-10-25,16
2016-10-26,14
2016-10-27,4
2016-10-28,11
2016-10-29,13
2016-10-30,18
2016-10-31,12
2016-11-01,14
2016-11-02,14
2016-11-03,2
2016-11-04,12
2016-11-05,16
2016-11-06,20
2016-11-07,13
2016-11-08,11
2016-11-09,15
2016-11-11,12
2016-11-12,15
2016-11-13,8
2016-11-14,11
2016-11-15,19
2016-11-16,9
2016-11-18,10
2016-11-19,12
2016-11-20,20
2016-11-21,15
2016-11-22,10
2016-11-23,10
2016-11-24,4
2016-11-25,8
2016-11-26,11
2016-11-27,17
2016-11-28,8
2016-11-29,13
2016-11-30,13
2016-12-02,13
2016-12-03,18
2016-12-04,20
2016-12-05,14
2016-12-06,19
2016-12-07,15
2016-12-09,17
2016-12-10,5
2016-12-11,18
2016-12-12,11
2016-12-13,14
2016-12-14,12
2016-12-16,9
2016-12-17,26
2016-12-18,23
2016-12-19,7
2016-12-20,16
2016-12-21,6
2016-12-23,8
2016-12-24,10
2016-12-25,17
2016-12-26,13
2016-12-27,14
2016-12-28,13
2016-12-29,11
2016-12-30,25
2016-12-31,8
2017-01-02,25
2017-01-03,25
2017-01-04,25
2017-01-05,1
2017-01-06,8
2017-01-07,19
2017-01-08,23
2017-01-09,13
2017-01-10,20
2017-01-11,13
2017-01-12,6
2017-01-13,20
2017-01-14,8
2017-01-15,14
2017-01-16,17
2017-01-17,14
2017-01-18,11
2017-01-20,16
2017-01-21,11
2017-01-22,18
2017-01-23,4
2017-01-24,16
2017-01-25,21
2017-01-26,1
2017-01-27,11
2017-01-28,11
2017-01-29,22
2017-01-30,11
2017-01-31,17
2017-02-01,11
2017-02-03,12
2017-02-04,22
2017-02-05,17
2017-02-06,13
2017-02-07,15
2017-02-08,10
2017-02-10,14
2017-02-11,20
2017-02-12,28
2017-02-13,16
2017-02-14,22
2017-02-15,15
2017-02-17,20
2017-02-18,13
2017-02-19,12
