date,visitors
2016-07-01,25
2016-07-02,33
2016-07-03,34
2016-07-04,26
2016-07-05,23
2016-07-06,28
2016-07-08,22
2016-07-09,34
2016-07-10,44
2016-07-11,28
2016-07-12,19
2016-07-13,27
2016-07-15,22
2016-07-16,54
2016-07-17,46
2016-07-18,35
2016-07-19,23
2016-07-20,20
2016-07-22,28
2016-07-23,42
2016-07-24,50
2016-07-25,22
2016-07-26,24
2016-07-27,32
2016-07-29,25
2016-07-30,35
2016-07-31,51
2016-08-01,24
2016-08-02,16
2016-08-03,21
2016-08-07,30
2016-08-08,16
2016-08-09,12
2016-08-10,18
2016-08-11,26
2016-08-12,26
2016-08-13,35
2016-08-14,36
2016-08-15,24
2016-08-16,20
2016-08-17,17
2016-08-19,30
2016-08-20,31
2016-08-21,40
2016-08-22,13
2016-08-23,31
2016-08-24,28
2016-08-26,42
2016-08-27,47
2016-08-28,58
2016-08-29,28
2016-08-30,29
2016-08-31,31
2016-09-02,26
2016-09-03,38
2016-09-04,55
2016-09-05,25
2016-09-06,19
2016-09-07,21
2016-09-09,28
2016-09-10,42
2016-09-11,39
2016-09-12,18
2016-09-13,21
2016-09-16,22
2016-09-17,35
2016-09-18,39
2016-09-19,31
2016-09-20,10
2016-09-21,27
2016-09-22,34
2016-09-23,16
2016-09-24,31
2016-09-25,57
2016-09-26,34
2016-09-27,22
2016-09-28,23
2016-09-30,31
2016-10-01,44
2016-10-02,46
2016-10-03,15
2016-10-04,33
2016-10-05,28
2016-10-07,29
2016-10-08,39
2016-10-09,34
2016-10-10,45
2016-10-11,22
2016-10-12,31
2016-10-14,27
2016-10-15,49
2016-10-16,49
2016-10-17,16
2016-10-18,26
2016-10-19,30
2016-10-21,29
2016-10-22,129
2016-10-23,129
2016-10-24,83
2016-10-25,78
2016-10-26,108
2016-10-28,20
2016-10-29,50
2016-10-30,52
2016-10-31,40
2016-11-01,28
2016-11-02,29
2016-11-03,41
2016-11-04,23
2016-11-05,40
2016-11-06,64
2016-11-07,29
2016-11-11,18
2016-11-12,54
2016-11-13,53
2016-11-14,22
2016-11-15,29
2016-11-16,24
2016-11-18,31
2016-11-19,43
2016-11-20,60
2016-11-21,26
2016-11-22,30
2016-11-23,54
2016-11-25,20
2016-11-26,62
2016-11-27,35
2016-11-28,29
2016-11-29,29
2016-11-30,26
2016-12-02,25
2016-12-03,66
2016-12-04,47
2016-12-05,25
2016-12-06,36
2016-12-07,22
2016-12-08,1
2016-12-09,31
2016-12-10,53
2016-12-11,41
2016-12-12,34
2016-12-13,22
2016-12-14,34
2016-12-15,3
2016-12-16,24
2016-12-17,51
2016-12-18,46
2016-12-19,32
2016-12-20,24
2016-12-21,44
2016-12-22,23
2016-12-23,52
2016-12-24,140
2016-12-25,78
2016-12-26,35
2016-12-27,18
2016-12-28,32
2017-01-04,19
2017-01-05,24
2017-01-06,24
2017-01-07,35
2017-01-08,38
2017-01-09,30
2017-01-10,27
2017-01-11,25
2017-01-13,20
2017-01-14,34
2017-01-15,34
2017-01-16,26
2017-01-17,20
2017-01-18,32
2017-01-20,10
2017-01-21,45
2017-01-22,50
2017-01-23,23
2017-01-24,22
2017-01-25,16
2017-01-27,25
2017-01-28,48
2017-01-29,54
2017-01-30,39
2017-01-31,31
2017-02-01,19
2017-02-02,4
2017-02-03,21
2017-02-04,52
2017-02-05,39
2017-02-06,26
2017-02-07,28
2017-02-08,33
2017-02-09,16
2017-02-10,27
2017-02-11,53
2017-02-12,65
2017-02-13,42
2017-02-14,49
2017-02-15,44
2017-02-17,35
2017-02-18,55
2017-02-19,67
2017-02-20,35
2017-02-21,35
2017-02-22,37
2017-02-24,37
