date,visitors
2016-07-02,1
2016-07-05,2
2016-07-07,12
2016-07-08,6
2016-07-09,3
2016-07-13,2
2016-07-14,2
2016-07-16,7
2016-07-17,3
2016-07-19,5
2016-07-20,3
2016-07-21,8
2016-07-22,2
2016-07-23,7
2016-07-26,4
2016-07-27,6
2016-07-28,8
2016-07-30,2
2016-08-01,3
2016-08-02,6
2016-08-03,3
2016-08-04,12
2016-08-05,12
2016-08-06,4
2016-08-09,6
2016-08-10,3
2016-08-11,2
2016-08-12,3
2016-08-13,1
2016-08-18,4
2016-08-19,2
2016-08-20,6
2016-08-23,3
2016-08-24,7
2016-08-26,8
2016-08-27,2
2016-08-29,4
2016-08-30,6
2016-08-31,3
2016-09-01,3
2016-09-02,5
2016-09-03,7
2016-09-05,7
2016-09-06,3
2016-09-07,2
2016-09-08,10
2016-09-09,9
2016-09-10,7
2016-09-13,10
2016-09-14,7
2016-09-15,2
2016-09-16,8
2016-09-17,4
2016-09-20,7
2016-09-21,12
2016-09-22,4
2016-09-23,8
2016-09-24,10
2016-09-26,4
2016-09-27,7
2016-09-28,14
2016-09-29,2
2016-09-30,30
2016-10-01,14
2016-10-03,2
2016-10-04,8
2016-10-05,2
2016-10-07,2
2016-10-08,8
2016-10-10,3
2016-10-11,1
2016-10-12,3
2016-10-13,2
2016-10-14,4
2016-10-15,11
2016-10-17,5
2016-10-18,6
2016-10-19,3
2016-10-20,6
2016-10-21,16
2016-10-24,18
2016-10-25,5
2016-10-26,14
2016-10-27,4
2016-10-28,2
2016-10-29,12
2016-10-30,17
2016-10-31,6
2016-11-01,8
2016-11-02,10
2016-11-04,1
2016-11-05,2
2016-11-07,2
2016-11-08,9
2016-11-09,2
2016-11-10,3
2016-11-11,3
2016-11-12,12
2016-11-14,11
2016-11-15,5
2016-11-16,3
2016-11-17,12
2016-11-18,2
2016-11-21,3
2016-11-22,10
2016-11-24,5
2016-11-25,5
2016-11-26,15
2016-11-28,8
2016-11-29,3
2016-11-30,13
2016-12-01,7
2016-12-02,2
2016-12-03,3
2016-12-05,2
2016-12-07,2
2016-12-08,9
2016-12-09,6
2016-12-10,15
2016-12-12,17
2016-12-14,15
2016-12-16,13
2016-12-17,5
2016-12-19,4
2016-12-20,8
2016-12-21,21
2016-12-22,2
2016-12-24,13
2016-12-26,12
2016-12-27,13
2016-12-28,25
2016-12-29,10
2017-01-02,11
2017-01-05,2
2017-01-06,6
2017-01-07,3
2017-01-11,9
2017-01-14,1
2017-01-16,2
2017-01-18,1
2017-01-19,3
2017-01-21,2
2017-01-23,2
2017-01-24,6
2017-01-25,15
2017-01-27,3
2017-01-28,1
2017-01-30,4
2017-01-31,11
2017-02-01,10
2017-02-02,16
2017-02-03,3
2017-02-04,3
2017-02-07,1
2017-02-08,3
2017-02-09,2
2017-02-10,8
2017-02-11,7
2017-02-13,5
2017-02-14,4
2017-02-15,10
2017-02-17,6
2017-02-18,3
2017-02-19,10
2017-02-20,3
