date,visitors
2016-07-01,15
2016-07-02,33
2016-07-03,15
2016-07-04,5
2016-07-05,8
2016-07-06,20
2016-07-07,10
2016-07-08,12
2016-07-09,18
2016-07-10,16
2016-07-11,18
2016-07-12,3
2016-07-13,6
2016-07-14,8
2016-07-15,11
2016-07-16,16
2016-07-17,21
2016-07-18,23
2016-07-19,4
2016-07-20,6
2016-07-21,10
2016-07-22,16
2016-07-23,19
2016-07-24,11
2016-07-25,7
2016-07-26,9
2016-07-27,11
2016-07-28,14
2016-07-29,17
2016-07-30,18
2016-07-31,17
2016-08-01,8
2016-08-02,6
2016-08-03,7
2016-08-04,8
2016-08-05,7
2016-08-06,18
2016-08-07,20
2016-08-08,14
2016-08-09,6
2016-08-10,8
2016-08-11,18
2016-08-12,10
2016-08-13,22
2016-08-14,14
2016-08-15,9
2016-08-16,7
2016-08-17,5
2016-08-18,8
2016-08-19,11
2016-08-20,16
2016-08-21,11
2016-08-23,3
2016-08-24,8
2016-08-25,10
2016-08-26,11
2016-08-27,12
2016-08-28,16
2016-08-29,5
2016-08-30,5
2016-08-31,9
2016-09-01,9
2016-09-02,6
2016-09-03,17
2016-09-04,14
2016-09-05,7
2016-09-06,7
2016-09-07,7
2016-09-08,8
2016-09-09,10
2016-09-10,14
2016-09-11,20
2016-09-12,2
2016-09-13,13
2016-09-14,10
2016-09-15,3
2016-09-16,15
2016-09-17,18
2016-09-18,16
2016-09-19,20
2016-09-20,2
2016-09-21,6
2016-09-22,9
2016-09-23,13
2016-09-24,15
2016-09-25,18
2016-09-26,10
2016-09-27,12
2016-09-28,14
2016-09-29,4
2016-09-30,10
2016-10-01,16
2016-10-02,24
2016-10-03,1
2016-10-04,7
2016-10-05,14
2016-10-06,12
2016-10-07,8
2016-10-08,15
2016-10-09,27
2016-10-10,10
2016-10-11,8
2016-10-12,9
2016-10-13,14
2016-10-14,9
2016-10-15,21
2016-10-16,14
2016-10-17,4
2016-10-18,11
2016-10-19,13
2016-10-20,17
2016-10-21,11
2016-10-22,27
2016-10-23,19
2016-10-24,12
2016-10-25,8
2016-10-26,11
2016-10-27,11
2016-10-28,11
2016-10-29,22
2016-10-30,16
2016-10-31,7
2016-11-01,9
2016-11-02,6
2016-11-03,34
2016-11-04,14
2016-11-05,24
2016-11-06,26
2016-11-07,8
2016-11-08,10
2016-11-09,7
2016-11-10,15
2016-11-11,13
2016-11-12,29
2016-11-13,31
2016-11-14,11
2016-11-15,10
2016-11-16,5
2016-11-17,10
2016-11-18,14
2016-11-19,27
2016-11-20,36
2016-11-21,16
2016-11-22,12
2016-11-23,36
2016-11-24,4
2016-11-25,13
2016-11-26,29
2016-11-27,28
2016-11-28,8
2016-11-29,18
2016-11-30,8
2016-12-01,6
2016-12-02,12
2016-12-03,19
2016-12-04,25
2016-12-05,6
2016-12-06,11
2016-12-07,10
2016-12-08,12
2016-12-09,9
2016-12-10,34
2016-12-11,42
2016-12-12,9
2016-12-13,11
2016-12-14,19
2016-12-15,16
2016-12-16,16
2016-12-17,27
2016-12-18,34
2016-12-19,16
2016-12-20,22
2016-12-21,11
2016-12-22,18
2016-12-23,40
2016-12-24,37
2016-12-25,32
2016-12-26,13
2016-12-27,9
2016-12-28,19
2017-01-02,9
2017-01-03,16
2017-01-04,12
2017-01-05,17
2017-01-06,9
2017-01-07,20
2017-01-08,19
2017-01-09,20
2017-01-10,4
2017-01-11,3
2017-01-12,11
2017-01-13,10
2017-01-14,29
2017-01-15,18
2017-01-16,10
2017-01-17,7
2017-01-18,6
2017-01-19,14
2017-01-20,7
2017-01-21,25
2017-01-22,13
2017-01-23,8
2017-01-24,9
2017-01-25,11
2017-01-26,12
2017-01-27,16
2017-01-28,28
2017-01-29,22
2017-01-30,11
2017-01-31,7
2017-02-01,8
2017-02-02,7
2017-02-03,7
2017-02-04,23
2017-02-05,18
2017-02-06,11
2017-02-07,11
2017-02-08,14
2017-02-09,5
2017-02-10,14
2017-02-11,26
2017-02-12,23
2017-02-13,12
2017-02-14,19
2017-02-15,14
2017-02-16,16
2017-02-17,16
2017-02-18,31
2017-02-19,15
2017-02-20,2
2017-02-21,14
2017-02-22,10
