date,visitors
2016-07-01,32
2016-07-02,29
2016-07-03,31
2016-07-04,10
2016-07-06,4
2016-07-07,15
2016-07-08,30
2016-07-09,40
2016-07-10,25
2016-07-12,6
2016-07-13,1
2016-07-14,13
2016-07-15,21
2016-07-16,43
2016-07-17,41
2016-07-18,15
2016-07-19,14
2016-07-20,7
2016-07-22,5
2016-07-23,28
2016-07-24,15
2016-07-25,5
2016-07-26,3
2016-07-27,7
2016-07-28,11
2016-07-29,19
2016-07-30,26
2016-07-31,35
2016-08-01,16
2016-08-02,14
2016-08-03,4
2016-08-04,12
2016-08-05,41
2016-08-06,29
2016-08-07,21
2016-08-08,6
2016-08-09,21
2016-08-10,21
2016-08-11,32
2016-08-12,26
2016-08-13,28
2016-08-14,28
2016-08-15,15
2016-08-16,8
2016-08-17,26
2016-08-18,15
2016-08-19,18
2016-08-20,29
2016-08-21,29
2016-08-22,19
2016-08-23,1
2016-08-24,11
2016-08-25,7
2016-08-26,52
2016-08-27,36
2016-08-28,24
2016-08-29,12
2016-08-30,11
2016-08-31,20
2016-09-01,4
2016-09-02,30
2016-09-03,51
2016-09-04,8
2016-09-05,9
2016-09-06,13
2016-09-07,9
2016-09-08,2
2016-09-09,28
2016-09-10,32
2016-09-11,54
2016-09-12,14
2016-09-13,18
2016-09-14,6
2016-09-15,2
2016-09-16,16
2016-09-17,80
2016-09-18,25
2016-09-19,3
2016-09-20,18
2016-09-21,45
2016-09-22,30
2016-09-23,36
2016-09-24,59
2016-09-25,40
2016-09-26,31
2016-09-27,5
2016-09-29,29
2016-09-30,49
2016-10-01,42
2016-10-02,29
2016-10-03,26
2016-10-04,10
2016-10-05,9
2016-10-06,2
2016-10-07,39
2016-10-08,29
2016-10-09,50
2016-10-10,16
2016-10-11,30
2016-10-12,27
2016-10-13,24
2016-10-14,23
2016-10-15,37
2016-10-16,30
2016-10-17,41
2016-10-18,25
2016-10-19,4
2016-10-20,18
2016-10-21,25
2016-10-22,71
2016-10-23,29
2016-10-24,13
2016-10-25,14
2016-10-26,9
2016-10-27,9
2016-10-28,25
2016-10-29,54
2016-10-30,18
2016-10-31,9
2016-11-01,14
2016-11-02,55
2016-11-03,16
2016-11-04,8
2016-11-05,37
2016-11-06,32
2016-11-07,15
2016-11-08,2
2016-11-09,15
2016-11-10,17
2016-11-11,31
2016-11-12,51
2016-11-13,32
2016-11-14,15
2016-11-16,25
2016-11-17,19
2016-11-18,22
2016-11-19,52
2016-11-20,56
2016-11-21,24
2016-11-22,39
2016-11-23,19
2016-11-24,26
2016-11-25,54
2016-11-26,59
2016-11-27,23
2016-11-28,14
2016-11-29,21
2016-11-30,13
2016-12-01,12
2016-12-02,29
2016-12-03,33
2016-12-04,35
2016-12-05,51
2016-12-06,24
2016-12-07,9
2016-12-08,15
2016-12-09,66
2016-12-10,59
2016-12-11,36
2016-12-12,11
2016-12-13,12
2016-12-14,10
2016-12-15,13
2016-12-16,70
2016-12-17,70
2016-12-18,71
2016-12-19,16
2016-12-20,16
2016-12-21,35
2016-12-22,60
2016-12-23,35
2016-12-24,39
2016-12-25,33
2016-12-26,29
2016-12-27,45
2016-12-28,48
2016-12-29,52
2016-12-30,60
2016-12-31,19
2017-01-04,12
2017-01-05,20
2017-01-06,19
2017-01-07,37
2017-01-08,50
2017-01-09,18
2017-01-10,6
2017-01-11,2
2017-01-12,8
2017-01-13,31
2017-01-14,51
2017-01-15,32
2017-01-16,2
2017-01-17,5
2017-01-18,21
2017-01-19,4
2017-01-20,18
2017-01-21,41
2017-01-22,24
2017-01-23,5
2017-01-24,4
2017-01-25,15
2017-01-26,13
2017-01-27,34
2017-01-28,67
2017-01-29,34
2017-01-30,9
2017-01-31,11
2017-02-01,7
2017-02-02,6
2017-02-03,14
2017-02-04,31
2017-02-05,11
2017-02-06,16
2017-02-07,5
2017-02-08,3
2017-02-09,4
2017-02-10,13
2017-02-11,57
2017-02-12,4
2017-02-13,8
2017-02-14,6
2017-02-15,11
2017-02-16,7
2017-02-17,39
2017-02-18,27
2017-02-19,39
2017-02-20,7
2017-02-21,12
