date,visitors
2016-07-01,14
2016-07-02,23
2016-07-03,16
2016-07-06,11
2016-07-07,13
2016-07-08,11
2016-07-09,16
2016-07-10,13
2016-07-13,12
2016-07-14,7
2016-07-15,17
2016-07-16,14
2016-07-17,15
2016-07-20,3
2016-07-21,6
2016-07-22,7
2016-07-23,11
2016-07-24,21
2016-07-27,10
2016-07-28,12
2016-07-29,5
2016-07-30,9
2016-07-31,17
2016-08-04,7
2016-08-05,13
2016-08-06,16
2016-08-07,14
2016-08-11,16
2016-08-12,29
2016-08-13,13
2016-08-14,9
2016-08-18,12
2016-08-19,13
2016-08-20,13
2016-08-21,17
2016-08-25,12
2016-08-26,11
2016-08-27,14
2016-08-28,23
2016-09-01,16
2016-09-02,9
2016-09-03,10
2016-09-04,17
2016-09-07,11
2016-09-08,10
2016-09-09,6
2016-09-10,29
2016-09-11,16
2016-09-14,12
2016-09-15,8
2016-09-16,13
2016-09-17,15
2016-09-18,23
2016-09-21,10
2016-09-22,15
2016-09-23,12
2016-09-24,10
2016-09-25,13
2016-09-27,2
2016-09-28,16
2016-09-29,10
2016-09-30,17
2016-10-01,16
2016-10-02,25
2016-10-03,1
2016-10-05,9
2016-10-06,6
2016-10-07,14
2016-10-08,19
2016-10-09,19
2016-10-12,12
2016-10-13,14
2016-10-14,7
2016-10-15,15
2016-10-16,17
2016-10-19,6
2016-10-20,9
2016-10-21,6
2016-10-22,19
2016-10-23,22
2016-10-26,2
2016-10-27,8
2016-10-28,5
2016-10-29,19
2016-10-30,11
2016-11-02,9
2016-11-03,19
2016-11-04,14
2016-11-05,15
2016-11-06,12
2016-11-09,12
2016-11-10,11
2016-11-11,6
2016-11-12,12
2016-11-13,13
2016-11-16,12
2016-11-17,9
2016-11-18,6
2016-11-19,16
2016-11-20,19
2016-11-23,7
2016-11-24,7
2016-11-25,11
2016-11-26,23
2016-11-27,12
2016-11-30,12
2016-12-01,6
2016-12-02,8
2016-12-03,14
2016-12-04,17
2016-12-07,9
2016-12-08,11
2016-12-09,7
2016-12-10,15
2016-12-11,8
2016-12-14,8
2016-12-15,6
2016-12-16,7
2016-12-17,17
2016-12-18,4
2016-12-21,9
2016-12-22,13
2016-12-23,10
2016-12-24,15
2016-12-25,13
2016-12-29,4
2016-12-30,10
2017-01-07,14
2017-01-08,15
2017-01-11,10
2017-01-12,7
2017-01-13,7
2017-01-14,18
2017-01-15,16
2017-01-18,10
2017-01-19,7
2017-01-20,5
2017-01-21,20
2017-01-22,13
2017-01-25,8
2017-01-26,16
2017-01-27,3
2017-01-28,12
2017-01-29,12
2017-02-01,10
2017-02-02,8
2017-02-03,9
2017-02-04,16
2017-02-05,13
2017-02-06,1
2017-02-08,8
2017-02-09,9
2017-02-10,9
2017-02-11,15
2017-02-12,19
2017-02-14,1
2017-02-15,16
2017-02-16,6
2017-02-17,6
2017-02-18,13
2017-02-19,16
