date,visitors
2016-01-02,14
2016-01-03,3
2016-01-06,6
2016-01-07,6
2016-01-08,13
2016-01-09,31
2016-01-10,35
2016-01-11,1
2016-01-12,4
2016-01-13,5
2016-01-14,6
2016-01-15,2
2016-01-16,23
2016-01-17,9
2016-01-18,2
2016-01-19,2
2016-01-20,2
2016-01-22,13
2016-01-23,15
2016-01-27,7
2016-01-28,6
2016-01-29,4
2016-01-30,7
2016-01-31,17
2016-02-02,7
2016-02-05,17
2016-02-06,23
2016-02-07,39
2016-02-09,10
2016-02-10,7
2016-02-11,4
2016-02-12,6
2016-02-13,24
2016-02-14,13
2016-02-16,2
2016-02-17,8
2016-02-19,14
2016-02-20,20
2016-02-21,4
2016-02-23,14
2016-02-24,11
2016-02-25,2
2016-02-26,9
2016-02-27,12
2016-02-28,18
2016-03-01,4
2016-03-02,8
2016-03-04,10
2016-03-05,8
2016-03-06,15
2016-03-08,9
2016-03-09,5
2016-03-10,9
2016-03-11,2
2016-03-12,20
2016-03-13,42
2016-03-15,5
2016-03-16,7
2016-03-17,9
2016-03-18,9
2016-03-19,16
2016-03-20,29
2016-03-21,12
2016-03-22,18
2016-03-23,2
2016-03-24,7
2016-03-25,12
2016-03-26,18
2016-03-27,35
2016-03-29,18
2016-03-30,6
2016-03-31,2
2016-04-01,7
2016-04-02,24
2016-04-03,18
2016-04-05,14
2016-04-06,9
2016-04-07,8
2016-04-08,2
2016-04-09,12
2016-04-10,22
2016-04-12,5
2016-04-13,5
2016-04-14,6
2016-04-15,24
2016-04-16,10
2016-04-17,20
2016-04-19,3
2016-04-20,19
2016-04-21,8
2016-04-22,2
2016-04-23,8
2016-04-24,23
2016-04-26,19
2016-04-27,15
2016-04-28,7
2016-04-29,24
2016-04-30,15
2016-05-01,6
2016-05-02,3
2016-05-03,3
2016-05-04,13
2016-05-05,9
2016-05-06,7
2016-05-07,11
2016-05-08,6
2016-05-10,7
2016-05-11,6
2016-05-12,6
2016-05-13,5
2016-05-14,4
2016-05-17,1
2016-05-18,4
2016-05-19,4
2016-05-20,14
2016-05-21,11
2016-05-22,21
2016-05-24,2
2016-05-25,6
2016-05-26,2
2016-05-27,8
2016-05-28,11
2016-05-29,9
2016-05-31,9
2016-06-01,6
2016-06-02,3
2016-06-03,4
2016-06-04,27
2016-06-05,12
2016-06-07,3
2016-06-08,8
2016-06-09,6
2016-06-10,11
2016-06-11,15
2016-06-12,14
2016-06-14,3
2016-06-15,6
2016-06-17,13
2016-06-18,20
2016-06-19,8
2016-06-22,3
2016-06-23,5
2016-06-24,20
2016-06-25,21
2016-06-26,15
2016-06-28,5
2016-06-29,7
2016-06-30,11
2016-07-01,6
2016-07-02,8
2016-07-03,22
2016-07-06,4
2016-07-07,6
2016-07-08,6
2016-07-09,14
2016-07-10,6
2016-07-12,2
2016-07-13,35
2016-07-14,2
2016-07-15,9
2016-07-16,6
2016-07-17,24
2016-07-18,15
2016-07-19,16
2016-07-20,4
2016-07-21,16
2016-07-22,4
2016-07-23,27
2016-07-24,16
2016-07-26,4
2016-07-27,5
2016-07-28,4
2016-07-29,18
2016-07-30,9
2016-07-31,16
2016-08-01,7
2016-08-02,4
2016-08-03,6
2016-08-04,1
2016-08-05,2
2016-08-06,4
2016-08-07,15
2016-08-08,2
2016-08-09,4
2016-08-10,9
2016-08-11,16
2016-08-12,6
2016-08-13,9
2016-08-14,2
2016-08-15,12
2016-08-16,2
2016-08-17,6
2016-08-18,4
2016-08-19,18
2016-08-20,9
2016-08-21,4
2016-08-23,10
2016-08-24,7
2016-08-25,11
2016-08-26,6
2016-08-27,9
2016-08-28,23
2016-08-30,12
2016-08-31,2
2016-09-01,7
2016-09-02,5
2016-09-03,13
2016-09-10,24
2016-09-11,15
2016-09-12,6
2016-09-13,17
2016-09-14,5
2016-09-15,5
2016-09-16,12
2016-09-17,12
2016-09-18,7
2016-09-19,8
2016-09-20,3
2016-09-21,9
2016-09-22,7
2016-09-23,3
2016-09-24,18
2016-09-25,4
2016-09-26,9
2016-09-28,3
2016-09-29,4
2016-09-30,11
2016-10-01,10
2016-10-02,20
2016-10-04,12
2016-10-05,7
2016-10-06,6
2016-10-07,19
2016-10-08,15
2016-10-09,11
2016-10-11,10
2016-10-12,12
2016-10-13,2
2016-10-14,19
2016-10-15,15
2016-10-16,12
2016-10-17,10
2016-10-18,6
2016-10-19,28
2016-10-20,3
2016-10-21,10
2016-10-22,18
2016-10-23,14
2016-10-24,10
2016-10-25,15
2016-10-26,9
2016-10-27,4
2016-10-28,16
2016-10-29,22
2016-10-30,19
2016-10-31,10
2016-11-02,23
2016-11-03,7
2016-11-04,12
2016-11-05,10
2016-11-06,29
2016-11-08,2
2016-11-09,17
2016-11-10,13
2016-11-11,8
2016-11-12,7
2016-11-13,17
2016-11-15,14
2016-11-16,20
2016-11-17,15
2016-11-18,11
2016-11-19,11
2016-11-20,30
2016-11-22,19
2016-11-23,6
2016-11-24,18
2016-11-25,12
2016-11-26,23
2016-11-27,17
2016-11-29,10
2016-11-30,14
2016-12-01,8
2016-12-02,16
2016-12-03,10
2016-12-04,17
2016-12-05,10
2016-12-06,3
2016-12-07,12
2016-12-08,6
2016-12-10,4
2016-12-11,18
2016-12-12,3
2016-12-13,7
2016-12-14,6
2016-12-15,21
2016-12-16,5
2016-12-17,4
2016-12-18,20
2016-12-19,4
2016-12-20,12
2016-12-22,11
2016-12-23,10
2016-12-24,6
2016-12-25,4
2016-12-26,4
2016-12-27,1
2016-12-28,14
