date,visitors
2016-07-01,16
2016-07-03,13
2016-07-05,4
2016-07-06,6
2016-07-07,13
2016-07-08,12
2016-07-09,8
2016-07-10,9
2016-07-12,5
2016-07-13,6
2016-07-14,4
2016-07-15,12
2016-07-16,5
2016-07-17,8
2016-07-20,8
2016-07-21,11
2016-07-22,6
2016-07-23,8
2016-07-24,2
2016-07-25,2
2016-07-26,2
2016-07-27,9
2016-07-28,10
2016-07-29,13
2016-07-30,6
2016-07-31,14
2016-08-02,6
2016-08-03,6
2016-08-04,8
2016-08-05,10
2016-08-06,6
2016-08-07,4
2016-08-09,15
2016-08-10,10
2016-08-11,5
2016-08-12,12
2016-08-13,13
2016-08-17,8
2016-08-18,13
2016-08-19,6
2016-08-20,13
2016-08-21,8
2016-08-23,14
2016-08-24,10
2016-08-25,11
2016-08-27,20
2016-08-28,13
2016-08-29,2
2016-08-30,11
2016-08-31,7
2016-09-01,11
2016-09-02,7
2016-09-03,10
2016-09-04,7
2016-09-07,7
2016-09-08,10
2016-09-09,4
2016-09-10,10
2016-09-11,12
2016-09-13,9
2016-09-14,9
2016-09-15,7
2016-09-16,17
2016-09-17,12
2016-09-21,10
2016-09-22,9
2016-09-23,12
2016-09-24,9
2016-09-25,14
2016-09-27,11
2016-09-28,11
2016-09-29,10
2016-09-30,5
2016-10-01,12
2016-10-02,11
2016-10-03,2
2016-10-04,10
2016-10-05,14
2016-10-06,10
2016-10-07,8
2016-10-08,13
2016-10-09,13
2016-10-12,11
2016-10-13,13
2016-10-14,9
2016-10-15,10
2016-10-16,15
2016-10-18,6
2016-10-19,5
2016-10-20,20
2016-10-21,9
2016-10-22,10
2016-10-23,12
2016-10-25,10
2016-10-26,10
2016-10-27,10
2016-10-28,8
2016-10-29,7
2016-10-30,13
2016-11-01,8
2016-11-02,9
2016-11-03,2
2016-11-04,10
2016-11-05,10
2016-11-06,12
2016-11-08,8
2016-11-09,11
2016-11-10,8
2016-11-11,12
2016-11-12,15
2016-11-13,9
2016-11-14,1
2016-11-15,8
2016-11-16,8
2016-11-17,12
2016-11-18,9
2016-11-19,13
2016-11-20,13
2016-11-22,11
2016-11-24,10
2016-11-25,11
2016-11-26,10
2016-11-27,10
2016-11-29,12
2016-11-30,8
2016-12-01,18
2016-12-02,12
2016-12-03,6
2016-12-04,4
2016-12-06,13
2016-12-07,7
2016-12-08,12
2016-12-09,11
2016-12-10,14
2016-12-11,11
2016-12-13,9
2016-12-14,10
2016-12-15,11
2016-12-16,8
2016-12-17,17
2016-12-18,4
2016-12-19,9
2016-12-20,12
2016-12-21,14
2016-12-22,11
2016-12-23,12
2016-12-24,10
2016-12-25,10
2016-12-27,12
2016-12-28,10
2017-01-06,7
2017-01-07,2
2017-01-08,10
2017-01-10,8
2017-01-11,6
2017-01-12,10
2017-01-13,11
2017-01-14,6
2017-01-15,9
2017-01-16,3
2017-01-17,2
2017-01-18,16
2017-01-19,12
2017-01-20,10
2017-01-21,5
2017-01-22,11
2017-01-24,12
2017-01-25,10
2017-01-26,11
2017-01-27,9
2017-01-28,10
2017-01-29,9
2017-01-31,8
2017-02-01,10
2017-02-02,10
2017-02-03,10
2017-02-04,9
2017-02-05,11
2017-02-07,9
2017-02-08,2
2017-02-09,7
2017-02-10,4
2017-02-11,11
2017-02-12,4
2017-02-14,8
2017-02-15,10
2017-02-16,11
2017-02-17,11
2017-02-21,8
2017-02-22,9
2017-02-23,9
2017-02-24,10
2017-02-25,12
