date,visitors
2016-07-01,24
2016-07-02,7
2016-07-03,2
2016-07-04,10
2016-07-05,11
2016-07-06,11
2016-07-08,17
2016-07-09,11
2016-07-11,10
2016-07-12,11
2016-07-13,4
2016-07-14,10
2016-07-15,18
2016-07-16,7
2016-07-17,13
2016-07-19,2
2016-07-20,6
2016-07-21,19
2016-07-22,20
2016-07-23,10
2016-07-24,7
2016-07-25,6
2016-07-27,19
2016-07-28,20
2016-07-29,18
2016-07-30,20
2016-07-31,20
2016-08-01,16
2016-08-02,13
2016-08-03,18
2016-08-04,20
2016-08-05,10
2016-08-06,29
2016-08-08,7
2016-08-09,17
2016-08-10,26
2016-08-11,23
2016-08-12,14
2016-08-13,21
2016-08-14,8
2016-08-15,22
2016-08-16,17
2016-08-17,10
2016-08-18,13
2016-08-19,25
2016-08-20,15
2016-08-21,2
2016-08-22,11
2016-08-23,15
2016-08-24,23
2016-08-25,15
2016-08-26,11
2016-08-27,13
2016-08-28,2
2016-08-29,20
2016-08-30,21
2016-08-31,4
2016-09-01,11
2016-09-02,10
2016-09-03,24
2016-09-05,11
2016-09-06,8
2016-09-08,9
2016-09-09,15
2016-09-10,22
2016-09-11,7
2016-09-12,4
2016-09-13,6
2016-09-14,5
2016-09-15,7
2016-09-16,15
2016-09-17,9
2016-09-18,6
2016-09-21,4
2016-09-22,4
2016-09-23,18
2016-09-24,10
2016-09-26,6
2016-09-28,7
2016-09-29,11
2016-09-30,12
2016-10-01,10
2016-10-02,2
2016-10-03,7
2016-10-04,8
2016-10-05,23
2016-10-07,15
2016-10-08,16
2016-10-09,3
2016-10-11,16
2016-10-12,8
2016-10-14,9
2016-10-15,17
2016-10-19,5
2016-10-20,4
2016-10-21,16
2016-10-22,4
2016-10-23,16
2016-10-24,12
2016-10-25,30
2016-10-26,3
2016-10-27,2
2016-10-28,4
2016-10-29,23
2016-10-31,5
2016-11-01,3
2016-11-02,10
2016-11-03,10
2016-11-04,15
2016-11-05,15
2016-11-06,2
2016-11-07,8
2016-11-08,1
2016-11-09,2
2016-11-10,1
2016-11-11,10
2016-11-12,10
2016-11-13,6
2016-11-14,3
2016-11-15,1
2016-11-16,3
2016-11-17,12
2016-11-18,10
2016-11-19,11
2016-11-20,1
2016-11-22,11
2016-11-23,7
2016-11-24,4
2016-11-25,12
2016-11-26,15
2016-11-27,3
2016-11-28,2
2016-11-29,7
2016-11-30,19
2016-12-01,8
2016-12-02,11
2016-12-03,17
2016-12-05,7
2016-12-06,2
2016-12-07,8
2016-12-09,16
2016-12-10,7
2016-12-11,9
2016-12-12,8
2016-12-13,4
2016-12-14,8
2016-12-15,13
2016-12-16,10
2016-12-17,20
2016-12-18,4
2016-12-19,9
2016-12-20,7
2016-12-21,14
2016-12-22,25
2016-12-23,13
2016-12-24,15
2016-12-25,6
2016-12-26,2
2016-12-27,18
2016-12-28,24
2016-12-29,16
2016-12-30,26
2017-01-02,19
2017-01-03,13
2017-01-04,15
2017-01-05,4
2017-01-06,2
2017-01-07,10
2017-01-08,7
2017-01-10,2
2017-01-11,8
2017-01-12,14
2017-01-13,10
2017-01-14,18
2017-01-15,4
2017-01-17,8
2017-01-19,10
2017-01-20,18
2017-01-21,15
2017-01-22,4
2017-01-23,15
2017-01-24,3
2017-01-25,6
2017-01-26,10
2017-01-27,18
2017-01-28,12
2017-01-29,12
2017-01-30,6
2017-01-31,9
2017-02-01,5
2017-02-02,6
2017-02-03,14
2017-02-04,19
2017-02-07,4
2017-02-08,16
2017-02-09,9
2017-02-10,13
2017-02-11,29
2017-02-13,10
2017-02-14,18
2017-02-15,3
2017-02-16,2
2017-02-17,16
2017-02-18,22
2017-02-20,6
2017-02-21,5
2017-02-22,8
2017-02-23,3
2017-02-24,20
2017-02-25,4
2017-02-26,7
