date,visitors
2016-07-01,5
2016-07-02,14
2016-07-03,6
2016-07-04,6
2016-07-05,5
2016-07-06,5
2016-07-08,10
2016-07-09,5
2016-07-10,5
2016-07-11,6
2016-07-12,9
2016-07-13,5
2016-07-14,3
2016-07-15,3
2016-07-16,14
2016-07-17,4
2016-07-18,4
2016-07-19,6
2016-07-20,9
2016-07-21,2
2016-07-22,3
2016-07-23,10
2016-07-24,7
2016-07-25,8
2016-07-26,5
2016-07-27,4
2016-07-28,3
2016-07-29,7
2016-07-30,2
2016-07-31,8
2016-08-01,4
2016-08-02,5
2016-08-04,2
2016-08-05,6
2016-08-06,1
2016-08-07,8
2016-08-08,3
2016-08-09,6
2016-08-10,10
2016-08-11,13
2016-08-13,10
2016-08-14,5
2016-08-16,2
2016-08-17,4
2016-08-18,4
2016-08-19,10
2016-08-20,12
2016-08-21,7
2016-08-22,3
2016-08-23,7
2016-08-24,7
2016-08-26,10
2016-08-27,12
2016-08-28,9
2016-08-30,7
2016-08-31,6
2016-09-01,1
2016-09-02,6
2016-09-03,4
2016-09-04,4
2016-09-07,5
2016-09-08,8
2016-09-09,3
2016-09-10,13
2016-09-11,9
2016-09-12,10
2016-09-13,2
2016-09-14,11
2016-09-15,2
2016-09-17,3
2016-09-18,5
2016-09-19,3
2016-09-21,3
2016-09-23,8
2016-09-24,3
2016-09-25,9
2016-09-26,3
2016-09-27,6
2016-09-28,10
2016-09-29,3
2016-09-30,4
2016-10-01,5
2016-10-02,3
2016-10-03,6
2016-10-04,10
2016-10-06,4
2016-10-07,7
2016-10-08,11
2016-10-09,3
2016-10-11,9
2016-10-12,6
2016-10-13,12
2016-10-14,5
2016-10-15,4
2016-10-16,10
2016-10-17,5
2016-10-18,6
2016-10-19,5
2016-10-20,5
2016-10-21,7
2016-10-23,6
2016-10-24,8
2016-10-25,2
2016-10-26,1
2016-10-27,1
2016-10-28,3
2016-10-29,16
2016-10-30,11
2016-10-31,5
2016-11-01,8
2016-11-02,1
2016-11-03,13
2016-11-04,6
2016-11-05,2
2016-11-06,4
2016-11-07,3
2016-11-08,7
2016-11-10,7
2016-11-11,5
2016-11-12,8
2016-11-13,6
2016-11-14,7
2016-11-15,1
2016-11-16,8
2016-11-18,3
2016-11-19,15
2016-11-20,5
2016-11-21,13
2016-11-22,3
2016-11-23,8
2016-11-24,3
2016-11-25,1
2016-11-26,5
2016-11-27,3
2016-11-28,7
2016-11-29,4
2016-11-30,7
2016-12-01,5
2016-12-02,8
2016-12-03,6
2016-12-04,6
2016-12-05,14
2016-12-06,6
2016-12-08,4
2016-12-09,2
2016-12-10,8
2016-12-11,8
2016-12-12,3
2016-12-13,4
2016-12-14,3
2016-12-15,4
2016-12-16,4
2016-12-17,13
2016-12-18,10
2016-12-19,2
2016-12-20,1
2016-12-21,6
2016-12-22,19
2016-12-23,4
2016-12-24,12
2016-12-25,6
2016-12-26,13
2016-12-27,2
2016-12-28,5
2016-12-29,12
2016-12-30,13
2016-12-31,8
2017-01-01,10
2017-01-04,5
2017-01-05,7
2017-01-06,4
2017-01-07,10
2017-01-08,5
2017-01-09,3
2017-01-10,3
2017-01-11,3
2017-01-12,4
2017-01-13,2
2017-01-14,11
2017-01-16,3
2017-01-17,1
2017-01-18,5
2017-01-27,7
2017-01-28,11
2017-01-29,6
2017-01-30,11
2017-01-31,9
2017-02-01,6
2017-02-02,6
2017-02-03,8
2017-02-04,7
2017-02-05,9
2017-02-06,4
2017-02-07,10
2017-02-08,3
2017-02-09,4
2017-02-10,4
2017-02-11,23
2017-02-12,3
2017-02-13,4
2017-02-14,4
2017-02-15,2
2017-02-16,8
2017-02-17,10
2017-02-18,7
2017-02-19,4
2017-02-20,4
2017-02-21,4
2017-02-22,4
2017-02-23,2
2017-02-25,8
