date,visitors
2016-07-01,21
2016-07-02,22
2016-07-03,22
2016-07-04,13
2016-07-05,25
2016-07-06,10
2016-07-08,20
2016-07-09,31
2016-07-10,20
2016-07-11,17
2016-07-12,12
2016-07-13,8
2016-07-15,12
2016-07-16,24
2016-07-17,23
2016-07-18,22
2016-07-19,18
2016-07-20,15
2016-07-22,20
2016-07-23,18
2016-07-24,20
2016-07-25,17
2016-07-26,13
2016-07-27,15
2016-07-29,19
2016-07-30,15
2016-07-31,20
2016-08-01,21
2016-08-02,9
2016-08-03,11
2016-08-05,11
2016-08-06,16
2016-08-07,21
2016-08-08,21
2016-08-09,13
2016-08-10,16
2016-08-12,13
2016-08-14,11
2016-08-15,24
2016-08-16,14
2016-08-17,11
2016-08-19,22
2016-08-20,20
2016-08-21,21
2016-08-22,7
2016-08-23,13
2016-08-24,16
2016-08-25,7
2016-08-26,15
2016-08-27,14
2016-08-28,22
2016-08-29,28
2016-08-30,16
2016-08-31,19
2016-09-02,24
2016-09-03,17
2016-09-04,26
2016-09-05,28
2016-09-06,22
2016-09-07,14
2016-09-09,20
2016-09-10,28
2016-09-11,19
2016-09-12,18
2016-09-13,5
2016-09-14,19
2016-09-16,22
2016-09-17,17
2016-09-18,41
2016-09-19,25
2016-09-20,12
2016-09-21,12
2016-09-23,13
2016-09-24,17
2016-09-25,22
2016-09-26,18
2016-09-27,23
2016-09-28,19
2016-09-30,17
2016-10-01,22
2016-10-02,28
2016-10-03,16
2016-10-04,12
2016-10-05,16
2016-10-07,27
2016-10-08,29
2016-10-09,17
2016-10-10,27
2016-10-11,18
2016-10-12,19
2016-10-14,15
2016-10-15,32
2016-10-16,31
2016-10-17,24
2016-10-18,16
2016-10-19,18
2016-10-21,22
2016-10-22,23
2016-10-23,25
2016-10-24,25
2016-10-25,30
2016-10-26,16
2016-10-28,26
2016-10-29,31
2016-10-30,18
2016-10-31,18
2016-11-01,18
2016-11-02,18
2016-11-04,21
2016-11-05,20
2016-11-06,19
2016-11-07,23
2016-11-08,27
2016-11-09,28
2016-11-11,21
2016-11-12,29
2016-11-13,23
2016-11-14,9
2016-11-15,23
2016-11-16,19
2016-11-18,14
2016-11-19,15
2016-11-20,18
2016-11-21,17
2016-11-22,22
2016-11-23,26
2016-11-25,13
2016-11-26,25
2016-11-27,21
2016-11-28,14
2016-11-29,32
2016-11-30,34
2016-12-02,12
2016-12-03,23
2016-12-04,22
2016-12-05,24
2016-12-06,25
2016-12-07,17
2016-12-09,20
2016-12-10,17
2016-12-12,15
2016-12-13,19
2016-12-15,60
2016-12-16,65
2016-12-17,33
2016-12-18,26
2016-12-19,22
2016-12-20,19
2016-12-21,19
2016-12-23,35
2016-12-24,30
2016-12-25,24
2016-12-26,12
2016-12-27,11
2017-01-06,9
2017-01-07,24
2017-01-08,14
2017-01-09,22
2017-01-10,18
2017-01-11,13
2017-01-13,19
2017-01-14,29
2017-01-15,93
2017-01-16,57
2017-01-17,26
2017-01-18,14
2017-01-20,19
2017-01-21,31
2017-01-22,26
2017-01-23,18
2017-01-24,13
2017-01-27,20
2017-01-28,35
2017-01-29,31
2017-01-30,31
2017-01-31,28
2017-02-01,13
2017-02-03,22
2017-02-04,26
2017-02-05,23
2017-02-06,21
2017-02-07,17
2017-02-10,27
2017-02-11,29
2017-02-12,32
2017-02-13,26
2017-02-14,26
2017-02-17,24
