date,visitors
2016-01-03,20
2016-01-04,17
2016-01-05,23
2016-01-06,7
2016-01-07,4
2016-01-08,9
2016-01-09,32
2016-01-10,29
2016-01-11,103
2016-01-12,17
2016-01-13,15
2016-01-14,6
2016-01-15,20
2016-01-16,18
2016-01-17,9
2016-01-18,6
2016-01-19,12
2016-01-20,15
2016-01-21,25
2016-01-22,8
2016-01-23,25
2016-01-24,32
2016-01-25,10
2016-01-26,8
2016-01-27,23
2016-01-28,6
2016-01-29,16
2016-01-30,11
2016-01-31,13
2016-02-01,7
2016-02-02,5
2016-02-03,7
2016-02-04,9
2016-02-05,12
2016-02-06,17
2016-02-07,20
2016-02-08,7
2016-02-09,7
2016-02-10,17
2016-02-11,12
2016-02-12,11
2016-02-13,17
2016-02-14,12
2016-02-15,13
2016-02-16,7
2016-02-17,17
2016-02-18,4
2016-02-19,13
2016-02-20,16
2016-02-21,36
2016-02-22,4
2016-02-23,8
2016-02-24,12
2016-02-25,6
2016-02-26,11
2016-02-27,28
2016-02-28,15
2016-02-29,4
2016-03-01,4
2016-03-02,10
2016-03-03,12
2016-03-04,20
2016-03-05,17
2016-03-06,26
2016-03-07,5
2016-03-08,9
2016-03-09,3
2016-03-10,3
2016-03-11,17
2016-03-12,36
2016-03-13,17
2016-03-14,7
2016-03-15,18
2016-03-16,13
2016-03-17,24
2016-03-18,5
2016-03-19,8
2016-03-20,13
2016-03-21,17
2016-03-22,3
2016-03-23,4
2016-03-24,8
2016-03-25,18
2016-03-26,9
2016-03-27,19
2016-03-28,11
2016-03-29,19
2016-03-30,2
2016-03-31,8
2016-04-01,10
2016-04-02,15
2016-04-03,11
2016-04-04,32
2016-04-05,3
2016-04-06,7
2016-04-07,5
2016-04-08,3
2016-04-09,13
2016-04-10,15
2016-04-11,11
2016-04-12,11
2016-04-13,8
2016-04-14,7
2016-04-15,2
2016-04-16,34
2016-04-17,27
2016-04-18,11
2016-04-19,18
2016-04-20,13
2016-04-21,23
2016-04-22,36
2016-04-23,20
2016-04-24,23
2016-04-25,10
2016-04-26,6
2016-04-27,34
2016-04-28,15
2016-04-29,12
2016-04-30,12
2016-05-01,25
2016-05-02,9
2016-05-03,31
2016-05-04,34
2016-05-05,13
2016-05-06,11
2016-05-07,24
2016-05-08,5
2016-05-12,12
2016-05-13,7
2016-05-14,17
2016-05-15,49
2016-05-16,8
2016-05-17,7
2016-05-18,3
2016-05-19,12
2016-05-20,21
2016-05-21,15
2016-05-22,8
2016-05-23,4
2016-05-24,6
2016-05-25,10
2016-05-26,5
2016-05-27,10
2016-05-28,12
2016-05-29,22
2016-05-30,4
2016-05-31,7
2016-06-01,8
2016-06-02,17
2016-06-03,21
2016-06-04,39
2016-06-05,26
2016-06-06,3
2016-06-07,11
2016-06-08,20
2016-06-09,2
2016-06-10,14
2016-06-11,37
2016-06-12,22
2016-06-13,6
2016-06-14,12
2016-06-15,4
2016-06-16,5
2016-06-17,20
2016-06-18,28
2016-06-19,29
2016-06-20,21
2016-06-21,4
2016-06-22,6
2016-06-23,4
2016-06-24,14
2016-06-25,28
2016-06-26,1
2016-06-27,3
2016-06-28,6
2016-06-29,8
2016-06-30,11
2016-07-01,14
2016-07-02,15
2016-07-03,34
2016-07-04,5
