date,visitors
2016-01-05,39
2016-01-06,15
2016-01-07,27
2016-01-08,51
2016-01-09,54
2016-01-10,32
2016-01-12,23
2016-01-13,27
2016-01-14,23
2016-01-15,49
2016-01-16,64
2016-01-17,46
2016-01-19,37
2016-01-20,34
2016-01-21,55
2016-01-22,29
2016-01-23,49
2016-01-24,48
2016-01-26,53
2016-01-27,36
2016-01-28,44
2016-01-29,51
2016-01-30,38
2016-01-31,43
2016-02-02,39
2016-02-03,51
2016-02-04,28
2016-02-05,33
2016-02-06,57
2016-02-07,57
2016-02-09,51
2016-02-10,39
2016-02-11,48
2016-02-12,38
2016-02-13,50
2016-02-14,43
2016-02-16,31
2016-02-17,43
2016-02-18,25
2016-02-19,52
2016-02-20,27
2016-02-21,50
2016-02-23,24
2016-02-24,41
2016-02-25,42
2016-02-26,28
2016-02-27,50
2016-02-28,69
2016-03-01,43
2016-03-02,42
2016-03-03,32
2016-03-04,31
2016-03-05,55
2016-03-06,59
2016-03-08,25
2016-03-09,41
2016-03-10,42
2016-03-11,41
2016-03-12,75
2016-03-13,34
2016-03-16,37
2016-03-17,63
2016-03-18,29
2016-03-19,50
2016-03-20,58
2016-03-22,31
2016-03-23,43
2016-03-24,28
2016-03-25,40
2016-03-26,50
2016-03-27,33
2016-03-29,32
2016-03-30,51
2016-03-31,53
2016-04-01,31
2016-04-02,41
2016-04-03,29
2016-04-05,46
2016-04-06,34
2016-04-07,42
2016-04-08,56
2016-04-10,99
2016-04-12,37
2016-04-13,50
2016-04-14,34
2016-04-15,20
2016-04-16,62
2016-04-17,50
2016-04-19,25
2016-04-20,46
2016-04-21,40
2016-04-22,21
2016-04-23,17
2016-04-24,35
2016-04-26,33
2016-04-27,37
2016-04-28,34
2016-04-29,58
2016-04-30,39
2016-05-01,44
2016-05-03,38
2016-05-04,26
2016-05-05,26
2016-05-06,33
2016-05-07,46
2016-05-08,41
2016-05-10,34
2016-05-11,42
2016-05-12,47
2016-05-13,33
2016-05-14,49
2016-05-15,25
2016-05-17,21
2016-05-18,28
2016-05-19,93
2016-05-20,23
2016-05-21,27
2016-05-22,69
2016-05-24,36
2016-05-25,8
2016-05-26,98
2016-05-27,11
2016-05-28,48
2016-05-29,59
2016-05-31,13
2016-06-01,44
2016-06-02,27
2016-06-03,44
2016-06-04,54
2016-06-05,48
2016-06-08,32
2016-06-09,44
2016-06-10,35
2016-06-11,54
2016-06-12,40
2016-06-14,26
2016-06-15,54
2016-06-16,43
2016-06-17,42
2016-06-18,42
2016-06-19,55
2016-06-21,39
2016-06-22,29
2016-06-23,41
2016-06-24,37
2016-06-25,58
2016-06-26,59
2016-06-28,40
2016-06-29,49
2016-06-30,42
2016-07-01,38
2016-07-02,28
2016-07-03,63
2016-07-05,44
2016-07-06,46
2016-07-07,27
2016-07-08,48
2016-07-09,50
2016-07-10,35
2016-07-12,47
2016-07-13,26
2016-07-14,36
2016-07-15,52
2016-07-16,60
2016-07-17,43
2016-07-19,48
2016-07-20,31
2016-07-21,22
2016-07-22,55
2016-07-23,50
2016-07-24,46
2016-07-26,25
2016-07-27,19
2016-07-28,21
2016-07-29,66
2016-07-30,41
2016-07-31,64
2016-08-02,45
2016-08-03,57
2016-08-04,24
2016-08-05,28
2016-08-06,62
2016-08-07,39
2016-08-09,28
2016-08-10,63
2016-08-11,1
2016-08-16,23
2016-08-17,38
2016-08-18,28
2016-08-19,28
2016-08-20,29
2016-08-21,73
2016-08-23,33
2016-08-24,45
2016-08-25,32
2016-08-26,38
2016-08-27,44
2016-08-28,53
2016-08-29,1
2016-08-30,39
2016-08-31,58
2016-09-01,38
2016-09-02,28
2016-09-03,36
2016-09-04,31
2016-09-06,53
2016-09-07,39
2016-09-08,5
2016-09-09,45
2016-09-10,17
2016-09-11,81
2016-09-13,33
2016-09-14,38
2016-09-15,34
2016-09-16,22
2016-09-17,53
2016-09-18,32
2016-09-20,30
2016-09-21,35
2016-09-22,48
2016-09-23,36
2016-09-24,54
2016-09-25,69
2016-09-27,44
2016-09-28,25
2016-09-29,46
2016-09-30,44
2016-10-01,55
2016-10-02,43
2016-10-04,32
2016-10-05,36
2016-10-06,30
2016-10-07,27
2016-10-08,51
2016-10-09,61
2016-10-11,30
2016-10-12,46
2016-10-13,44
2016-10-14,22
2016-10-15,53
2016-10-16,50
2016-10-18,30
2016-10-19,30
2016-10-20,45
2016-10-21,50
2016-10-22,32
2016-10-23,45
2016-10-25,11
2016-10-26,47
2016-10-27,19
2016-10-28,46
2016-10-29,30
2016-10-30,39
2016-11-01,30
2016-11-02,30
2016-11-03,52
2016-11-04,45
2016-11-05,57
2016-11-06,51
2016-11-08,41
2016-11-09,44
2016-11-10,26
2016-11-11,45
2016-11-12,58
2016-11-13,80
2016-11-15,46
2016-11-16,29
2016-11-17,51
2016-11-18,35
2016-11-19,48
2016-11-20,63
2016-11-22,24
2016-11-23,36
2016-11-24,26
2016-11-25,26
2016-11-26,38
2016-11-27,71
2016-11-29,36
2016-11-30,33
2016-12-01,33
2016-12-02,24
2016-12-03,50
2016-12-04,48
2016-12-06,34
2016-12-07,23
2016-12-08,37
2016-12-09,33
2016-12-10,42
2016-12-11,42
2016-12-13,29
2016-12-14,48
2016-12-15,11
2016-12-16,41
2016-12-17,52
2016-12-18,68
2016-12-20,37
2016-12-21,64
2016-12-22,37
2016-12-23,45
2016-12-24,11
2016-12-25,72
2016-12-27,16
2016-12-28,47
2017-01-06,19
2017-01-07,35
2017-01-08,38
2017-01-10,38
2017-01-11,22
2017-01-12,7
2017-01-13,67
2017-01-14,63
2017-01-15,57
2017-01-17,26
2017-01-18,30
