date,visitors
2016-07-02,8
2016-07-04,2
2016-07-05,8
2016-07-06,13
2016-07-07,8
2016-07-08,3
2016-07-09,4
2016-07-11,3
2016-07-12,8
2016-07-13,9
2016-07-14,4
2016-07-15,2
2016-07-16,2
2016-07-19,2
2016-07-20,6
2016-07-21,8
2016-07-22,4
2016-07-23,4
2016-07-25,4
2016-07-26,1
2016-07-27,1
2016-07-28,12
2016-07-29,9
2016-07-30,24
2016-08-02,12
2016-08-03,4
2016-08-04,2
2016-08-05,8
2016-08-06,1
2016-08-08,2
2016-08-09,5
2016-08-10,15
2016-08-11,11
2016-08-12,4
2016-08-13,3
2016-08-17,4
2016-08-18,5
2016-08-20,3
2016-08-23,6
2016-08-24,10
2016-08-25,2
2016-08-26,6
2016-08-27,3
2016-08-29,4
2016-08-30,4
2016-08-31,4
2016-09-01,2
2016-09-02,9
2016-09-03,5
2016-09-05,2
2016-09-06,5
2016-09-08,6
2016-09-09,6
2016-09-10,3
2016-09-13,4
2016-09-14,4
2016-09-15,3
2016-09-16,11
2016-09-17,1
2016-09-18,5
2016-09-21,3
2016-09-22,9
2016-09-23,1
2016-09-24,5
2016-09-27,4
2016-09-28,3
2016-09-29,5
2016-09-30,8
2016-10-01,5
2016-10-04,1
2016-10-05,9
2016-10-06,1
2016-10-07,2
2016-10-08,3
2016-10-11,3
2016-10-12,10
2016-10-13,2
2016-10-15,4
2016-10-18,3
2016-10-20,5
2016-10-22,3
2016-10-23,2
2016-11-01,5
2016-11-04,7
2016-11-05,3
2016-11-07,4
2016-11-08,3
2016-11-09,1
2016-11-10,3
2016-11-14,11
2016-11-15,6
2016-11-16,5
2016-11-17,10
2016-11-18,7
2016-11-19,10
2016-11-22,4
2016-11-23,7
2016-11-24,8
2016-11-25,16
2016-11-26,6
2016-11-29,10
2016-12-01,3
2016-12-02,6
2016-12-03,11
2016-12-05,5
2016-12-06,2
2016-12-07,7
2016-12-08,4
2016-12-09,11
2016-12-10,11
2016-12-12,6
2016-12-13,1
2016-12-14,12
2016-12-15,5
2016-12-16,8
2016-12-17,3
2016-12-18,4
2016-12-19,1
2016-12-20,4
2016-12-21,8
2016-12-22,5
2016-12-23,2
2016-12-26,5
2016-12-27,3
2016-12-28,8
2016-12-29,6
2016-12-30,1
2017-01-06,7
2017-01-07,9
2017-01-08,1
2017-01-10,1
2017-01-11,5
2017-01-13,2
2017-01-14,1
2017-01-17,4
2017-01-18,13
2017-01-20,2
2017-01-21,3
2017-01-23,4
2017-01-24,7
2017-01-25,3
2017-01-26,6
2017-01-27,2
2017-01-28,6
2017-01-31,3
2017-02-01,3
2017-02-02,4
2017-02-03,3
2017-02-04,14
2017-02-06,8
2017-02-07,7
2017-02-08,12
2017-02-09,11
2017-02-10,13
2017-02-11,3
2017-02-14,1
2017-02-15,14
2017-02-16,2
2017-02-17,6
2017-02-18,14
2017-02-20,5
2017-02-21,9
2017-02-22,10
2017-02-23,4
2017-02-24,10
2017-02-25,2
2017-02-27,4
2017-02-28,6
