date,visitors
2016-07-01,29
2016-07-02,20
2016-07-03,22
2016-07-04,13
2016-07-05,16
2016-07-06,7
2016-07-07,22
2016-07-08,24
2016-07-09,45
2016-07-10,24
2016-07-11,22
2016-07-12,11
2016-07-13,5
2016-07-14,8
2016-07-15,9
2016-07-16,39
2016-07-17,10
2016-07-18,28
2016-07-19,15
2016-07-20,11
2016-07-21,55
2016-07-22,30
2016-07-23,12
2016-07-24,22
2016-07-25,7
2016-07-26,11
2016-07-27,12
2016-07-28,16
2016-07-29,15
2016-07-30,31
2016-07-31,35
2016-08-01,32
2016-08-02,13
2016-08-03,5
2016-08-04,12
2016-08-05,31
2016-08-06,16
2016-08-07,23
2016-08-08,20
2016-08-09,4
2016-08-10,9
2016-08-11,28
2016-08-12,22
2016-08-13,42
2016-08-14,18
2016-08-15,10
2016-08-16,10
2016-08-17,6
2016-08-18,9
2016-08-19,23
2016-08-20,31
2016-08-21,15
2016-08-22,20
2016-08-23,10
2016-08-24,7
2016-08-25,23
2016-08-26,12
2016-08-27,35
2016-08-28,23
2016-08-29,7
2016-08-30,8
2016-08-31,12
2016-09-01,20
2016-09-02,14
2016-09-03,20
2016-09-04,21
2016-09-05,12
2016-09-06,1
2016-09-07,6
2016-09-08,6
2016-09-09,11
2016-09-10,27
2016-09-11,32
2016-09-12,6
2016-09-13,7
2016-09-14,8
2016-09-15,13
2016-09-16,13
2016-09-17,38
2016-09-18,24
2016-09-19,16
2016-09-20,7
2016-09-21,10
2016-09-22,22
2016-09-23,23
2016-09-24,26
2016-09-25,38
2016-09-26,2
2016-09-27,24
2016-09-28,14
2016-09-29,12
2016-09-30,13
2016-10-01,34
2016-10-02,49
2016-10-03,7
2016-10-04,4
2016-10-05,6
2016-10-06,14
2016-10-07,12
2016-10-08,31
2016-10-09,27
2016-10-10,23
2016-10-11,9
2016-10-12,9
2016-10-13,10
2016-10-14,24
2016-10-15,25
2016-10-16,34
2016-10-17,10
2016-10-18,3
2016-10-19,11
2016-10-20,9
2016-10-21,15
2016-10-22,42
2016-10-23,22
2016-10-24,6
2016-10-25,7
2016-10-26,18
2016-10-27,1
2016-10-28,36
2016-10-29,35
2016-10-30,37
2016-10-31,13
2016-11-01,7
2016-11-02,3
2016-11-03,31
2016-11-04,6
2016-11-05,12
2016-11-06,30
2016-11-07,1
2016-11-08,14
2016-11-09,5
2016-11-10,14
2016-11-11,26
2016-11-12,30
2016-11-13,11
2016-11-14,10
2016-11-15,14
2016-11-16,13
2016-11-17,6
2016-11-18,8
2016-11-19,23
2016-11-20,22
2016-11-21,25
2016-11-22,17
2016-11-23,13
2016-11-24,15
2016-11-25,28
2016-11-26,31
2016-11-27,51
2016-11-28,13
2016-11-29,14
2016-11-30,7
2016-12-01,14
2016-12-02,18
2016-12-03,37
2016-12-04,30
2016-12-05,34
2016-12-06,11
2016-12-07,10
2016-12-08,13
2016-12-09,16
2016-12-10,48
2016-12-11,19
2016-12-12,5
2016-12-13,11
2016-12-14,15
2016-12-15,24
2016-12-16,30
2016-12-17,54
2016-12-18,26
2016-12-19,8
2016-12-20,16
2016-12-21,11
2016-12-22,30
2016-12-23,25
2016-12-24,20
2016-12-25,34
2016-12-26,28
2016-12-27,8
2016-12-28,14
2016-12-29,39
2016-12-30,43
2017-01-04,6
2017-01-05,9
2017-01-06,10
2017-01-07,29
2017-01-08,17
2017-01-09,4
2017-01-10,35
2017-01-11,9
2017-01-12,14
2017-01-13,16
2017-01-14,36
2017-01-15,33
2017-01-16,12
2017-01-17,14
2017-01-18,18
2017-01-19,19
2017-01-20,23
2017-01-21,36
2017-01-22,25
2017-01-23,12
2017-01-24,20
2017-01-25,13
2017-01-26,28
2017-01-27,17
2017-01-28,51
2017-01-29,31
2017-01-30,9
2017-01-31,6
2017-02-01,15
2017-02-02,22
2017-02-03,24
2017-02-04,31
2017-02-05,16
2017-02-06,11
2017-02-07,10
2017-02-08,6
2017-02-09,16
2017-02-10,30
2017-02-11,32
2017-02-12,23
2017-02-13,6
2017-02-14,19
2017-02-15,20
2017-02-16,12
2017-02-17,4
2017-02-18,39
2017-02-19,27
2017-02-20,6
2017-02-21,10
2017-02-22,8
