date,visitors
2016-01-13,25
2016-01-14,32
2016-01-15,29
2016-01-16,22
2016-01-18,6
2016-01-19,9
2016-01-20,31
2016-01-21,21
2016-01-22,18
2016-01-23,26
2016-01-25,21
2016-01-26,11
2016-01-27,24
2016-01-28,21
2016-01-29,26
2016-01-30,6
2016-02-03,18
2016-02-04,12
2016-02-05,45
2016-02-06,15
2016-02-08,19
2016-02-09,15
2016-02-10,32
2016-02-11,3
2016-02-12,26
2016-02-13,8
2016-02-15,14
2016-02-16,15
2016-02-17,17
2016-02-18,22
2016-02-19,43
2016-02-20,20
2016-02-22,7
2016-02-23,16
2016-02-24,21
2016-02-25,21
2016-02-26,32
2016-02-27,23
2016-02-29,22
2016-03-01,19
2016-03-02,21
2016-03-03,20
2016-03-04,37
2016-03-05,13
2016-03-07,11
2016-03-08,8
2016-03-09,23
2016-03-10,31
2016-03-11,37
2016-03-12,25
2016-03-14,10
2016-03-15,20
2016-03-16,25
2016-03-17,27
2016-03-18,39
2016-03-19,32
2016-03-22,17
2016-03-23,29
2016-03-24,25
2016-03-25,30
2016-03-26,41
2016-03-27,1
2016-03-28,7
2016-03-29,19
2016-03-30,25
2016-03-31,44
2016-04-01,36
2016-04-02,16
2016-04-04,20
2016-04-05,22
2016-04-06,13
2016-04-07,12
2016-04-08,49
2016-04-09,19
2016-04-11,10
2016-04-12,22
2016-04-13,30
2016-04-14,24
2016-04-15,51
2016-04-16,35
2016-04-18,21
2016-04-19,23
2016-04-20,33
2016-04-21,11
2016-04-22,40
2016-04-23,28
2016-04-25,29
2016-04-26,19
2016-04-27,9
2016-04-28,26
2016-04-30,12
2016-05-02,34
2016-05-06,17
2016-05-07,46
2016-05-09,12
2016-05-10,14
2016-05-11,24
2016-05-12,30
2016-05-13,45
2016-05-14,48
2016-05-16,11
2016-05-17,20
2016-05-18,37
2016-05-19,23
2016-05-20,54
2016-05-21,43
2016-05-23,11
2016-05-24,28
2016-05-25,33
2016-05-26,26
2016-05-27,30
2016-05-28,27
2016-05-30,17
2016-05-31,25
2016-06-01,27
2016-06-02,27
2016-06-03,50
2016-06-04,33
2016-06-06,10
2016-06-07,20
2016-06-08,35
2016-06-09,27
2016-06-10,43
2016-06-11,53
2016-06-13,16
2016-06-14,25
2016-06-15,32
2016-06-16,24
2016-06-17,46
2016-06-18,34
2016-06-20,11
2016-06-21,22
2016-06-22,14
2016-06-23,45
2016-06-24,39
2016-06-25,44
2016-06-27,32
2016-06-28,26
2016-06-29,33
2016-06-30,33
2016-07-01,61
2016-07-02,25
2016-07-04,21
2016-07-05,24
2016-07-06,19
2016-07-07,22
2016-07-08,29
2016-07-09,33
2016-07-11,20
2016-07-12,28
2016-07-13,25
2016-07-14,22
2016-07-15,51
2016-07-16,28
2016-07-19,16
2016-07-20,45
2016-07-21,26
2016-07-22,47
2016-07-23,24
2016-07-25,9
2016-07-26,23
2016-07-27,26
2016-07-28,26
2016-07-29,33
2016-07-30,21
2016-08-01,13
2016-08-02,12
2016-08-03,27
2016-08-04,24
2016-08-05,38
2016-08-06,27
2016-08-08,23
2016-08-09,22
2016-08-10,57
2016-08-11,2
2016-08-12,18
2016-08-13,21
2016-08-19,35
2016-08-20,18
2016-08-22,15
2016-08-23,34
2016-08-24,27
2016-08-25,31
2016-08-26,31
2016-08-27,28
2016-08-29,10
2016-08-30,21
2016-08-31,36
2016-09-01,20
2016-09-02,30
2016-09-03,39
2016-09-05,4
2016-09-06,32
2016-09-07,20
2016-09-08,15
2016-09-09,29
2016-09-10,40
2016-09-12,23
2016-09-13,18
2016-09-14,40
2016-09-15,14
2016-09-16,46
2016-09-17,46
2016-09-20,13
2016-09-21,37
2016-09-22,21
2016-09-23,27
2016-09-24,32
2016-09-26,24
2016-09-27,28
2016-09-28,25
2016-09-29,14
2016-09-30,29
2016-10-01,48
