date,visitors
2016-07-01,29
2016-07-02,35
2016-07-03,65
2016-07-04,37
2016-07-05,4
2016-07-07,7
2016-07-08,21
2016-07-09,42
2016-07-10,31
2016-07-11,16
2016-07-12,10
2016-07-17,16
2016-07-18,44
2016-07-19,8
2016-07-20,13
2016-07-21,82
2016-07-22,39
2016-07-23,53
2016-07-24,51
2016-07-25,36
2016-07-26,7
2016-07-27,18
2016-07-28,6
2016-07-29,16
2016-07-30,31
2016-07-31,47
2016-08-01,27
2016-08-03,8
2016-08-04,42
2016-08-05,45
2016-08-06,46
2016-08-07,20
2016-08-08,44
2016-08-09,22
2016-08-10,16
2016-08-11,23
2016-08-12,36
2016-08-13,5
2016-08-14,10
2016-08-15,36
2016-08-16,24
2016-08-17,8
2016-08-18,25
2016-08-19,28
2016-08-20,37
2016-08-21,40
2016-08-22,17
2016-08-23,18
2016-08-24,12
2016-08-25,18
2016-08-26,33
2016-08-27,41
2016-08-28,23
2016-08-29,19
2016-08-30,6
2016-08-31,34
2016-09-01,33
2016-09-02,42
2016-09-03,37
2016-09-04,18
2016-09-05,23
2016-09-08,8
2016-09-09,36
2016-09-10,31
2016-09-11,34
2016-09-12,37
2016-09-13,8
2016-09-14,13
2016-09-15,27
2016-09-16,30
2016-09-17,21
2016-09-18,17
2016-09-19,23
2016-09-20,15
2016-09-21,23
2016-09-22,43
2016-09-23,25
2016-09-24,37
2016-09-25,22
2016-09-26,33
2016-09-27,18
2016-09-29,20
2016-09-30,34
2016-10-01,30
2016-10-02,44
2016-10-03,15
2016-10-04,13
2016-10-05,7
2016-10-06,20
2016-10-07,27
2016-10-08,43
2016-10-09,45
2016-10-10,33
2016-10-11,14
2016-10-12,15
2016-10-13,6
2016-10-14,9
2016-10-15,33
2016-10-16,23
2016-10-17,18
2016-10-18,10
2016-10-19,8
2016-10-20,19
2016-10-21,33
2016-10-22,40
2016-10-23,38
2016-10-24,29
2016-10-25,18
2016-10-26,7
2016-10-27,15
2016-10-28,35
2016-10-29,33
2016-10-30,34
2016-10-31,18
2016-11-01,14
2016-11-02,23
2016-11-03,20
2016-11-04,25
2016-11-05,52
2016-11-06,19
2016-11-09,5
2016-11-10,15
2016-11-11,30
2016-11-12,34
2016-11-13,37
2016-11-14,20
2016-11-15,15
2016-11-16,15
2016-11-17,14
2016-11-18,30
2016-11-19,39
2016-11-20,33
2016-11-21,25
2016-11-22,34
2016-11-23,18
2016-11-24,6
2016-11-25,39
2016-11-26,42
2016-11-27,36
2016-11-28,11
2016-11-30,11
2016-12-01,23
2016-12-02,33
2016-12-03,30
2016-12-04,42
2016-12-05,18
2016-12-06,20
2016-12-07,4
2016-12-08,13
2016-12-09,14
2016-12-10,64
2016-12-11,35
2016-12-12,23
2016-12-13,25
2016-12-14,1
2016-12-15,8
2016-12-16,16
2016-12-17,48
2016-12-18,38
2016-12-19,16
2016-12-20,13
2016-12-21,33
2016-12-22,42
2016-12-23,66
2016-12-24,22
2016-12-25,35
2016-12-26,30
2016-12-27,16
2016-12-28,26
2016-12-29,26
2016-12-30,45
2016-12-31,10
2017-01-03,20
2017-01-04,30
2017-01-05,33
2017-01-06,28
2017-01-07,36
2017-01-08,35
2017-01-09,32
2017-01-11,10
2017-01-12,4
2017-01-13,30
2017-01-14,27
2017-01-15,32
2017-01-16,29
2017-01-17,13
2017-01-18,8
2017-01-19,43
2017-01-20,34
2017-01-21,29
2017-01-22,39
2017-01-23,30
2017-01-24,7
2017-01-27,21
2017-01-28,45
2017-01-29,27
2017-01-30,26
2017-01-31,10
2017-02-01,17
2017-02-02,20
2017-02-03,27
2017-02-04,37
2017-02-05,28
2017-02-06,10
2017-02-08,2
2017-02-09,22
2017-02-10,26
2017-02-11,50
2017-02-12,21
2017-02-13,9
2017-02-14,39
2017-02-15,25
2017-02-16,37
2017-02-17,49
2017-02-18,33
2017-02-19,54
2017-02-20,39
2017-02-21,23
2017-02-22,5
2017-02-23,41
