date,visitors
2016-07-01,2
2016-07-02,3
2016-07-03,6
2016-07-06,3
2016-07-07,13
2016-07-08,4
2016-07-09,17
2016-07-10,18
2016-07-11,4
2016-07-12,7
2016-07-13,2
2016-07-14,6
2016-07-15,7
2016-07-16,14
2016-07-17,18
2016-07-18,2
2016-07-19,5
2016-07-20,1
2016-07-21,20
2016-07-22,4
2016-07-23,9
2016-07-24,7
2016-07-25,9
2016-07-26,2
2016-07-27,6
2016-07-28,6
2016-07-29,5
2016-07-30,10
2016-07-31,7
2016-08-01,2
2016-08-03,2
2016-08-04,2
2016-08-05,5
2016-08-06,10
2016-08-07,15
2016-08-08,16
2016-08-09,5
2016-08-10,10
2016-08-11,9
2016-08-12,3
2016-08-13,12
2016-08-14,6
2016-08-15,8
2016-08-16,6
2016-08-17,8
2016-08-19,11
2016-08-20,8
2016-08-21,16
2016-08-22,4
2016-08-23,7
2016-08-24,18
2016-08-26,3
2016-08-27,5
2016-08-28,12
2016-08-29,1
2016-08-30,8
2016-08-31,3
2016-09-01,2
2016-09-02,8
2016-09-03,11
2016-09-04,12
2016-09-10,15
2016-09-11,2
2016-09-12,7
2016-09-13,8
2016-09-14,4
2016-09-16,2
2016-09-17,24
2016-09-18,10
2016-09-19,1
2016-09-20,12
2016-09-21,6
2016-09-22,10
2016-09-23,6
2016-09-24,30
2016-09-25,11
2016-09-26,16
2016-09-27,5
2016-09-29,2
2016-09-30,6
2016-10-01,11
2016-10-02,20
2016-10-05,1
2016-10-06,4
2016-10-07,3
2016-10-08,3
2016-10-09,4
2016-10-10,1
2016-10-11,1
2016-10-12,7
2016-10-14,6
2016-10-15,17
2016-10-16,2
2016-10-17,4
2016-10-19,2
2016-10-20,9
2016-10-21,11
2016-10-22,17
2016-10-23,8
2016-10-24,3
2016-10-25,3
2016-10-26,12
2016-10-29,13
2016-10-30,6
2016-10-31,6
2016-11-01,9
2016-11-02,9
2016-11-03,2
2016-11-04,12
2016-11-05,9
2016-11-06,11
2016-11-07,6
2016-11-08,6
2016-11-09,12
2016-11-12,25
2016-11-13,5
2016-11-14,12
2016-11-16,1
2016-11-17,2
2016-11-18,7
2016-11-19,20
2016-11-20,35
2016-11-21,7
2016-11-22,12
2016-11-23,7
2016-11-25,4
2016-11-26,18
2016-11-27,6
2016-11-28,2
2016-11-29,4
2016-11-30,7
2016-12-02,2
2016-12-03,7
2016-12-04,18
2016-12-05,4
2016-12-06,3
2016-12-07,6
2016-12-08,2
2016-12-09,8
2016-12-10,11
2016-12-11,9
2016-12-12,8
2016-12-13,5
2016-12-14,2
2016-12-15,4
2016-12-16,11
2016-12-17,10
2016-12-18,29
2016-12-19,15
2016-12-20,9
2016-12-21,11
2016-12-22,18
2016-12-23,18
2016-12-24,16
2016-12-25,18
2016-12-26,2
2016-12-27,2
2016-12-28,6
2016-12-29,16
2016-12-30,34
2016-12-31,4
2017-01-01,30
2017-01-02,7
2017-01-03,7
2017-01-04,4
2017-01-05,18
2017-01-06,4
2017-01-07,9
2017-01-08,6
2017-01-09,13
2017-01-10,6
2017-01-12,6
2017-01-13,6
2017-01-14,3
2017-01-15,11
2017-01-16,11
2017-01-17,6
2017-01-18,3
2017-01-19,4
2017-01-20,4
2017-01-21,2
2017-01-22,2
2017-01-23,7
2017-01-24,4
2017-01-25,8
2017-01-27,3
2017-01-28,18
2017-01-29,30
2017-01-31,2
2017-02-01,2
2017-02-02,2
2017-02-04,9
2017-02-05,16
2017-02-06,6
2017-02-08,6
2017-02-09,5
2017-02-10,2
2017-02-11,6
2017-02-12,8
2017-02-13,5
2017-02-14,2
2017-02-15,6
2017-02-16,8
2017-02-17,2
