date,visitors
2016-07-01,55
2016-07-02,20
2016-07-04,34
2016-07-05,55
2016-07-06,50
2016-07-07,52
2016-07-08,61
2016-07-09,34
2016-07-11,43
2016-07-12,43
2016-07-13,39
2016-07-14,47
2016-07-15,44
2016-07-16,33
2016-07-17,27
2016-07-18,3
2016-07-19,47
2016-07-20,34
2016-07-21,27
2016-07-22,57
2016-07-23,13
2016-07-25,33
2016-07-26,57
2016-07-27,56
2016-07-28,41
2016-07-29,77
2016-07-30,8
2016-08-01,35
2016-08-02,29
2016-08-03,26
2016-08-04,48
2016-08-05,39
2016-08-07,25
2016-08-08,33
2016-08-09,58
2016-08-10,37
2016-08-11,2
2016-08-12,22
2016-08-15,36
2016-08-16,54
2016-08-17,37
2016-08-18,36
2016-08-19,17
2016-08-20,50
2016-08-22,16
2016-08-23,45
2016-08-24,45
2016-08-25,48
2016-08-26,58
2016-08-27,16
2016-08-28,20
2016-08-29,37
2016-08-30,11
2016-08-31,48
2016-09-01,43
2016-09-02,54
2016-09-03,32
2016-09-04,17
2016-09-05,31
2016-09-06,29
2016-09-07,37
2016-09-08,44
2016-09-09,75
2016-09-10,22
2016-09-12,50
2016-09-13,39
2016-09-14,52
2016-09-15,57
2016-09-16,52
2016-09-19,22
2016-09-20,19
2016-09-21,28
2016-09-22,4
2016-09-23,61
2016-09-24,20
2016-09-26,73
2016-09-27,45
2016-09-28,45
2016-09-29,43
2016-09-30,59
2016-10-01,11
2016-10-03,46
2016-10-04,28
2016-10-05,38
2016-10-06,45
2016-10-07,50
2016-10-08,8
2016-10-11,26
2016-10-12,49
2016-10-13,32
2016-10-14,60
2016-10-15,20
2016-10-17,19
2016-10-18,33
2016-10-19,49
2016-10-20,45
2016-10-21,41
2016-10-22,11
2016-10-24,65
2016-10-25,36
2016-10-26,38
2016-10-27,51
2016-10-28,54
2016-10-29,9
2016-10-31,35
2016-11-01,16
2016-11-02,35
2016-11-03,12
2016-11-04,54
2016-11-05,18
2016-11-07,29
2016-11-08,48
2016-11-09,35
2016-11-10,30
2016-11-11,23
2016-11-12,11
2016-11-15,35
2016-11-16,46
2016-11-17,33
2016-11-18,66
2016-11-19,28
2016-11-21,25
2016-11-22,39
2016-11-23,7
2016-11-24,16
2016-11-25,50
2016-11-26,34
2016-11-28,20
2016-11-29,42
2016-11-30,57
2016-12-01,55
2016-12-02,68
2016-12-03,30
2016-12-05,46
2016-12-06,30
2016-12-07,50
2016-12-08,55
2016-12-09,65
2016-12-10,28
2016-12-12,42
2016-12-13,61
2016-12-14,53
2016-12-15,54
2016-12-16,52
2016-12-17,14
2016-12-19,54
2016-12-20,53
2016-12-21,58
2016-12-22,54
2016-12-23,14
2016-12-24,17
2016-12-26,45
2016-12-27,50
2016-12-28,24
2016-12-29,23
2016-12-30,10
2017-01-05,42
2017-01-06,37
2017-01-07,5
2017-01-09,10
2017-01-10,32
2017-01-11,36
2017-01-12,53
2017-01-13,33
2017-01-14,27
2017-01-16,57
2017-01-17,27
2017-01-18,25
2017-01-19,14
2017-01-20,51
2017-01-21,21
2017-01-23,49
2017-01-24,31
2017-01-25,34
2017-01-26,37
2017-01-27,32
2017-01-30,30
2017-01-31,46
2017-02-01,55
2017-02-02,37
2017-02-03,43
2017-02-04,20
2017-02-06,35
2017-02-07,30
2017-02-08,39
2017-02-09,32
2017-02-10,46
2017-02-13,27
2017-02-14,41
2017-02-15,59
2017-02-16,52
2017-02-17,60
2017-02-18,29
2017-02-20,22
2017-02-21,22
2017-02-22,35
2017-02-23,23
