date,visitors
2016-07-01,20
2016-07-03,46
2016-07-04,22
2016-07-05,22
2016-07-07,27
2016-07-08,13
2016-07-09,51
2016-07-11,16
2016-07-12,18
2016-07-14,7
2016-07-15,20
2016-07-16,39
2016-07-18,50
2016-07-19,16
2016-07-21,22
2016-07-22,52
2016-07-23,47
2016-07-24,47
2016-07-25,37
2016-07-27,33
2016-07-28,28
2016-07-29,15
2016-07-30,56
2016-07-31,43
2016-08-02,54
2016-08-04,31
2016-08-05,33
2016-08-06,21
2016-08-07,35
2016-08-08,23
2016-08-09,18
2016-08-11,63
2016-08-13,43
2016-08-14,19
2016-08-18,36
2016-08-19,38
2016-08-22,5
2016-08-23,18
2016-08-25,45
2016-08-26,62
2016-08-27,36
2016-08-28,57
2016-08-29,24
2016-08-30,27
2016-09-01,31
2016-09-02,17
2016-09-03,34
2016-09-04,39
2016-09-05,9
2016-09-06,22
2016-09-08,38
2016-09-09,14
2016-09-10,38
2016-09-11,48
2016-09-12,23
2016-09-13,12
2016-09-15,21
2016-09-16,15
2016-09-17,39
2016-09-18,102
2016-09-19,46
2016-09-20,34
2016-09-22,38
2016-09-23,16
2016-09-24,44
2016-09-25,52
2016-09-26,15
2016-09-27,34
2016-09-29,22
2016-09-30,20
2016-10-01,45
2016-10-02,56
2016-10-03,9
2016-10-04,6
2016-10-06,11
2016-10-07,26
2016-10-08,41
2016-10-09,58
2016-10-10,55
2016-10-11,21
2016-10-13,29
2016-10-14,28
2016-10-15,49
2016-10-16,54
2016-10-17,14
2016-10-18,21
2016-10-20,27
2016-10-21,23
2016-10-22,34
2016-10-23,64
2016-10-24,8
2016-10-25,29
2016-10-27,23
2016-10-28,28
2016-10-29,36
2016-10-30,53
2016-10-31,23
2016-11-01,20
2016-11-04,14
2016-11-05,34
2016-11-06,45
2016-11-07,20
2016-11-08,18
2016-11-10,16
2016-11-11,19
2016-11-12,44
2016-11-13,55
2016-11-14,21
2016-11-15,19
2016-11-17,29
2016-11-18,15
2016-11-19,42
2016-11-20,48
2016-11-21,19
2016-11-22,19
2016-11-23,31
2016-11-25,18
2016-11-26,39
2016-11-27,1
2016-11-28,10
2016-11-29,14
2016-12-01,23
2016-12-02,11
2016-12-03,36
2016-12-04,38
2016-12-05,19
2016-12-06,16
2016-12-08,12
2016-12-09,15
2016-12-10,44
2016-12-11,63
2016-12-12,28
2016-12-13,33
2016-12-15,29
2016-12-16,25
2016-12-17,53
2016-12-18,66
2016-12-19,20
2016-12-20,21
2016-12-22,24
2016-12-23,48
2016-12-24,42
2016-12-25,59
2016-12-26,18
2016-12-27,32
2017-01-05,10
2017-01-06,14
2017-01-07,35
2017-01-08,47
2017-01-09,59
2017-01-10,18
2017-01-12,13
2017-01-13,24
2017-01-14,61
2017-01-15,58
2017-01-16,23
2017-01-19,27
2017-01-20,15
2017-01-21,50
2017-01-22,67
2017-01-23,19
2017-01-24,22
2017-01-26,23
2017-01-27,29
2017-01-29,96
2017-01-30,16
2017-01-31,35
2017-02-02,38
2017-02-03,31
2017-02-04,48
2017-02-05,51
2017-02-06,24
2017-02-07,29
2017-02-09,30
2017-02-10,32
2017-02-11,51
2017-02-12,64
2017-02-13,28
2017-02-14,18
2017-02-16,27
2017-02-17,28
2017-02-18,47
2017-02-19,72
2017-02-20,35
2017-02-21,38
2017-02-23,27
2017-02-24,32
