date,visitors
2016-01-29,1
2016-02-02,12
2016-02-03,10
2016-02-04,10
2016-02-05,8
2016-02-06,20
2016-02-07,15
2016-02-09,12
2016-02-10,11
2016-02-11,24
2016-02-12,9
2016-02-13,17
2016-02-14,9
2016-02-16,7
2016-02-17,4
2016-02-18,15
2016-02-19,4
2016-02-20,15
2016-02-21,9
2016-02-23,10
2016-02-25,34
2016-02-26,10
2016-02-27,20
2016-02-28,11
2016-03-01,3
2016-03-02,3
2016-03-03,5
2016-03-04,3
2016-03-05,20
2016-03-06,19
2016-03-08,4
2016-03-09,4
2016-03-10,3
2016-03-11,5
2016-03-12,12
2016-03-15,4
2016-03-16,12
2016-03-17,10
2016-03-18,5
2016-03-19,16
2016-03-20,19
2016-03-21,8
2016-03-23,4
2016-03-24,6
2016-03-25,8
2016-03-26,10
2016-03-27,15
2016-03-28,4
2016-03-29,8
2016-03-30,7
2016-03-31,12
2016-04-01,7
2016-04-02,12
2016-04-03,21
2016-04-05,2
2016-04-06,9
2016-04-07,2
2016-04-08,10
2016-04-09,14
2016-04-10,24
2016-04-12,21
2016-04-13,8
2016-04-14,1
2016-04-15,8
2016-04-16,12
2016-04-17,19
2016-04-19,20
2016-04-20,19
2016-04-21,8
2016-04-22,6
2016-04-23,2
2016-04-24,21
2016-04-26,17
2016-04-27,4
2016-04-28,12
2016-04-29,24
2016-05-01,19
2016-05-02,10
2016-05-03,28
2016-05-06,2
2016-05-07,3
2016-05-08,24
2016-05-10,17
2016-05-11,8
2016-05-12,6
2016-05-13,10
2016-05-14,14
2016-05-15,17
2016-05-17,20
2016-05-18,25
2016-05-19,10
2016-05-20,12
2016-05-21,9
2016-05-22,12
2016-05-24,10
2016-05-25,3
2016-05-26,4
2016-05-27,3
2016-05-28,14
2016-05-29,24
2016-05-31,23
2016-06-01,9
2016-06-02,7
2016-06-03,3
2016-06-04,10
2016-06-05,25
2016-06-07,16
2016-06-08,12
2016-06-09,12
2016-06-10,12
2016-06-11,17
2016-06-12,21
2016-06-14,22
2016-06-15,20
2016-06-16,6
2016-06-17,10
2016-06-18,23
2016-06-19,13
2016-06-21,19
2016-06-22,11
2016-06-23,11
2016-06-24,5
2016-06-25,22
2016-06-26,24
2016-06-28,21
2016-06-29,7
2016-06-30,4
2016-07-01,4
2016-07-02,6
2016-07-03,12
2016-07-05,19
2016-07-06,2
2016-07-07,4
2016-07-08,8
2016-07-12,17
2016-07-13,9
2016-07-14,10
2016-07-15,7
2016-07-16,6
2016-07-17,18
2016-07-19,26
2016-07-20,24
2016-07-21,5
2016-07-22,6
2016-07-23,19
2016-07-24,21
2016-07-26,25
2016-07-27,10
2016-07-28,11
2016-07-29,9
2016-07-30,6
2016-07-31,20
2016-08-02,24
2016-08-03,14
2016-08-04,8
2016-08-05,112
2016-08-07,10
2016-08-09,25
2016-08-10,9
2016-08-11,21
2016-08-12,10
2016-08-16,25
2016-08-17,4
2016-08-18,6
2016-08-19,2
2016-08-20,16
2016-08-21,18
2016-08-23,16
2016-08-24,6
2016-08-25,3
2016-08-27,17
2016-08-28,17
2016-08-30,9
2016-08-31,8
2016-09-01,9
2016-09-02,13
2016-09-03,6
2016-09-04,18
2016-09-06,17
2016-09-07,2
2016-09-08,1
2016-09-09,5
2016-09-10,15
2016-09-11,19
2016-09-13,12
2016-09-14,14
2016-09-15,1
2016-09-16,10
2016-09-17,18
2016-09-18,15
2016-09-19,10
2016-09-21,21
2016-09-22,19
2016-09-23,16
2016-09-28,16
2016-09-29,3
2016-09-30,16
2016-10-01,8
2016-10-02,19
2016-10-04,16
2016-10-05,3
2016-10-06,6
2016-10-07,6
2016-10-08,7
2016-10-09,30
2016-10-10,18
2016-10-12,21
2016-10-13,4
2016-10-14,12
2016-10-15,22
2016-10-16,10
2016-10-18,26
2016-10-19,10
2016-10-21,7
2016-10-22,6
2016-10-23,18
2016-10-25,30
2016-10-26,22
2016-10-27,9
2016-10-28,1
2016-10-29,43
2016-10-30,21
2016-10-31,1
2016-11-01,18
2016-11-02,5
2016-11-03,18
2016-11-04,11
2016-11-05,5
2016-11-06,16
2016-11-08,16
2016-11-09,15
2016-11-10,7
2016-11-11,3
2016-11-13,12
2016-11-14,12
2016-11-15,22
2016-11-16,6
2016-11-17,12
2016-11-18,17
2016-11-19,12
2016-11-22,19
2016-11-23,23
2016-11-24,6
2016-11-25,16
2016-11-27,17
2016-11-29,19
2016-11-30,2
2016-12-01,3
2016-12-02,3
2016-12-03,8
2016-12-04,12
2016-12-06,24
2016-12-07,4
2016-12-08,4
2016-12-09,12
2016-12-10,18
2016-12-11,7
2016-12-13,13
2016-12-14,4
2016-12-15,15
2016-12-16,12
2016-12-17,24
2016-12-18,7
2016-12-20,16
2016-12-21,7
2016-12-22,8
2016-12-23,22
2016-12-24,25
2016-12-25,28
2016-12-26,15
2016-12-28,22
2016-12-29,12
2016-12-30,26
2017-01-07,10
2017-01-08,3
2017-01-09,26
2017-01-10,8
2017-01-11,2
2017-01-12,7
2017-01-13,8
2017-01-14,28
2017-01-15,9
2017-01-17,20
2017-01-18,8
2017-01-19,12
2017-01-20,8
2017-01-21,29
2017-01-22,15
2017-01-24,13
2017-01-25,6
2017-01-26,26
