date,visitors
2016-07-01,19
2016-07-02,30
2016-07-03,32
2016-07-04,15
2016-07-05,6
2016-07-06,20
2016-07-07,2
2016-07-08,9
2016-07-09,12
2016-07-11,9
2016-07-12,28
2016-07-13,16
2016-07-14,30
2016-07-15,41
2016-07-16,17
2016-07-17,35
2016-07-18,15
2016-07-19,6
2016-07-20,23
2016-07-21,15
2016-07-22,28
2016-07-23,8
2016-07-25,36
2016-07-26,16
2016-07-27,32
2016-07-28,17
2016-07-29,42
2016-07-30,19
2016-07-31,7
2016-08-01,11
2016-08-02,18
2016-08-03,13
2016-08-04,30
2016-08-05,15
2016-08-06,48
2016-08-07,9
2016-08-08,21
2016-08-09,15
2016-08-10,25
2016-08-11,30
2016-08-12,19
2016-08-13,22
2016-08-14,19
2016-08-15,8
2016-08-18,21
2016-08-19,16
2016-08-20,35
2016-08-21,4
2016-08-22,25
2016-08-23,27
2016-08-24,5
2016-08-25,23
2016-08-26,12
2016-08-27,25
2016-08-28,13
2016-08-29,9
2016-08-30,14
2016-08-31,17
2016-09-01,12
2016-09-02,23
2016-09-03,29
2016-09-04,6
2016-09-05,41
2016-09-06,26
2016-09-07,14
2016-09-08,14
2016-09-09,36
2016-09-10,23
2016-09-11,19
2016-09-12,21
2016-09-13,17
2016-09-14,15
2016-09-15,7
2016-09-16,31
2016-09-17,17
2016-09-18,16
2016-09-20,13
2016-09-21,24
2016-09-22,3
2016-09-23,20
2016-09-24,34
2016-09-25,12
2016-09-26,23
2016-09-27,12
2016-09-28,18
2016-09-29,16
2016-09-30,24
2016-10-01,22
2016-10-02,13
2016-10-03,12
2016-10-04,27
2016-10-05,20
2016-10-06,17
2016-10-07,24
2016-10-08,13
2016-10-09,20
2016-10-10,13
2016-10-11,18
2016-10-12,34
2016-10-13,37
2016-10-14,39
2016-10-15,31
2016-10-17,21
2016-10-18,18
2016-10-19,26
2016-10-20,20
2016-10-21,17
2016-10-22,20
2016-10-23,29
2016-10-24,5
2016-10-25,16
2016-10-26,15
2016-10-27,12
2016-10-28,32
2016-10-29,27
2016-10-31,7
2016-11-01,17
2016-11-02,26
2016-11-03,16
2016-11-04,24
2016-11-05,19
2016-11-07,39
2016-11-08,11
2016-11-09,10
2016-11-10,11
2016-11-11,3
2016-11-12,25
2016-11-13,33
2016-11-14,7
2016-11-15,8
2016-11-16,22
2016-11-17,17
2016-11-18,31
2016-11-19,18
2016-11-21,5
2016-11-22,30
2016-11-23,13
2016-11-24,21
2016-11-25,22
2016-11-26,16
2016-11-27,21
2016-11-28,3
2016-11-29,16
2016-11-30,8
2016-12-01,25
2016-12-02,13
2016-12-03,25
2016-12-05,16
2016-12-06,32
2016-12-07,6
2016-12-08,8
2016-12-09,19
2016-12-10,32
2016-12-11,19
2016-12-12,16
2016-12-13,19
2016-12-14,27
2016-12-15,10
2016-12-16,22
2016-12-17,18
2016-12-18,34
2016-12-19,28
2016-12-20,24
2016-12-21,11
2016-12-22,37
2016-12-23,12
2016-12-24,36
2016-12-25,1
2016-12-26,10
2016-12-27,20
2016-12-28,16
2016-12-29,33
2016-12-30,36
2016-12-31,21
2017-01-05,29
2017-01-06,25
2017-01-07,7
2017-01-08,13
2017-01-09,8
2017-01-10,19
2017-01-11,11
2017-01-12,14
2017-01-13,22
2017-01-14,37
2017-01-15,7
2017-01-16,11
2017-01-17,14
2017-01-18,23
2017-01-19,21
2017-01-20,11
2017-01-21,7
2017-01-22,8
2017-01-23,6
2017-01-24,15
2017-01-25,22
2017-01-26,18
2017-01-27,19
2017-01-28,22
2017-01-29,7
2017-01-30,13
2017-01-31,10
2017-02-01,9
2017-02-02,23
2017-02-03,20
2017-02-04,23
2017-02-05,2
2017-02-06,16
2017-02-07,8
2017-02-08,21
2017-02-09,21
2017-02-10,15
2017-02-11,19
2017-02-13,33
2017-02-14,16
2017-02-15,9
2017-02-16,22
2017-02-17,27
2017-02-18,24
2017-02-20,10
2017-02-21,11
2017-02-22,26
