date,visitors
2016-07-01,42
2016-07-02,42
2016-07-03,18
2016-07-04,8
2016-07-05,22
2016-07-06,25
2016-07-07,24
2016-07-08,39
2016-07-09,34
2016-07-10,20
2016-07-11,16
2016-07-12,10
2016-07-13,47
2016-07-14,4
2016-07-15,49
2016-07-16,20
2016-07-17,17
2016-07-18,19
2016-07-19,7
2016-07-20,14
2016-07-21,25
2016-07-22,46
2016-07-23,40
2016-07-24,30
2016-07-25,11
2016-07-26,25
2016-07-27,33
2016-07-28,21
2016-07-29,47
2016-07-30,35
2016-07-31,10
2016-08-01,32
2016-08-02,27
2016-08-03,36
2016-08-04,27
2016-08-05,35
2016-08-06,8
2016-08-07,14
2016-08-08,10
2016-08-09,29
2016-08-10,38
2016-08-11,27
2016-08-12,29
2016-08-13,32
2016-08-14,26
2016-08-15,22
2016-08-16,7
2016-08-17,22
2016-08-18,19
2016-08-19,22
2016-08-20,29
2016-08-21,9
2016-08-22,5
2016-08-23,17
2016-08-24,4
2016-08-25,17
2016-08-26,41
2016-08-27,25
2016-08-28,34
2016-08-29,3
2016-08-30,21
2016-08-31,22
2016-09-01,33
2016-09-02,41
2016-09-03,33
2016-09-05,54
2016-09-06,16
2016-09-07,12
2016-09-08,11
2016-09-09,34
2016-09-10,35
2016-09-11,10
2016-09-12,15
2016-09-13,17
2016-09-14,15
2016-09-15,26
2016-09-16,42
2016-09-17,41
2016-09-18,22
2016-09-19,15
2016-09-20,14
2016-09-21,54
2016-09-22,15
2016-09-23,35
2016-09-24,31
2016-09-25,19
2016-09-26,22
2016-09-27,24
2016-09-28,37
2016-09-29,28
2016-09-30,47
2016-10-01,34
2016-10-02,15
2016-10-03,5
2016-10-04,9
2016-10-05,15
2016-10-06,27
2016-10-07,52
2016-10-08,31
2016-10-09,10
2016-10-10,16
2016-10-11,19
2016-10-12,39
2016-10-13,10
2016-10-14,46
2016-10-15,35
2016-10-16,18
2016-10-17,28
2016-10-18,18
2016-10-19,24
2016-10-20,11
2016-10-21,40
2016-10-22,31
2016-10-23,46
2016-10-24,15
2016-10-25,36
2016-10-26,27
2016-10-27,23
2016-10-28,36
2016-10-29,20
2016-10-30,22
2016-10-31,13
2016-11-01,7
2016-11-02,39
2016-11-03,18
2016-11-04,36
2016-11-05,21
2016-11-06,29
2016-11-07,15
2016-11-08,14
2016-11-09,32
2016-11-10,23
2016-11-11,25
2016-11-12,48
2016-11-13,30
2016-11-14,27
2016-11-15,24
2016-11-16,33
2016-11-17,40
2016-11-18,40
2016-11-19,45
2016-11-20,12
2016-11-21,27
2016-11-22,36
2016-11-23,23
2016-11-24,25
2016-11-26,77
2016-11-27,23
2016-11-28,22
2016-11-29,17
2016-11-30,27
2016-12-01,14
2016-12-02,66
2016-12-03,42
2016-12-04,34
2016-12-05,8
2016-12-06,35
2016-12-07,25
2016-12-08,17
2016-12-09,52
2016-12-10,57
2016-12-11,12
2016-12-12,24
2016-12-13,12
2016-12-14,48
2016-12-15,29
2016-12-16,39
2016-12-17,33
2016-12-18,28
2016-12-19,31
2016-12-20,38
2016-12-21,42
2016-12-22,50
2016-12-23,33
2016-12-24,47
2016-12-25,37
2016-12-26,18
2016-12-27,36
2016-12-28,40
2016-12-29,39
2016-12-30,21
2017-01-04,24
2017-01-05,13
2017-01-06,30
2017-01-07,18
2017-01-08,33
2017-01-09,13
2017-01-10,17
2017-01-11,39
2017-01-12,18
2017-01-13,52
2017-01-14,35
2017-01-15,25
2017-01-16,16
2017-01-17,20
2017-01-18,21
2017-01-19,35
2017-01-20,27
2017-01-21,41
2017-01-22,23
2017-01-23,5
2017-01-24,12
2017-01-25,35
2017-01-26,25
2017-01-27,47
2017-01-28,44
2017-01-29,25
2017-01-30,21
2017-01-31,10
2017-02-01,24
2017-02-02,11
2017-02-03,47
2017-02-04,28
2017-02-05,11
2017-02-06,8
2017-02-07,28
2017-02-08,26
2017-02-09,27
2017-02-10,25
2017-02-11,39
2017-02-12,24
2017-02-13,9
2017-02-14,10
2017-02-15,30
