date,visitors
2016-01-05,18
2016-01-06,29
2016-01-07,12
2016-01-08,34
2016-01-09,25
2016-01-10,30
2016-01-12,19
2016-01-13,21
2016-01-14,30
2016-01-15,33
2016-01-16,41
2016-01-18,10
2016-01-19,13
2016-01-20,7
2016-01-21,13
2016-01-22,33
2016-01-23,46
2016-01-24,18
2016-01-25,38
2016-01-26,10
2016-01-27,27
2016-01-28,23
2016-01-29,43
2016-01-30,27
2016-01-31,20
2016-02-01,10
2016-02-02,19
2016-02-03,16
2016-02-04,20
2016-02-05,39
2016-02-06,28
2016-02-08,22
2016-02-09,18
2016-02-10,42
2016-02-11,11
2016-02-12,42
2016-02-13,31
2016-02-15,18
2016-02-16,11
2016-02-17,24
2016-02-18,18
2016-02-19,46
2016-02-20,30
2016-02-22,30
2016-02-23,22
2016-02-24,30
2016-02-25,15
2016-02-26,39
2016-02-27,41
2016-02-28,9
2016-02-29,11
2016-03-01,10
2016-03-02,22
2016-03-03,21
2016-03-04,42
2016-03-05,40
2016-03-06,11
2016-03-07,14
2016-03-08,26
2016-03-09,18
2016-03-10,17
2016-03-11,17
2016-03-12,43
2016-03-13,15
2016-03-14,17
2016-03-15,24
2016-03-16,14
2016-03-17,15
2016-03-18,45
2016-03-19,29
2016-03-20,41
2016-03-22,23
2016-03-23,31
2016-03-24,17
2016-03-25,42
2016-03-26,40
2016-03-27,8
2016-03-28,26
2016-03-29,22
2016-03-30,18
2016-03-31,40
2016-04-01,27
2016-04-02,36
2016-04-03,3
2016-04-04,9
2016-04-05,27
2016-04-06,24
2016-04-07,16
2016-04-08,30
2016-04-09,32
2016-04-11,8
2016-04-12,16
2016-04-13,20
2016-04-14,18
2016-04-15,24
2016-04-16,27
2016-04-18,14
2016-04-19,19
2016-04-20,26
2016-04-21,36
2016-04-22,39
2016-04-23,41
2016-04-24,18
2016-04-25,31
2016-04-26,21
2016-04-27,26
2016-04-28,40
2016-04-29,24
2016-04-30,34
2016-05-01,34
2016-05-02,43
2016-05-03,35
2016-05-04,38
2016-05-06,41
2016-05-07,33
2016-05-09,21
2016-05-10,27
2016-05-11,20
2016-05-12,17
2016-05-13,41
2016-05-14,46
2016-05-17,11
2016-05-18,30
2016-05-19,26
