date,visitors
2016-07-01,6
2016-07-02,6
2016-07-05,6
2016-07-07,6
2016-07-08,10
2016-07-09,8
2016-07-12,3
2016-07-13,14
2016-07-14,10
2016-07-15,2
2016-07-16,8
2016-07-20,8
2016-07-21,10
2016-07-22,10
2016-07-23,16
2016-07-25,3
2016-07-26,3
2016-07-27,5
2016-07-28,7
2016-07-29,6
2016-07-30,6
2016-08-02,2
2016-08-03,9
2016-08-04,10
2016-08-05,4
2016-08-06,9
2016-08-09,2
2016-08-10,5
2016-08-11,13
2016-08-13,22
2016-08-17,3
2016-08-18,5
2016-08-19,7
2016-08-20,7
2016-08-23,1
2016-08-24,7
2016-08-25,8
2016-08-26,3
2016-08-27,9
2016-08-30,1
2016-08-31,14
2016-09-01,1
2016-09-02,4
2016-09-03,10
2016-09-05,2
2016-09-06,1
2016-09-07,4
2016-09-08,2
2016-09-09,16
2016-09-10,20
2016-09-12,4
2016-09-13,6
2016-09-14,5
2016-09-15,12
2016-09-16,5
2016-09-17,7
2016-09-21,2
2016-09-22,10
2016-09-24,1
2016-09-27,4
2016-09-28,1
2016-09-29,8
2016-09-30,6
2016-10-01,13
2016-10-03,1
2016-10-04,4
2016-10-05,4
2016-10-06,8
2016-10-07,10
2016-10-08,13
2016-10-12,5
2016-10-13,5
2016-10-14,3
2016-10-15,4
2016-10-18,9
2016-10-19,7
2016-10-20,7
2016-10-21,6
2016-10-22,5
2016-10-24,1
2016-10-25,3
2016-10-26,7
2016-10-27,12
2016-10-28,10
2016-10-29,6
2016-10-31,4
2016-11-01,3
2016-11-02,5
2016-11-03,3
2016-11-05,11
2016-11-09,1
2016-11-10,6
2016-11-11,10
2016-11-12,7
2016-11-15,3
2016-11-16,8
2016-11-17,4
2016-11-18,22
2016-11-19,8
2016-11-22,9
2016-11-23,9
2016-11-25,1
2016-11-26,4
2016-11-28,1
2016-11-29,18
2016-11-30,4
2016-12-01,7
2016-12-02,1
2016-12-03,4
2016-12-04,9
2016-12-06,1
2016-12-07,11
2016-12-08,4
2016-12-09,3
2016-12-10,4
2016-12-12,1
2016-12-13,2
2016-12-14,5
2016-12-15,11
2016-12-16,28
2016-12-19,1
2016-12-20,3
2016-12-21,10
2016-12-22,9
2016-12-23,23
2016-12-26,2
2016-12-27,12
2016-12-28,5
2016-12-29,1
2016-12-30,11
2017-01-07,7
2017-01-10,2
2017-01-11,9
2017-01-12,3
2017-01-13,19
2017-01-14,21
2017-01-17,3
2017-01-18,1
2017-01-19,1
2017-01-20,4
2017-01-21,33
2017-01-23,2
2017-01-24,7
2017-01-25,9
2017-01-26,1
2017-01-27,14
2017-01-28,9
2017-01-30,2
2017-01-31,2
2017-02-01,24
2017-02-02,2
2017-02-03,6
2017-02-04,13
2017-02-07,8
2017-02-08,28
2017-02-09,12
2017-02-10,7
2017-02-11,1
2017-02-13,3
2017-02-15,5
2017-02-16,11
2017-02-17,14
2017-02-18,29
2017-02-20,2
2017-02-21,3
2017-02-22,7
2017-02-23,2
