date,visitors
2016-07-01,25
2016-07-02,45
2016-07-03,44
2016-07-04,21
2016-07-05,20
2016-07-06,27
2016-07-08,23
2016-07-09,44
2016-07-10,37
2016-07-11,20
2016-07-12,22
2016-07-14,20
2016-07-15,30
2016-07-16,51
2016-07-17,53
2016-07-18,29
2016-07-19,31
2016-07-20,28
2016-07-22,20
2016-07-23,46
2016-07-24,57
2016-07-25,24
2016-07-26,18
2016-07-27,33
2016-07-29,36
2016-07-30,31
2016-07-31,39
2016-08-01,25
2016-08-02,33
2016-08-03,37
2016-08-05,36
2016-08-06,46
2016-08-07,40
2016-08-08,31
2016-08-09,26
2016-08-10,31
2016-08-11,39
2016-08-12,44
2016-08-13,38
2016-08-14,47
2016-08-15,32
2016-08-16,29
2016-08-19,23
2016-08-20,43
2016-08-27,42
2016-08-28,57
2016-08-29,19
2016-08-30,30
2016-08-31,43
2016-09-02,32
2016-09-03,45
2016-09-04,37
2016-09-05,20
2016-09-06,30
2016-09-07,28
2016-09-09,28
2016-09-10,37
2016-09-11,37
2016-09-12,20
2016-09-13,36
2016-09-14,31
2016-09-16,28
2016-09-17,48
2016-09-18,43
2016-09-19,60
2016-09-20,8
2016-09-21,27
2016-09-22,25
2016-09-23,30
2016-09-24,38
2016-09-25,49
2016-09-26,18
2016-09-27,32
2016-09-30,52
2016-10-01,46
2016-10-02,50
2016-10-03,31
2016-10-04,31
2016-10-05,29
2016-10-07,38
2016-10-08,47
2016-10-09,53
2016-10-10,61
2016-10-11,20
2016-10-12,38
2016-10-14,37
2016-10-15,73
2016-10-16,81
2016-10-17,20
2016-10-18,30
2016-10-19,36
2016-10-21,35
2016-10-22,67
2016-10-23,72
2016-10-24,20
2016-10-25,31
2016-10-26,32
2016-10-28,23
2016-10-29,81
2016-10-30,76
2016-10-31,24
2016-11-01,28
2016-11-02,25
2016-11-03,93
2016-11-04,55
2016-11-05,89
2016-11-06,90
2016-11-07,28
2016-11-08,17
2016-11-11,31
2016-11-12,77
2016-11-13,111
2016-11-14,32
2016-11-15,22
2016-11-16,22
2016-11-18,35
2016-11-19,105
2016-11-20,110
2016-11-21,21
2016-11-22,28
2016-11-23,88
2016-11-25,27
2016-11-26,49
2016-11-27,33
2016-11-28,18
2016-11-29,31
2016-11-30,30
2016-12-02,30
2016-12-03,38
2016-12-04,36
2016-12-05,29
2016-12-06,28
2016-12-07,30
2016-12-09,34
2016-12-10,51
2016-12-11,58
2016-12-12,30
2016-12-13,22
2016-12-14,16
2016-12-16,33
2016-12-17,52
2016-12-18,38
2016-12-19,29
2016-12-20,26
2016-12-21,39
2016-12-23,71
2016-12-24,90
2016-12-25,75
2016-12-26,28
2016-12-27,38
2016-12-28,36
2016-12-30,42
2016-12-31,43
2017-01-01,78
2017-01-02,45
2017-01-03,52
2017-01-10,28
2017-01-11,27
2017-01-13,22
2017-01-14,44
2017-01-15,51
2017-01-16,20
2017-01-17,19
2017-01-18,27
2017-01-20,35
2017-01-21,61
2017-01-22,39
2017-01-23,19
2017-01-24,22
2017-01-25,31
2017-01-27,33
2017-01-28,57
2017-01-29,44
2017-01-30,28
2017-01-31,31
2017-02-01,30
2017-02-03,32
2017-02-04,58
2017-02-05,37
2017-02-06,29
2017-02-07,22
2017-02-08,54
2017-02-10,27
2017-02-11,37
2017-02-12,49
2017-02-13,41
2017-02-14,59
2017-02-15,33
2017-02-17,28
2017-02-18,66
2017-02-19,42
2017-02-20,31
