date,visitors
2016-07-01,15
2016-07-02,12
2016-07-03,7
2016-07-04,11
2016-07-05,11
2016-07-06,6
2016-07-07,11
2016-07-08,18
2016-07-09,12
2016-07-10,11
2016-07-11,4
2016-07-12,12
2016-07-13,10
2016-07-14,13
2016-07-15,17
2016-07-16,19
2016-07-17,10
2016-07-18,10
2016-07-19,13
2016-07-20,9
2016-07-21,12
2016-07-22,18
2016-07-23,26
2016-07-25,9
2016-07-26,8
2016-07-27,8
2016-07-28,6
2016-07-29,14
2016-07-30,13
2016-07-31,8
2016-08-01,12
2016-08-02,15
2016-08-03,22
2016-08-04,12
2016-08-05,7
2016-08-06,20
2016-08-08,4
2016-08-09,12
2016-08-10,9
2016-08-11,3
2016-08-12,3
2016-08-13,25
2016-08-14,7
2016-08-15,6
2016-08-16,4
2016-08-17,12
2016-08-18,11
2016-08-19,6
2016-08-20,11
2016-08-21,4
2016-08-22,14
2016-08-23,16
2016-08-24,8
2016-08-25,15
2016-08-26,11
2016-08-27,11
2016-08-28,3
2016-08-29,2
2016-08-30,9
2016-08-31,5
2016-09-01,10
2016-09-02,7
2016-09-03,8
2016-09-05,4
2016-09-06,8
2016-09-07,15
2016-09-08,13
2016-09-09,19
2016-09-10,6
2016-09-12,1
2016-09-13,14
2016-09-14,6
2016-09-15,15
2016-09-16,7
2016-09-17,16
2016-09-18,2
2016-09-19,7
2016-09-20,7
2016-09-21,7
2016-09-22,26
2016-09-23,3
2016-09-24,5
2016-09-25,10
2016-09-26,5
2016-09-27,7
2016-09-28,14
2016-09-29,13
2016-09-30,13
2016-10-01,16
2016-10-02,4
2016-10-03,9
2016-10-04,12
2016-10-05,16
2016-10-06,12
2016-10-07,11
2016-10-08,21
2016-10-09,9
2016-10-10,4
2016-10-11,11
2016-10-12,10
2016-10-13,8
2016-10-14,11
2016-10-15,10
2016-10-16,12
2016-10-17,4
2016-10-18,16
2016-10-19,12
2016-10-20,13
2016-10-21,14
2016-10-22,24
2016-10-23,2
2016-10-24,13
2016-10-25,18
2016-10-26,9
2016-10-27,21
2016-10-28,11
2016-10-29,7
2016-10-30,13
2016-10-31,16
2016-11-01,20
2016-11-02,12
2016-11-03,14
2016-11-04,16
2016-11-05,11
2016-11-06,6
2016-11-07,14
2016-11-08,11
2016-11-09,13
2016-11-10,9
2016-11-11,10
2016-11-12,18
2016-11-13,8
2016-11-14,2
2016-11-15,15
2016-11-16,8
2016-11-17,17
2016-11-18,4
2016-11-19,14
2016-11-20,3
2016-11-21,13
2016-11-22,17
2016-11-23,4
2016-11-24,2
2016-11-25,16
2016-11-26,18
2016-11-27,2
2016-11-28,12
2016-11-29,18
2016-11-30,7
2016-12-01,13
2016-12-02,6
2016-12-03,10
2016-12-04,2
2016-12-05,7
2016-12-06,5
2016-12-07,18
2016-12-08,17
2016-12-09,9
2016-12-10,7
2016-12-11,2
2016-12-12,9
2016-12-13,10
2016-12-14,11
2016-12-15,9
2016-12-16,12
2016-12-17,8
2016-12-18,4
2016-12-19,7
2016-12-20,5
2016-12-21,14
2016-12-22,13
2016-12-23,2
2016-12-24,18
2016-12-25,1
2016-12-26,8
2016-12-27,7
2016-12-28,7
2016-12-29,10
2016-12-30,14
2016-12-31,6
2017-01-04,9
2017-01-05,8
2017-01-06,14
2017-01-07,18
2017-01-08,1
2017-01-09,1
2017-01-10,8
2017-01-11,12
2017-01-12,10
2017-01-13,20
2017-01-14,4
2017-01-15,2
2017-01-16,3
2017-01-17,5
2017-01-18,11
2017-01-19,6
2017-01-20,15
2017-01-21,5
2017-01-22,3
2017-01-23,11
2017-01-24,12
2017-01-25,5
2017-01-26,8
2017-01-27,10
2017-01-28,16
2017-01-30,11
2017-01-31,15
2017-02-01,22
2017-02-02,10
2017-02-03,13
2017-02-04,16
2017-02-06,8
2017-02-07,23
2017-02-08,22
2017-02-09,18
2017-02-10,17
2017-02-11,23
2017-02-12,1
2017-02-13,20
2017-02-14,16
2017-02-15,7
2017-02-16,20
2017-02-17,11
2017-02-18,5
2017-02-19,9
