date,visitors
2016-07-01,22
2016-07-02,33
2016-07-03,38
2016-07-04,34
2016-07-06,25
2016-07-07,35
2016-07-08,16
2016-07-09,39
2016-07-10,35
2016-07-11,30
2016-07-13,18
2016-07-14,23
2016-07-15,25
2016-07-16,31
2016-07-17,38
2016-07-18,37
2016-07-20,19
2016-07-21,25
2016-07-22,21
2016-07-23,33
2016-07-24,43
2016-07-25,29
2016-07-27,29
2016-07-28,34
2016-07-29,24
2016-07-30,38
2016-07-31,32
2016-08-01,31
2016-08-03,34
2016-08-04,21
2016-08-05,27
2016-08-06,34
2016-08-07,42
2016-08-08,24
2016-08-10,32
2016-08-11,31
2016-08-12,37
2016-08-13,25
2016-08-14,41
2016-08-15,29
2016-08-17,28
2016-08-18,25
2016-08-19,35
2016-08-20,39
2016-08-21,36
2016-08-22,20
2016-08-24,30
2016-08-25,35
2016-08-26,21
2016-08-27,42
2016-08-28,20
2016-08-29,20
2016-08-31,28
2016-09-01,24
2016-09-02,18
2016-09-03,30
2016-09-04,28
2016-09-05,24
2016-09-07,34
2016-09-08,20
2016-09-09,32
2016-09-10,40
2016-09-11,24
2016-09-12,25
2016-09-14,27
2016-09-15,22
2016-09-16,31
2016-09-18,26
2016-09-19,20
2016-09-21,37
2016-09-22,40
2016-09-23,26
2016-09-24,41
2016-09-25,36
2016-09-26,26
2016-09-28,25
2016-09-29,17
2016-09-30,12
2016-10-01,27
2016-10-02,33
2016-10-03,25
2016-10-06,34
2016-10-07,28
2016-10-08,27
2016-10-09,41
2016-10-10,51
2016-10-12,16
2016-10-13,14
2016-10-14,22
2016-10-15,32
2016-10-16,33
2016-10-17,24
2016-10-19,18
2016-10-20,36
2016-10-21,16
2016-10-22,16
2016-10-23,43
2016-10-24,30
2016-10-26,18
2016-10-27,27
2016-10-28,32
2016-10-29,34
2016-10-30,30
2016-10-31,18
2016-11-02,22
2016-11-03,30
2016-11-05,29
2016-11-06,41
2016-11-07,21
2016-11-09,22
2016-11-10,15
2016-11-11,19
2016-11-12,25
2016-11-13,26
2016-11-14,15
2016-11-16,25
2016-11-17,17
2016-11-18,21
2016-11-19,32
2016-11-20,26
2016-11-21,31
2016-11-23,37
2016-11-24,14
2016-11-25,32
2016-11-26,28
2016-11-27,39
2016-11-28,13
2016-11-30,27
2016-12-01,17
2016-12-02,28
2016-12-03,30
2016-12-04,35
2016-12-05,11
2016-12-07,28
2016-12-08,15
2016-12-09,22
2016-12-10,35
2016-12-11,48
2016-12-12,22
2016-12-14,24
2016-12-15,26
2016-12-16,22
2016-12-17,23
2016-12-18,50
2016-12-19,27
2016-12-21,26
2016-12-22,24
2016-12-23,37
2016-12-24,37
2016-12-25,37
2016-12-26,19
2016-12-28,38
2016-12-29,45
2016-12-30,43
2017-01-04,36
2017-01-05,23
2017-01-06,26
2017-01-07,33
2017-01-08,40
2017-01-09,35
2017-01-11,31
2017-01-12,11
2017-01-13,19
2017-01-14,32
2017-01-15,29
2017-01-16,29
2017-01-18,25
2017-01-19,26
2017-01-20,17
2017-01-21,30
2017-01-22,48
2017-01-23,24
2017-01-25,26
2017-01-26,25
2017-01-27,26
2017-01-28,38
2017-01-29,29
2017-01-30,26
2017-02-01,25
2017-02-02,23
2017-02-03,20
2017-02-04,40
2017-02-05,36
2017-02-06,34
2017-02-08,24
2017-02-09,19
2017-02-10,13
2017-02-11,38
2017-02-12,40
2017-02-13,27
2017-02-15,28
2017-02-16,17
2017-02-17,27
2017-02-18,48
2017-02-19,50
2017-02-20,25
2017-02-22,25
2017-02-23,28
