date,visitors
2016-07-01,15
2016-07-02,4
2016-07-04,16
2016-07-05,7
2016-07-06,11
2016-07-07,16
2016-07-08,22
2016-07-11,3
2016-07-12,17
2016-07-13,19
2016-07-14,13
2016-07-15,23
2016-07-19,21
2016-07-20,12
2016-07-21,19
2016-07-22,19
2016-07-23,5
2016-07-25,13
2016-07-26,24
2016-07-27,19
2016-07-28,20
2016-07-29,21
2016-08-01,12
2016-08-02,18
2016-08-03,21
2016-08-04,7
2016-08-05,22
2016-08-08,21
2016-08-09,12
2016-08-10,22
2016-08-17,17
2016-08-18,18
2016-08-19,20
2016-08-22,7
2016-08-23,16
2016-08-24,17
2016-08-25,19
2016-08-26,20
2016-08-27,2
2016-08-29,19
2016-08-30,22
2016-08-31,19
2016-09-01,17
2016-09-02,19
2016-09-05,20
2016-09-06,15
2016-09-07,18
2016-09-08,20
2016-09-09,20
2016-09-12,18
2016-09-13,5
2016-09-14,21
2016-09-15,13
2016-09-16,18
2016-09-20,13
2016-09-21,18
2016-09-23,11
2016-09-26,13
2016-09-27,18
2016-09-28,4
2016-09-29,2
2016-09-30,26
2016-10-03,4
2016-10-04,14
2016-10-05,18
2016-10-06,12
2016-10-07,22
2016-10-11,16
2016-10-12,15
2016-10-13,19
2016-10-14,18
2016-10-17,9
2016-10-18,22
2016-10-19,15
2016-10-20,15
2016-10-21,21
2016-10-24,12
2016-10-25,11
2016-10-26,11
2016-10-27,25
2016-10-28,13
2016-10-29,2
2016-10-31,17
2016-11-01,13
2016-11-02,24
2016-11-04,14
2016-11-07,9
2016-11-08,17
2016-11-09,18
2016-11-10,11
2016-11-11,19
2016-11-14,13
2016-11-15,11
2016-11-16,15
2016-11-17,14
2016-11-18,18
2016-11-21,19
2016-11-22,17
2016-11-24,18
2016-11-25,19
2016-11-28,5
2016-11-29,17
2016-11-30,13
2016-12-01,17
2016-12-02,23
2016-12-05,17
2016-12-06,19
2016-12-07,14
2016-12-08,16
2016-12-09,18
2016-12-12,21
2016-12-13,24
2016-12-14,20
2016-12-15,21
2016-12-16,22
2016-12-19,24
2016-12-20,21
2016-12-21,22
2016-12-22,21
2016-12-26,19
2016-12-27,17
2016-12-28,20
2017-01-04,13
2017-01-05,3
2017-01-06,20
2017-01-10,19
2017-01-11,10
2017-01-12,11
2017-01-13,21
2017-01-16,6
2017-01-17,13
2017-01-18,15
2017-01-19,19
2017-01-20,19
2017-01-23,8
2017-01-24,19
2017-01-25,15
2017-01-26,18
2017-01-27,20
2017-01-30,12
2017-01-31,15
2017-02-01,21
2017-02-02,16
2017-02-03,16
2017-02-06,4
2017-02-07,18
2017-02-08,27
2017-02-09,18
2017-02-10,20
2017-02-13,13
2017-02-14,14
2017-02-15,34
2017-02-16,16
2017-02-17,23
2017-02-20,10
2017-02-21,19
2017-02-22,15
2017-02-23,9
