date,visitors
2016-07-03,16
2016-07-04,24
2016-07-05,23
2016-07-06,12
2016-07-07,16
2016-07-10,51
2016-07-11,18
2016-07-12,26
2016-07-13,42
2016-07-14,30
2016-07-17,31
2016-07-18,51
2016-07-19,25
2016-07-20,15
2016-07-21,38
2016-07-24,21
2016-07-25,22
2016-07-26,23
2016-07-27,44
2016-07-28,43
2016-07-31,71
2016-08-01,18
2016-08-02,20
2016-08-03,40
2016-08-04,33
2016-08-07,37
2016-08-08,13
2016-08-09,18
2016-08-10,34
2016-08-11,24
2016-08-14,9
2016-08-15,22
2016-08-16,16
2016-08-17,16
2016-08-18,14
2016-08-21,53
2016-08-22,25
2016-08-23,11
2016-08-24,33
2016-08-25,37
2016-08-28,39
2016-08-29,14
2016-08-30,13
2016-08-31,46
2016-09-01,23
2016-09-04,44
2016-09-05,33
2016-09-06,18
2016-09-07,38
2016-09-08,14
2016-09-11,7
2016-09-12,20
2016-09-13,8
2016-09-14,18
2016-09-15,18
2016-09-18,58
2016-09-20,13
2016-09-21,29
2016-09-22,17
2016-09-25,27
2016-09-26,20
2016-09-27,13
2016-09-28,23
2016-09-29,42
2016-10-02,61
2016-10-03,15
2016-10-04,22
2016-10-05,35
2016-10-06,17
2016-10-09,22
2016-10-10,19
2016-10-11,24
2016-10-12,27
2016-10-13,32
2016-10-16,44
2016-10-17,17
2016-10-18,22
2016-10-19,9
2016-10-20,33
2016-10-23,64
2016-10-24,23
2016-10-25,47
2016-10-26,30
2016-10-27,21
2016-10-30,53
2016-10-31,58
2016-11-01,18
2016-11-02,19
2016-11-03,37
2016-11-05,21
2016-11-06,15
2016-11-07,12
2016-11-08,24
2016-11-10,29
2016-11-13,71
2016-11-14,7
2016-11-15,25
2016-11-16,34
2016-11-17,12
2016-11-20,32
2016-11-21,24
2016-11-22,9
2016-11-23,17
2016-11-24,33
2016-11-27,47
2016-11-28,27
2016-11-29,14
2016-11-30,22
2016-12-01,10
2016-12-04,40
2016-12-05,9
2016-12-06,25
2016-12-07,20
2016-12-08,29
2016-12-11,56
2016-12-12,31
2016-12-13,45
2016-12-14,45
2016-12-15,36
2016-12-18,23
2016-12-19,60
2016-12-20,35
2016-12-21,2
2016-12-22,67
2016-12-25,14
2016-12-26,16
2016-12-27,25
2017-01-08,24
2017-01-09,29
2017-01-10,19
2017-01-11,29
2017-01-12,19
2017-01-15,22
2017-01-16,20
2017-01-17,29
2017-01-18,36
2017-01-19,19
2017-01-22,60
2017-01-23,348
2017-01-24,17
2017-01-25,24
2017-01-26,26
2017-01-29,30
2017-01-30,9
2017-01-31,6
2017-02-01,41
2017-02-02,13
2017-02-05,35
2017-02-06,37
2017-02-07,25
2017-02-08,33
2017-02-09,5
2017-02-12,27
2017-02-13,11
2017-02-14,24
2017-02-15,16
2017-02-16,19
2017-02-19,9
2017-02-20,14
2017-02-21,18
2017-02-22,50
