date,visitors
2016-01-04,16
2016-01-05,12
2016-01-06,13
2016-01-07,8
2016-01-08,24
2016-01-09,23
2016-01-11,12
2016-01-12,14
2016-01-13,19
2016-01-14,7
2016-01-15,17
2016-01-16,16
2016-01-17,6
2016-01-18,13
2016-01-19,17
2016-01-20,23
2016-01-21,15
2016-01-22,26
2016-01-23,10
2016-01-25,21
2016-01-26,10
2016-01-27,24
2016-01-28,22
2016-01-29,9
2016-01-30,42
2016-02-01,12
2016-02-02,4
2016-02-03,9
2016-02-04,13
2016-02-05,17
2016-02-06,18
2016-02-08,22
2016-02-09,15
2016-02-10,24
2016-02-11,21
2016-02-12,32
2016-02-13,28
2016-02-15,18
2016-02-16,20
2016-02-17,20
2016-02-18,5
2016-02-19,20
2016-02-20,21
2016-02-21,1
2016-02-22,24
2016-02-23,13
2016-02-24,22
2016-02-25,13
2016-02-26,27
2016-02-27,22
2016-02-29,21
2016-03-01,7
2016-03-02,7
2016-03-03,15
2016-03-04,21
2016-03-05,16
2016-03-07,7
2016-03-08,15
2016-03-09,16
2016-03-10,21
2016-03-11,31
2016-03-12,14
2016-03-13,9
2016-03-14,18
2016-03-15,12
2016-03-16,19
2016-03-17,15
2016-03-18,21
2016-03-19,29
2016-03-20,1
2016-03-21,12
2016-03-22,24
2016-03-23,19
2016-03-24,10
2016-03-25,37
2016-03-26,12
2016-03-27,2
2016-03-28,27
2016-03-29,20
2016-03-30,19
2016-03-31,13
2016-04-01,20
2016-04-02,24
2016-04-04,14
2016-04-05,24
2016-04-06,21
2016-04-07,9
2016-04-08,24
2016-04-09,39
2016-04-11,11
2016-04-12,10
2016-04-13,9
2016-04-14,18
2016-04-15,24
2016-04-16,20
2016-04-18,4
2016-04-19,12
2016-04-20,15
2016-04-21,10
2016-04-22,24
2016-04-23,29
2016-04-25,7
2016-04-26,21
2016-04-27,21
2016-04-28,28
2016-04-29,25
2016-04-30,20
2016-05-02,13
2016-05-03,10
2016-05-06,8
2016-05-07,28
2016-05-08,4
2016-05-09,11
2016-05-10,17
2016-05-11,20
2016-05-12,22
2016-05-13,15
2016-05-14,25
2016-05-15,5
2016-05-17,2
2016-05-18,13
2016-05-19,8
2016-05-20,20
2016-05-21,37
2016-05-23,16
2016-05-24,13
2016-05-25,21
2016-05-26,6
2016-05-27,21
2016-05-28,30
2016-05-30,15
2016-05-31,11
2016-06-01,11
2016-06-02,5
2016-06-03,25
2016-06-04,19
2016-06-06,19
2016-06-07,6
2016-06-08,14
2016-06-09,3
2016-06-10,26
2016-06-11,31
2016-06-12,2
2016-06-13,14
2016-06-14,7
2016-06-15,16
2016-06-16,17
2016-06-17,15
2016-06-18,25
2016-06-20,9
2016-06-21,16
2016-06-22,16
2016-06-23,13
2016-06-24,37
2016-06-25,42
2016-06-27,13
2016-06-28,7
2016-06-29,27
2016-06-30,9
2016-07-01,29
2016-07-02,34
2016-07-05,9
2016-07-06,6
2016-07-07,22
2016-07-08,14
2016-07-09,30
2016-07-11,19
2016-07-12,15
2016-07-13,11
2016-07-14,9
2016-07-15,32
2016-07-16,28
2016-07-17,4
2016-07-18,24
2016-07-19,14
2016-07-20,17
2016-07-21,8
2016-07-22,14
2016-07-23,25
2016-07-25,19
2016-07-26,2
2016-07-27,11
2016-07-28,17
2016-07-29,17
2016-07-30,15
2016-07-31,4
2016-08-01,10
2016-08-02,6
2016-08-03,11
2016-08-04,13
2016-08-05,19
2016-08-06,5
2016-08-07,4
2016-08-08,5
2016-08-09,29
2016-08-10,15
2016-08-11,28
2016-08-12,25
2016-08-13,16
2016-08-17,2
2016-08-18,9
2016-08-19,17
2016-08-20,27
2016-08-22,6
2016-08-23,19
2016-08-24,8
2016-08-25,5
2016-08-26,17
2016-08-27,21
2016-08-29,5
2016-08-30,4
2016-08-31,3
2016-09-01,7
2016-09-02,17
2016-09-03,26
2016-09-04,3
2016-09-06,9
2016-09-07,14
2016-09-08,22
2016-09-09,17
2016-09-10,23
2016-09-11,8
2016-09-12,20
2016-09-13,2
2016-09-14,18
2016-09-15,3
2016-09-16,11
2016-09-17,21
2016-09-19,17
2016-09-20,12
2016-09-21,11
2016-09-22,8
2016-09-23,4
2016-09-24,32
2016-09-26,26
2016-09-27,6
2016-09-28,15
2016-09-29,7
2016-09-30,20
2016-10-01,30
2016-10-03,10
2016-10-04,15
2016-10-05,7
2016-10-06,20
2016-10-07,24
2016-10-08,27
2016-10-10,18
2016-10-11,9
2016-10-12,22
2016-10-13,9
2016-10-14,14
2016-10-15,19
2016-10-16,6
2016-10-17,13
2016-10-18,6
2016-10-19,26
2016-10-21,24
2016-10-22,18
2016-10-24,1
2016-10-25,15
2016-10-26,16
2016-10-27,5
2016-10-28,18
2016-10-29,26
2016-10-30,2
2016-10-31,4
2016-11-01,5
2016-11-02,18
2016-11-03,20
2016-11-04,13
2016-11-07,14
2016-11-08,13
2016-11-09,15
2016-11-10,6
2016-11-11,6
2016-11-12,15
2016-11-14,16
2016-11-15,6
2016-11-16,8
2016-11-17,16
2016-11-18,16
2016-11-19,15
2016-11-21,15
2016-11-22,5
2016-11-23,8
2016-11-24,17
2016-11-25,22
2016-11-26,24
2016-11-27,12
2016-11-28,15
2016-11-29,16
2016-11-30,14
2016-12-01,9
2016-12-02,6
2016-12-03,35
2016-12-05,10
2016-12-06,5
2016-12-07,19
2016-12-08,15
2016-12-09,28
2016-12-10,40
2016-12-11,19
2016-12-12,2
2016-12-13,6
2016-12-14,19
2016-12-15,9
2016-12-16,14
2016-12-17,32
2016-12-19,13
2016-12-20,19
2016-12-21,6
2016-12-22,20
2016-12-23,26
2016-12-24,23
2016-12-26,19
2016-12-27,18
2016-12-28,23
2016-12-29,25
2016-12-30,14
2017-01-04,22
2017-01-05,4
2017-01-06,10
2017-01-07,18
2017-01-10,3
2017-01-11,9
2017-01-12,12
2017-01-13,18
2017-01-14,19
2017-01-15,5
2017-01-16,12
2017-01-17,7
2017-01-18,23
2017-01-19,7
2017-01-20,16
2017-01-21,27
2017-01-22,3
