date,visitors
2016-03-24,5
2016-03-28,20
2016-03-29,17
2016-03-30,18
2016-03-31,18
2016-04-01,7
2016-04-02,11
2016-04-03,10
2016-04-04,13
2016-04-05,9
2016-04-06,13
2016-04-07,16
2016-04-08,17
2016-04-09,16
2016-04-10,1
2016-04-11,16
2016-04-12,3
2016-04-13,10
2016-04-14,15
2016-04-15,9
2016-04-16,21
2016-04-17,1
2016-04-18,14
2016-04-19,13
2016-04-20,13
2016-04-21,10
2016-04-22,16
2016-04-23,16
2016-04-25,2
2016-04-26,2
2016-04-27,9
2016-04-28,22
2016-04-29,16
2016-04-30,9
2016-05-01,24
2016-05-02,11
2016-05-03,21
2016-05-04,13
2016-05-05,1
2016-05-06,8
2016-05-07,11
2016-05-09,13
2016-05-10,13
2016-05-11,13
2016-05-12,15
2016-05-13,20
2016-05-14,10
2016-05-15,2
2016-05-16,11
2016-05-17,25
2016-05-18,22
2016-05-19,20
2016-05-20,22
2016-05-21,22
2016-05-23,13
2016-05-24,12
2016-05-25,10
2016-05-26,19
2016-05-27,20
2016-05-28,10
2016-05-29,6
2016-05-30,10
2016-05-31,3
2016-06-01,7
2016-06-02,7
2016-06-03,8
2016-06-04,6
2016-06-06,6
2016-06-07,4
2016-06-08,13
2016-06-09,29
2016-06-10,17
2016-06-11,22
2016-06-12,12
2016-06-13,10
2016-06-14,17
2016-06-15,4
2016-06-16,10
2016-06-17,11
2016-06-18,8
2016-06-20,4
2016-06-21,8
2016-06-22,9
2016-06-23,11
2016-06-24,22
2016-06-25,13
2016-06-27,3
2016-06-28,22
2016-06-29,10
2016-06-30,15
2016-07-01,18
2016-07-02,10
2016-07-04,4
2016-07-05,9
2016-07-06,8
2016-07-07,14
2016-07-08,6
2016-07-09,13
2016-07-11,7
2016-07-12,9
2016-07-13,9
2016-07-14,8
2016-07-15,11
2016-07-16,9
2016-07-17,12
2016-07-19,6
2016-07-20,10
2016-07-21,14
2016-07-22,27
2016-07-23,8
2016-07-24,14
2016-07-26,6
2016-07-27,10
2016-07-28,9
2016-07-29,19
2016-07-30,7
2016-08-01,7
2016-08-02,14
2016-08-03,11
2016-08-04,5
2016-08-05,9
2016-08-06,6
2016-08-08,12
2016-08-09,10
2016-08-10,15
2016-08-12,4
2016-08-13,15
2016-08-14,4
2016-08-17,9
2016-08-18,8
2016-08-19,9
2016-08-20,10
2016-08-22,7
2016-08-23,9
2016-08-24,10
2016-08-25,9
2016-08-26,13
2016-08-27,3
2016-08-28,9
2016-08-29,6
2016-08-30,7
2016-08-31,6
2016-09-01,2
2016-09-02,15
2016-09-03,7
2016-09-05,6
2016-09-06,9
2016-09-07,9
2016-09-08,8
2016-09-09,10
2016-09-10,5
2016-09-11,18
2016-09-12,6
2016-09-13,13
2016-09-14,11
2016-09-15,7
2016-09-16,9
2016-09-17,12
2016-09-18,10
2016-09-20,1
2016-09-21,14
2016-09-22,2
2016-09-23,6
2016-09-24,8
2016-09-25,7
2016-09-26,5
2016-09-27,13
2016-09-28,11
2016-09-29,10
2016-09-30,11
2016-10-01,10
2016-10-03,13
2016-10-04,16
2016-10-05,20
2016-10-06,22
2016-10-07,14
2016-10-08,13
2016-10-09,9
2016-10-11,4
2016-10-12,10
2016-10-13,13
2016-10-14,16
2016-10-15,10
2016-10-17,6
2016-10-18,16
2016-10-19,21
2016-10-20,3
2016-10-21,11
2016-10-22,20
2016-10-23,16
2016-10-24,10
2016-10-25,11
2016-10-26,19
2016-10-27,6
2016-10-28,24
2016-10-29,13
2016-10-31,3
2016-11-01,10
2016-11-02,21
2016-11-03,5
2016-11-04,14
2016-11-05,16
2016-11-06,7
2016-11-07,5
2016-11-08,16
2016-11-09,9
2016-11-10,7
2016-11-11,20
2016-11-12,24
2016-11-13,6
2016-11-14,6
2016-11-15,10
2016-11-16,12
2016-11-17,25
2016-11-18,11
2016-11-19,9
2016-11-21,3
2016-11-22,20
2016-11-23,13
2016-11-24,2
2016-11-25,22
2016-11-26,20
2016-12-05,8
2016-12-06,10
2016-12-07,14
2016-12-08,22
2016-12-09,18
2016-12-10,13
2016-12-11,3
2016-12-12,12
2016-12-13,17
2016-12-14,16
2016-12-15,23
2016-12-16,16
2016-12-17,7
2016-12-18,9
2016-12-19,13
2016-12-20,12
2016-12-21,12
2016-12-22,32
2016-12-23,8
2016-12-24,10
2016-12-26,12
2016-12-27,10
2016-12-28,24
2016-12-29,13
2016-12-30,28
2017-01-05,12
2017-01-06,19
2017-01-07,13
2017-01-08,13
2017-01-09,1
2017-01-10,6
2017-01-11,15
2017-01-12,22
2017-01-13,24
2017-01-14,12
2017-01-16,15
2017-01-17,16
2017-01-18,20
2017-01-19,15
2017-01-20,28
2017-01-21,17
2017-01-22,12
2017-01-23,21
2017-01-24,14
2017-01-25,20
2017-01-26,17
2017-01-27,19
2017-01-28,18
2017-01-29,7
2017-01-30,12
2017-01-31,14
2017-02-01,12
2017-02-02,20
2017-02-03,22
