date,visitors
2016-07-01,20
2016-07-02,16
2016-07-03,11
2016-07-04,2
2016-07-05,13
2016-07-06,15
2016-07-07,8
2016-07-08,17
2016-07-09,15
2016-07-10,7
2016-07-11,4
2016-07-12,8
2016-07-13,11
2016-07-14,6
2016-07-15,9
2016-07-16,17
2016-07-17,8
2016-07-18,4
2016-07-19,7
2016-07-20,15
2016-07-21,19
2016-07-22,8
2016-07-23,29
2016-07-24,1
2016-07-25,8
2016-07-26,6
2016-07-27,15
2016-07-28,8
2016-07-29,6
2016-07-30,14
2016-07-31,3
2016-08-01,3
2016-08-02,1
2016-08-03,5
2016-08-04,6
2016-08-05,9
2016-08-06,19
2016-08-07,14
2016-08-08,4
2016-08-09,6
2016-08-10,5
2016-08-11,19
2016-08-12,12
2016-08-13,35
2016-08-14,6
2016-08-15,4
2016-08-16,3
2016-08-17,3
2016-08-18,2
2016-08-19,10
2016-08-20,7
2016-08-21,7
2016-08-23,3
2016-08-24,9
2016-08-25,20
2016-08-26,9
2016-08-27,11
2016-08-28,8
2016-08-29,1
2016-08-30,9
2016-08-31,1
2016-09-01,7
2016-09-02,8
2016-09-03,17
2016-09-04,7
2016-09-05,1
2016-09-06,6
2016-09-07,4
2016-09-08,1
2016-09-09,1
2016-09-10,7
2016-09-11,4
2016-09-12,4
2016-09-13,4
2016-09-14,5
2016-09-15,6
2016-09-16,4
2016-09-17,7
2016-09-21,1
2016-09-22,9
2016-09-23,19
2016-09-24,2
2016-09-25,11
2016-09-28,2
2016-09-29,14
2016-09-30,7
2016-10-01,16
2016-10-02,7
2016-10-04,10
2016-10-05,2
2016-10-06,1
2016-10-08,10
2016-10-09,13
2016-10-10,5
2016-10-12,19
2016-10-13,1
2016-10-14,23
2016-10-15,21
2016-10-16,8
2016-10-17,1
2016-10-18,1
2016-10-19,4
2016-10-20,5
2016-10-21,10
2016-10-22,20
2016-10-23,5
2016-10-24,1
2016-10-25,9
2016-10-26,18
2016-10-27,4
2016-10-28,11
2016-10-29,15
2016-10-30,11
2016-11-01,3
2016-11-02,6
2016-11-03,2
2016-11-05,8
2016-11-06,2
2016-11-08,9
2016-11-09,4
2016-11-10,5
2016-11-11,7
2016-11-12,9
2016-11-13,6
2016-11-15,17
2016-11-16,1
2016-11-17,5
2016-11-18,16
2016-11-19,15
2016-11-20,5
2016-11-21,1
2016-11-22,8
2016-11-23,4
2016-11-24,5
2016-11-25,16
2016-11-26,32
2016-11-27,9
2016-11-28,3
2016-11-29,11
2016-11-30,3
2016-12-01,5
2016-12-02,2
2016-12-03,17
2016-12-04,6
2016-12-06,3
2016-12-07,2
2016-12-08,8
2016-12-09,18
2016-12-10,10
2016-12-11,1
2016-12-12,1
2016-12-13,8
2016-12-14,5
2016-12-15,5
2016-12-16,10
2016-12-17,11
2016-12-18,3
2016-12-19,1
2016-12-20,5
2016-12-21,12
2016-12-22,16
2016-12-23,11
2016-12-24,9
2016-12-25,10
2016-12-28,6
2016-12-29,4
2016-12-30,27
2016-12-31,37
2017-01-01,8
2017-01-05,2
2017-01-06,7
2017-01-07,11
2017-01-08,10
2017-01-10,1
2017-01-11,10
2017-01-12,6
2017-01-13,3
2017-01-14,11
2017-01-15,4
2017-01-16,4
2017-01-17,7
2017-01-18,18
2017-01-19,4
2017-01-21,5
2017-01-22,7
2017-01-23,3
2017-01-24,3
2017-01-25,7
2017-01-26,18
2017-01-27,2
2017-01-28,26
2017-01-29,14
2017-01-30,1
2017-01-31,3
2017-02-01,7
2017-02-02,6
2017-02-03,13
2017-02-04,8
2017-02-05,4
2017-02-07,4
2017-02-08,12
2017-02-09,6
2017-02-10,4
2017-02-11,10
2017-02-12,4
2017-02-13,3
2017-02-14,4
2017-02-15,4
2017-02-16,8
2017-02-17,4
2017-02-18,23
2017-02-20,1
2017-02-21,4
2017-02-22,9
2017-02-23,10
