date,visitors
2016-01-05,3
2016-01-06,2
2016-01-08,10
2016-01-09,2
2016-01-12,13
2016-01-13,6
2016-01-14,7
2016-01-15,13
2016-01-16,8
2016-01-18,16
2016-01-19,4
2016-01-20,10
2016-01-21,22
2016-01-22,19
2016-01-23,10
2016-01-25,5
2016-01-26,6
2016-01-27,12
2016-01-28,21
2016-01-29,6
2016-01-30,8
2016-02-01,2
2016-02-02,4
2016-02-03,12
2016-02-04,2
2016-02-05,2
2016-02-06,13
2016-02-07,2
2016-02-09,2
2016-02-10,7
2016-02-11,4
2016-02-13,10
2016-02-15,4
2016-02-17,9
2016-02-18,3
2016-02-19,9
2016-02-20,7
2016-02-22,6
2016-02-23,18
2016-02-24,11
2016-02-25,16
2016-02-26,4
2016-02-27,11
2016-02-29,8
2016-03-01,2
2016-03-02,3
2016-03-03,7
2016-03-04,11
2016-03-05,11
2016-03-07,4
2016-03-08,11
2016-03-09,6
2016-03-10,9
2016-03-11,6
2016-03-12,14
2016-03-14,11
2016-03-15,7
2016-03-16,8
2016-03-17,15
2016-03-19,19
2016-03-22,10
2016-03-23,9
2016-03-24,6
2016-03-25,11
2016-03-26,8
2016-03-28,6
2016-03-29,10
2016-03-30,8
2016-03-31,14
2016-04-01,6
2016-04-02,3
2016-04-09,12
2016-04-13,7
2016-04-14,5
2016-04-18,8
2016-04-20,11
2016-04-21,5
2016-04-22,7
2016-04-23,14
2016-04-25,2
2016-04-26,4
2016-04-28,9
2016-04-30,2
2016-05-02,4
2016-05-04,4
2016-05-06,1
2016-05-07,4
2016-05-09,5
2016-05-10,9
2016-05-13,9
2016-05-18,10
2016-05-20,14
2016-05-21,2
2016-05-24,9
2016-05-25,4
2016-05-31,7
2016-06-02,6
2016-06-04,5
2016-06-06,10
2016-06-07,4
2016-06-08,15
2016-06-09,19
2016-06-11,13
2016-06-13,10
2016-06-15,10
2016-06-17,5
2016-06-19,32
2016-06-21,5
2016-06-22,3
2016-06-24,13
2016-06-25,12
2016-06-29,6
2016-06-30,10
2016-07-01,4
2016-07-02,9
2016-07-05,3
2016-07-07,4
2016-07-08,5
2016-07-12,2
2016-07-13,8
2016-07-14,2
2016-07-15,2
2016-07-16,2
2016-07-19,9
2016-07-20,11
2016-07-22,6
2016-07-23,6
2016-07-25,16
2016-07-28,10
2016-07-29,6
2016-07-30,5
2016-08-01,10
2016-08-03,12
2016-08-06,2
2016-08-09,2
2016-08-10,10
2016-08-12,5
2016-08-15,3
2016-08-17,4
2016-08-19,5
2016-08-20,2
2016-08-21,7
2016-08-24,6
2016-08-26,2
2016-08-27,10
2016-08-29,6
2016-08-30,4
2016-08-31,7
2016-09-01,5
2016-09-03,2
2016-09-07,17
2016-09-08,3
2016-09-09,6
2016-09-10,4
2016-09-12,10
2016-09-13,2
2016-09-14,12
2016-09-16,9
2016-09-17,20
2016-09-20,10
2016-09-21,8
2016-09-23,15
2016-09-24,5
2016-09-26,10
2016-09-27,4
2016-09-28,2
2016-10-01,4
2016-10-03,2
2016-10-04,3
2016-10-06,5
2016-10-08,22
2016-10-12,9
2016-10-14,6
2016-10-15,4
2016-10-18,13
2016-10-19,4
2016-10-20,4
2016-10-21,13
2016-10-22,7
2016-10-24,3
2016-10-27,3
2016-10-28,1
2016-10-29,4
2016-11-02,10
2016-11-04,2
2016-11-05,20
2016-11-07,5
2016-11-08,4
2016-11-09,5
2016-11-10,6
2016-11-11,4
2016-11-12,7
2016-11-14,8
2016-11-15,9
2016-11-17,20
2016-11-18,8
2016-11-19,4
2016-11-21,10
2016-11-22,8
2016-11-24,4
2016-11-25,12
2016-11-26,7
2016-11-28,8
2016-11-29,5
2016-11-30,8
2016-12-01,10
2016-12-02,18
2016-12-03,10
2016-12-05,12
2016-12-07,4
2016-12-08,18
2016-12-09,3
2016-12-10,10
2016-12-12,3
2016-12-13,5
2016-12-14,5
2016-12-16,8
2016-12-17,38
2016-12-21,9
2016-12-22,18
2016-12-24,10
2016-12-26,7
2016-12-27,2
2016-12-28,8
2017-01-05,5
2017-01-06,6
2017-01-10,1
2017-01-11,2
2017-01-12,7
2017-01-13,8
2017-01-14,7
