date,visitors
2016-07-01,13
2016-07-02,41
2016-07-03,37
2016-07-04,21
2016-07-05,9
2016-07-06,29
2016-07-07,23
2016-07-08,9
2016-07-09,17
2016-07-10,28
2016-07-11,16
2016-07-12,16
2016-07-13,20
2016-07-14,12
2016-07-15,9
2016-07-16,38
2016-07-17,54
2016-07-18,21
2016-07-19,15
2016-07-20,28
2016-07-21,8
2016-07-22,16
2016-07-23,41
2016-07-24,47
2016-07-25,13
2016-07-26,11
2016-07-27,35
2016-07-28,15
2016-07-29,17
2016-07-30,35
2016-07-31,43
2016-08-01,8
2016-08-02,20
2016-08-03,25
2016-08-04,16
2016-08-05,13
2016-08-06,20
2016-08-07,50
2016-08-08,14
2016-08-09,11
2016-08-10,28
2016-08-11,24
2016-08-12,1
2016-08-13,50
2016-08-14,35
2016-08-15,14
2016-08-16,12
2016-08-17,22
2016-08-20,30
2016-08-21,27
2016-08-22,3
2016-08-23,9
2016-08-24,28
2016-08-25,22
2016-08-26,12
2016-08-27,26
2016-08-28,26
2016-08-29,11
2016-08-30,11
2016-08-31,32
2016-09-01,12
2016-09-02,10
2016-09-03,49
2016-09-04,28
2016-09-05,15
2016-09-06,25
2016-09-07,23
2016-09-08,15
2016-09-09,16
2016-09-10,40
2016-09-11,35
2016-09-12,6
2016-09-13,19
2016-09-14,15
2016-09-15,12
2016-09-16,13
2016-09-17,58
2016-09-18,30
2016-09-19,34
2016-09-20,9
2016-09-21,30
2016-09-22,29
2016-09-23,6
2016-09-24,44
2016-09-25,52
2016-09-26,14
2016-09-27,17
2016-09-28,45
2016-09-29,18
2016-09-30,5
2016-10-01,51
2016-10-02,61
2016-10-03,10
2016-10-04,24
2016-10-05,25
2016-10-06,17
2016-10-07,9
2016-10-08,45
2016-10-09,29
2016-10-10,44
2016-10-11,14
2016-10-12,24
2016-10-13,9
2016-10-14,14
2016-10-15,60
2016-10-16,59
2016-10-17,9
2016-10-18,18
2016-10-19,30
2016-10-20,20
2016-10-21,15
2016-10-22,49
2016-10-23,54
2016-10-24,22
2016-10-25,11
2016-10-26,27
2016-10-27,29
2016-10-28,11
2016-10-29,39
2016-10-30,50
2016-10-31,15
2016-11-01,8
2016-11-02,15
2016-11-03,78
2016-11-04,11
2016-11-05,45
2016-11-06,57
2016-11-07,17
2016-11-08,9
2016-11-09,31
2016-11-10,12
2016-11-11,5
2016-11-12,38
2016-11-13,60
2016-11-14,11
2016-11-15,24
2016-11-16,18
2016-11-17,13
2016-11-18,19
2016-11-19,26
2016-11-20,39
2016-11-21,19
2016-11-22,15
2016-11-23,68
2016-11-24,8
2016-11-25,9
2016-11-26,54
2016-11-27,33
2016-11-28,12
2016-11-29,9
2016-11-30,18
2016-12-01,16
2016-12-02,13
2016-12-03,48
2016-12-04,28
2016-12-05,23
2016-12-06,17
2016-12-07,28
2016-12-08,25
2016-12-09,15
2016-12-10,49
2016-12-11,52
2016-12-12,15
2016-12-13,13
2016-12-14,25
2016-12-15,10
2016-12-16,17
2016-12-17,43
2016-12-18,15
2016-12-19,20
2016-12-20,14
2016-12-21,29
2016-12-22,9
2016-12-23,51
2016-12-24,40
2016-12-25,42
2016-12-26,12
2016-12-27,10
2016-12-28,21
2016-12-29,17
2016-12-30,34
2017-01-02,30
2017-01-03,22
2017-01-07,43
2017-01-08,34
2017-01-09,67
2017-01-10,15
2017-01-11,25
2017-01-12,31
2017-01-13,6
2017-01-14,53
2017-01-15,58
2017-01-16,6
2017-01-17,15
2017-01-18,25
2017-01-19,13
2017-01-20,37
2017-01-21,57
2017-01-22,49
2017-01-23,10
2017-01-24,12
2017-01-25,32
2017-01-26,17
2017-01-27,11
2017-01-28,54
2017-01-29,48
2017-01-30,15
2017-01-31,8
2017-02-01,18
2017-02-02,15
2017-02-03,15
2017-02-04,58
2017-02-05,47
2017-02-06,12
2017-02-08,30
2017-02-09,4
2017-02-10,11
2017-02-11,63
2017-02-12,53
2017-02-13,11
2017-02-14,10
2017-02-15,30
2017-02-16,3
2017-02-17,17
2017-02-18,56
2017-02-19,54
2017-02-20,27
2017-02-21,21
2017-02-22,35
2017-02-23,12
