date,visitors
2016-01-01,31
2016-01-02,33
2016-01-03,19
2016-01-04,16
2016-01-05,7
2016-01-06,3
2016-01-07,13
2016-01-08,16
2016-01-09,19
2016-01-10,23
2016-01-11,23
2016-01-12,8
2016-01-13,2
2016-01-14,13
2016-01-15,12
2016-01-16,6
2016-01-17,32
2016-01-18,15
2016-01-19,7
2016-01-20,7
2016-01-21,11
2016-01-22,14
2016-01-23,21
2016-01-24,19
2016-01-25,8
2016-01-26,18
2016-01-27,5
2016-01-28,8
2016-01-29,13
2016-01-30,12
2016-01-31,19
2016-02-01,10
2016-02-02,14
2016-02-04,14
2016-02-05,11
2016-02-06,12
2016-02-07,13
2016-02-08,16
2016-02-09,4
2016-02-10,6
2016-02-11,14
2016-02-12,13
2016-02-13,14
2016-02-14,23
2016-02-15,12
2016-02-16,2
2016-02-17,9
2016-02-18,15
2016-02-19,11
2016-02-20,17
2016-02-21,15
2016-02-26,2
2016-02-27,10
2016-02-28,27
2016-02-29,15
2016-03-01,10
2016-03-02,4
2016-03-03,11
2016-03-04,16
2016-03-05,17
2016-03-06,13
2016-03-07,7
2016-03-08,8
2016-03-10,3
2016-03-11,11
2016-03-12,22
2016-03-13,22
2016-03-14,10
2016-03-15,11
2016-03-17,18
2016-03-18,32
2016-03-19,49
2016-03-20,36
2016-03-21,22
2016-03-22,4
2016-03-23,2
2016-03-24,12
2016-03-25,15
2016-03-26,15
2016-03-27,22
2016-03-28,38
2016-03-29,15
2016-03-30,4
2016-03-31,14
2016-04-01,16
2016-04-02,21
2016-04-03,12
2016-04-04,8
2016-04-05,8
2016-04-07,8
2016-04-08,19
2016-04-09,14
2016-04-10,34
2016-04-11,12
2016-04-12,5
2016-04-13,2
2016-04-14,11
2016-04-15,21
2016-04-16,14
2016-04-17,30
2016-04-18,18
2016-04-19,3
2016-04-20,1
2016-04-21,12
2016-04-22,6
2016-04-23,22
2016-04-24,25
2016-04-25,10
2016-04-26,2
2016-04-27,1
2016-04-28,15
2016-04-29,27
2016-04-30,28
2016-05-01,26
2016-05-02,18
2016-05-03,16
2016-05-04,1
2016-05-05,7
2016-05-06,22
2016-05-07,7
2016-05-08,18
2016-05-09,8
2016-05-10,8
2016-05-11,3
2016-05-12,8
2016-05-13,8
2016-05-14,14
2016-05-15,18
2016-05-16,19
2016-05-18,2
2016-05-19,14
2016-05-20,9
2016-05-21,22
2016-05-22,6
2016-05-23,26
2016-05-24,7
2016-05-25,4
2016-05-26,17
2016-05-27,12
2016-05-28,18
2016-05-29,23
2016-05-30,13
2016-05-31,4
2016-06-01,5
2016-06-02,20
2016-06-03,8
2016-06-04,15
2016-06-05,22
2016-06-06,24
2016-06-07,7
2016-06-08,1
2016-06-09,18
2016-06-10,5
2016-06-11,21
2016-06-12,22
2016-06-13,11
2016-06-14,6
2016-06-15,1
2016-06-16,21
2016-06-17,9
2016-06-18,14
2016-06-19,21
2016-06-20,10
2016-06-21,13
2016-06-23,18
2016-06-24,13
2016-06-25,4
2016-06-26,13
2016-06-27,17
2016-06-28,12
2016-06-30,9
2016-07-01,14
2016-07-02,23
2016-07-03,12
2016-07-04,13
2016-07-05,8
2016-07-06,3
2016-07-07,5
2016-07-08,17
2016-07-09,16
2016-07-10,5
2016-07-11,14
2016-07-12,18
2016-07-13,4
2016-07-14,11
2016-07-15,4
2016-07-16,23
2016-07-17,7
2016-07-18,23
2016-07-19,10
2016-07-21,7
2016-07-22,10
2016-07-23,14
2016-07-24,22
2016-07-25,3
2016-07-26,7
2016-07-27,3
2016-07-28,9
2016-07-29,20
2016-07-30,10
2016-07-31,12
2016-08-01,8
2016-08-02,15
2016-08-03,1
2016-08-04,10
2016-08-05,5
2016-08-06,22
2016-08-07,19
2016-08-08,4
2016-08-09,18
2016-08-11,16
2016-08-12,9
2016-08-13,14
2016-08-14,1
2016-08-15,8
2016-08-16,8
2016-08-17,6
2016-08-18,17
2016-08-19,6
2016-08-20,10
2016-08-21,20
2016-08-22,19
2016-08-23,10
2016-08-24,4
2016-08-25,8
2016-08-26,19
2016-08-27,30
2016-08-28,26
2016-08-29,11
2016-08-30,1
2016-08-31,2
2016-09-01,10
2016-09-02,15
2016-09-03,14
2016-09-04,15
2016-09-05,13
2016-09-06,12
2016-09-08,6
2016-09-09,9
2016-09-10,20
2016-09-11,9
2016-09-16,6
2016-09-17,18
2016-09-18,28
2016-09-19,16
2016-09-20,12
2016-09-21,1
2016-09-22,38
2016-09-23,7
2016-09-24,14
2016-09-25,31
2016-09-26,39
2016-09-27,19
2016-09-28,3
2016-09-29,19
2016-09-30,16
2016-10-01,10
2016-10-02,3
2016-10-03,20
2016-10-04,5
2016-10-05,4
2016-10-06,9
2016-10-07,15
2016-10-08,31
2016-10-09,12
2016-10-10,26
2016-10-11,13
2016-10-12,3
2016-10-13,21
2016-10-14,10
2016-10-15,20
2016-10-16,24
2016-10-17,18
2016-10-18,15
2016-10-20,11
2016-10-21,5
2016-10-22,22
2016-10-23,36
2016-10-24,17
2016-10-25,13
2016-10-26,1
2016-10-27,13
2016-10-28,25
2016-10-29,9
2016-10-30,38
2016-10-31,22
2016-11-01,7
2016-11-03,18
2016-11-04,6
2016-11-05,13
2016-11-06,36
2016-11-07,8
2016-11-08,6
2016-11-09,3
2016-11-10,8
2016-11-11,6
2016-11-12,16
2016-11-13,23
2016-11-14,28
2016-11-15,6
2016-11-16,6
2016-11-17,16
2016-11-18,5
2016-11-19,17
2016-11-20,22
2016-11-21,15
2016-11-22,7
2016-11-23,6
2016-11-24,5
2016-11-25,9
2016-11-26,11
2016-11-27,18
2016-11-28,17
2016-11-29,14
2016-12-01,7
2016-12-02,18
2016-12-03,18
2016-12-04,27
2016-12-05,15
2016-12-06,6
2016-12-07,2
2016-12-08,11
2016-12-09,10
2016-12-10,16
2016-12-11,25
2016-12-12,24
2016-12-13,5
2016-12-14,3
2016-12-15,17
2016-12-16,7
2016-12-17,13
2016-12-18,42
2016-12-19,24
2016-12-20,8
2016-12-21,2
2016-12-22,14
2016-12-23,24
2016-12-24,19
2016-12-25,24
2016-12-26,9
2016-12-27,17
2016-12-28,4
2016-12-29,14
2016-12-30,41
2016-12-31,14
2017-01-01,26
2017-01-02,30
2017-01-03,24
2017-01-04,2
2017-01-05,7
2017-01-06,14
2017-01-07,12
2017-01-08,35
2017-01-09,15
2017-01-10,11
2017-01-11,15
2017-01-12,5
2017-01-13,6
2017-01-14,28
2017-01-15,28
2017-01-16,16
2017-01-17,11
2017-01-18,10
2017-01-19,12
2017-01-20,11
