date,visitors
2016-01-04,15
2016-01-05,17
2016-01-06,15
2016-01-07,20
2016-01-08,12
2016-01-09,36
2016-01-10,23
2016-01-11,26
2016-01-12,13
2016-01-13,31
2016-01-14,8
2016-01-15,15
2016-01-16,26
2016-01-17,37
2016-01-18,14
2016-01-19,7
2016-01-20,13
2016-01-21,12
2016-01-22,13
2016-01-23,23
2016-01-24,12
2016-01-25,12
2016-01-26,8
2016-01-27,20
2016-01-28,14
2016-01-29,40
2016-01-30,31
2016-01-31,30
2016-02-01,24
2016-02-02,13
2016-02-03,9
2016-02-04,10
2016-02-05,24
2016-02-06,22
2016-02-07,34
2016-02-08,21
2016-02-09,7
2016-02-10,25
2016-02-11,28
2016-02-12,15
2016-02-13,27
2016-02-14,28
2016-02-15,14
2016-02-16,18
2016-02-17,26
2016-02-18,15
2016-02-19,28
2016-02-20,30
2016-02-21,37
2016-02-22,15
2016-02-23,16
2016-02-24,35
2016-02-25,13
2016-02-26,24
2016-02-27,42
2016-02-28,31
2016-02-29,33
2016-03-01,19
2016-03-02,20
2016-03-03,17
2016-03-04,27
2016-03-05,28
2016-03-06,43
2016-03-07,12
2016-03-08,20
2016-03-09,15
2016-03-10,18
2016-03-11,33
2016-03-12,27
2016-03-13,24
2016-03-14,15
2016-03-15,18
2016-03-16,30
2016-03-17,24
2016-03-18,17
2016-03-19,19
2016-03-20,33
2016-03-21,31
2016-03-22,18
2016-03-23,35
2016-03-24,25
2016-03-25,15
2016-03-26,33
2016-03-27,53
2016-03-28,52
2016-03-29,27
2016-03-30,30
2016-03-31,11
2016-04-01,15
2016-04-02,31
2016-04-03,21
2016-04-04,14
2016-04-05,15
2016-04-06,24
2016-04-07,23
2016-04-08,18
2016-04-09,22
2016-04-10,29
2016-04-11,18
2016-04-12,9
2016-04-14,30
2016-04-15,21
2016-04-16,22
2016-04-17,36
2016-04-18,14
2016-04-19,10
2016-04-20,38
2016-04-21,9
2016-04-22,19
2016-04-23,28
2016-04-24,26
2016-04-25,58
2016-04-26,26
2016-04-27,30
2016-04-28,5
2016-04-29,24
2016-04-30,27
2016-05-01,43
2016-05-02,21
2016-05-03,27
2016-05-04,54
2016-05-05,27
2016-05-06,15
2016-05-07,30
2016-05-08,20
2016-05-09,24
2016-05-10,9
2016-05-11,1
2016-05-12,48
2016-05-13,18
2016-05-14,32
2016-05-15,33
2016-05-16,10
2016-05-17,19
2016-05-18,30
2016-05-19,22
2016-05-20,30
2016-05-21,21
2016-05-22,23
2016-05-23,13
2016-05-24,20
2016-05-25,23
2016-05-26,18
2016-05-27,24
2016-05-28,36
2016-05-29,32
2016-05-30,48
2016-05-31,21
2016-06-02,23
2016-06-03,22
2016-06-04,21
2016-06-05,25
2016-06-06,18
2016-06-07,8
2016-06-08,9
2016-06-09,23
2016-06-10,16
2016-06-11,28
2016-06-12,22
2016-06-13,11
2016-06-14,18
2016-06-15,11
2016-06-16,14
2016-06-17,30
2016-06-18,20
2016-06-19,28
2016-06-20,15
2016-06-21,17
2016-06-22,14
2016-06-23,14
2016-07-03,74
2016-07-04,19
2016-07-05,19
2016-07-06,43
2016-07-07,5
2016-07-08,28
2016-07-09,51
2016-07-10,62
2016-07-11,7
2016-07-12,27
2016-07-13,17
2016-07-14,37
2016-07-15,44
2016-07-16,15
2016-07-17,64
2016-07-18,28
2016-07-19,12
2016-07-20,16
2016-07-21,45
2016-07-22,10
2016-07-23,45
2016-07-24,29
2016-07-25,13
2016-07-26,23
2016-07-27,21
2016-07-28,13
2016-07-29,20
2016-07-30,55
2016-07-31,16
2016-08-01,12
2016-08-02,71
2016-08-03,10
2016-08-04,26
2016-08-05,10
2016-08-06,10
2016-08-07,45
2016-08-08,19
2016-08-09,25
2016-08-10,3
2016-08-11,22
2016-08-12,30
2016-08-13,18
2016-08-14,9
2016-08-15,6
2016-08-16,14
2016-08-17,8
2016-08-18,13
2016-08-19,22
2016-08-20,41
2016-08-21,13
2016-08-22,27
2016-08-23,13
2016-08-24,11
2016-08-25,9
2016-08-26,12
2016-08-27,26
2016-08-28,31
2016-08-29,17
2016-08-30,24
2016-08-31,23
2016-09-01,9
2016-09-02,16
2016-09-03,24
2016-09-04,21
2016-09-05,17
2016-09-06,19
2016-09-07,17
2016-09-08,18
2016-09-09,12
2016-09-10,32
2016-09-11,17
2016-09-12,16
2016-09-13,13
2016-09-14,19
2016-09-15,14
2016-09-16,9
2016-09-17,25
2016-09-18,22
2016-09-19,13
2016-09-20,7
2016-09-21,25
2016-09-22,42
2016-09-23,13
2016-09-24,17
2016-09-25,22
2016-09-26,15
2016-09-27,14
2016-09-28,14
2016-09-29,5
2016-09-30,16
2016-10-01,17
2016-10-02,18
2016-10-03,15
2016-10-04,18
2016-10-06,12
2016-10-07,14
2016-10-08,28
2016-10-09,20
2016-10-10,13
2016-10-11,12
2016-10-12,12
2016-10-13,16
2016-10-14,19
2016-10-15,43
2016-10-16,10
2016-10-17,9
2016-10-18,28
2016-10-19,18
2016-10-20,18
2016-10-21,13
2016-10-22,16
2016-10-23,14
2016-10-24,8
2016-10-25,14
2016-10-26,23
2016-10-27,9
2016-10-28,14
2016-10-29,33
2016-10-30,37
2016-10-31,16
2016-11-01,6
2016-11-02,10
2016-11-03,13
2016-11-04,15
2016-11-05,16
2016-11-06,16
2016-11-07,7
2016-11-08,9
2016-11-09,14
2016-11-10,6
2016-11-11,7
2016-11-12,22
2016-11-13,14
2016-11-14,1
2016-11-15,13
2016-11-16,22
2016-11-17,4
2016-11-18,5
2016-11-19,19
2016-11-20,16
2016-11-21,10
2016-11-22,8
2016-11-23,34
2016-11-24,14
2016-11-25,9
2016-11-26,29
2016-11-27,51
2016-11-28,16
2016-11-29,20
2016-11-30,8
2016-12-01,11
2016-12-02,13
2016-12-03,25
2016-12-04,15
2016-12-05,11
2016-12-06,12
2016-12-07,14
2016-12-08,6
2016-12-09,10
2016-12-10,20
2016-12-11,14
2016-12-12,6
2016-12-13,12
2016-12-14,27
2016-12-15,8
2016-12-16,2
2016-12-17,32
2016-12-18,32
2016-12-19,15
2016-12-20,13
2016-12-21,10
2016-12-22,13
2016-12-23,16
2016-12-24,43
2016-12-25,12
2016-12-26,7
2016-12-27,26
2016-12-28,24
2016-12-29,1
2017-01-04,15
2017-01-05,8
2017-01-06,9
2017-01-07,32
2017-01-08,13
2017-01-09,11
2017-01-10,7
2017-01-11,17
2017-01-12,15
2017-01-13,10
2017-01-14,24
2017-01-15,26
2017-01-16,7
2017-01-17,20
2017-01-18,8
