date,visitors
2016-01-05,29
2016-01-06,15
2016-01-07,14
2016-01-08,24
2016-01-09,16
2016-01-10,6
2016-01-11,17
2016-01-12,1
2016-01-13,9
2016-01-14,14
2016-01-15,22
2016-01-16,9
2016-01-17,6
2016-01-18,3
2016-01-19,13
2016-01-20,6
2016-01-21,9
2016-01-22,10
2016-01-23,7
2016-01-25,1
2016-01-26,9
2016-01-27,6
2016-01-28,13
2016-01-29,12
2016-01-30,16
2016-01-31,12
2016-02-02,7
2016-02-03,13
2016-02-04,10
2016-02-05,12
2016-02-06,18
2016-02-07,26
2016-02-08,5
2016-02-09,12
2016-02-10,6
2016-02-11,18
2016-02-12,3
2016-02-13,5
2016-02-14,3
2016-02-15,9
2016-02-16,6
2016-02-17,11
2016-02-18,13
2016-02-19,8
2016-02-20,9
2016-02-21,27
2016-02-24,8
2016-02-25,4
2016-02-26,6
2016-02-27,29
2016-02-29,1
2016-03-01,9
2016-03-02,11
2016-03-03,9
2016-03-04,7
2016-03-05,15
2016-03-06,10
2016-03-08,10
2016-03-09,20
2016-03-10,14
2016-03-11,14
2016-03-12,19
2016-03-13,18
2016-03-14,2
2016-03-15,9
2016-03-16,8
2016-03-17,10
2016-03-18,19
2016-03-19,15
2016-03-20,8
2016-03-21,5
2016-03-23,10
2016-03-24,10
2016-03-25,21
2016-03-26,14
2016-03-27,11
2016-03-30,9
2016-04-07,3
2016-04-08,12
2016-04-09,7
2016-04-10,13
2016-04-11,6
2016-04-12,17
2016-04-13,14
2016-04-14,7
2016-04-15,28
2016-04-16,7
2016-04-17,15
2016-04-18,5
2016-04-19,6
2016-04-20,16
2016-04-21,6
2016-04-22,21
2016-04-23,13
2016-04-24,14
2016-04-25,4
2016-04-26,8
2016-04-27,17
2016-04-28,17
2016-04-29,30
2016-04-30,7
2016-05-01,11
2016-05-02,37
2016-05-03,19
2016-05-04,9
2016-05-05,8
2016-05-06,1
2016-05-07,14
2016-05-08,11
2016-05-09,1
2016-05-10,15
2016-05-11,10
2016-05-12,15
2016-05-13,5
2016-05-14,15
2016-05-15,26
2016-05-16,3
2016-05-17,9
2016-05-18,7
2016-05-19,13
2016-05-20,9
2016-05-21,9
2016-05-22,7
2016-05-23,3
2016-05-24,4
2016-05-25,17
2016-05-26,1
2016-05-27,3
2016-05-28,21
2016-05-29,11
2016-06-01,5
2016-06-02,12
2016-06-03,4
2016-06-04,3
2016-06-05,11
2016-06-07,9
2016-06-08,4
2016-06-09,5
2016-06-10,12
2016-06-11,17
2016-06-12,6
2016-06-13,5
2016-06-14,1
2016-06-15,10
2016-06-16,7
2016-06-17,4
2016-06-18,14
2016-06-19,14
2016-06-21,1
2016-06-22,14
2016-06-23,10
2016-06-24,17
2016-06-25,3
2016-06-26,5
2016-06-27,1
2016-06-28,20
2016-06-29,8
2016-06-30,17
2016-07-01,8
2016-07-02,18
2016-07-03,9
2016-07-04,2
2016-07-05,9
2016-07-06,15
2016-07-07,5
2016-07-08,9
2016-07-09,7
2016-07-10,14
2016-07-11,1
2016-07-12,9
2016-07-13,1
2016-07-14,3
2016-07-15,3
2016-07-16,7
2016-07-17,4
2016-07-18,3
2016-07-19,1
2016-07-20,7
2016-07-21,5
2016-07-22,7
2016-07-23,8
2016-07-24,4
2016-07-26,5
2016-07-27,4
2016-07-28,7
2016-07-29,2
2016-07-30,5
2016-07-31,2
2016-08-02,4
2016-08-03,2
2016-08-04,5
2016-08-05,3
2016-08-06,3
2016-08-07,1
2016-08-08,2
2016-08-09,5
2016-08-10,2
2016-08-11,6
2016-08-12,6
2016-08-13,5
2016-08-14,4
2016-08-16,3
2016-08-17,4
2016-08-18,5
2016-08-19,5
2016-08-20,4
