date,visitors
2016-07-01,48
2016-07-02,46
2016-07-03,59
2016-07-04,47
2016-07-05,53
2016-07-06,47
2016-07-07,56
2016-07-08,44
2016-07-09,51
2016-07-10,73
2016-07-11,56
2016-07-12,71
2016-07-13,50
2016-07-14,49
2016-07-15,49
2016-07-16,51
2016-07-17,57
2016-07-18,65
2016-07-19,45
2016-07-20,58
2016-07-21,43
2016-07-22,51
2016-07-23,52
2016-07-24,75
2016-07-25,54
2016-07-26,62
2016-07-27,64
2016-07-28,60
2016-07-29,59
2016-07-30,48
2016-07-31,45
2016-08-01,44
2016-08-02,58
2016-08-03,42
2016-08-04,45
2016-08-05,46
2016-08-06,41
2016-08-07,59
2016-08-08,39
2016-08-09,49
2016-08-10,56
2016-08-11,62
2016-08-12,56
2016-08-13,64
2016-08-14,39
2016-08-15,51
2016-08-16,48
2016-08-17,47
2016-08-18,49
2016-08-19,58
2016-08-20,55
2016-08-21,53
2016-08-22,27
2016-08-23,59
2016-08-24,50
2016-08-25,49
2016-08-26,37
2016-08-27,45
2016-08-28,72
2016-08-29,41
2016-08-30,63
2016-08-31,54
2016-09-01,58
2016-09-02,66
2016-09-03,56
2016-09-04,45
2016-09-05,55
2016-09-06,44
2016-09-07,49
2016-09-08,56
2016-09-09,51
2016-09-10,45
2016-09-11,56
2016-09-12,61
2016-09-13,39
2016-09-14,40
2016-09-15,54
2016-09-16,54
2016-09-17,59
2016-09-18,68
2016-09-19,45
2016-09-20,43
2016-09-21,51
2016-09-22,12
2016-09-23,5
2016-10-06,2
2016-12-27,1
2016-12-28,29
2017-01-06,21
2017-01-07,25
2017-01-08,22
2017-01-09,28
2017-01-10,25
2017-01-11,30
2017-01-12,30
2017-01-13,35
2017-01-14,33
2017-01-15,45
2017-01-16,22
2017-01-17,32
2017-01-18,38
2017-01-19,32
2017-01-20,37
2017-01-21,35
2017-01-22,34
2017-01-23,37
2017-01-24,36
2017-01-25,18
2017-01-26,46
2017-01-27,34
2017-01-28,32
2017-01-29,44
2017-01-30,42
2017-01-31,38
2017-02-01,37
2017-02-02,46
2017-02-03,31
2017-02-04,44
2017-02-05,60
2017-02-06,38
2017-02-07,34
2017-02-08,42
2017-02-09,28
2017-02-10,37
2017-02-11,42
2017-02-12,47
2017-02-13,47
2017-02-14,37
2017-02-15,35
2017-02-16,41
2017-02-17,28
2017-02-18,41
2017-02-19,42
2017-02-20,37
2017-02-21,48
2017-02-22,45
2017-02-23,38
2017-02-24,41
2017-02-25,47
2017-02-26,47
2017-02-27,45
2017-02-28,28
2017-03-01,50
2017-03-02,42
2017-03-03,30
2017-03-04,34
2017-03-05,42
2017-03-06,37
2017-03-07,48
2017-03-08,47
2017-03-09,31
2017-03-10,37
2017-03-11,47
2017-03-12,38
2017-03-13,36
2017-03-14,37
