date,visitors
2016-07-01,45
2016-07-02,35
2016-07-03,26
2016-07-04,27
2016-07-05,9
2016-07-06,35
2016-07-07,25
2016-07-08,38
2016-07-09,22
2016-07-10,35
2016-07-11,24
2016-07-12,2
2016-07-13,47
2016-07-14,40
2016-07-15,45
2016-07-16,40
2016-07-17,62
2016-07-18,19
2016-07-19,10
2016-07-20,41
2016-07-21,51
2016-07-22,41
2016-07-23,44
2016-07-24,8
2016-07-25,33
2016-07-26,23
2016-07-27,38
2016-07-28,23
2016-07-29,59
2016-07-30,53
2016-07-31,37
2016-08-01,19
2016-08-02,36
2016-08-03,36
2016-08-04,1
2016-08-05,42
2016-08-06,35
2016-08-08,12
2016-08-09,16
2016-08-10,48
2016-08-11,18
2016-08-12,33
2016-08-13,21
2016-08-14,20
2016-08-15,15
2016-08-16,30
2016-08-17,23
2016-08-18,27
2016-08-19,46
2016-08-20,9
2016-08-21,18
2016-08-22,32
2016-08-23,32
2016-08-24,38
2016-08-25,40
2016-08-26,40
2016-08-27,55
2016-08-28,23
2016-08-29,20
2016-08-30,21
2016-08-31,12
2016-09-01,23
2016-09-02,29
2016-09-03,12
2016-09-04,27
2016-09-05,13
2016-09-06,32
2016-09-07,28
2016-09-08,30
2016-09-09,32
2016-09-10,35
2016-09-11,28
2016-09-12,20
2016-09-13,11
2016-09-14,39
2016-09-15,26
2016-09-16,57
2016-09-17,26
2016-09-18,24
2016-09-19,20
2016-09-20,3
2016-09-21,36
2016-09-22,41
2016-09-23,29
2016-09-24,39
2016-09-25,16
2016-09-26,32
2016-09-27,16
2016-09-28,28
2016-09-29,20
2016-09-30,34
2016-10-01,40
2016-10-02,15
2016-10-03,45
2016-10-04,5
2016-10-05,21
2016-10-06,35
2016-10-07,34
2016-10-08,6
2016-10-09,23
2016-10-10,9
2016-10-11,15
2016-10-12,20
2016-10-13,38
2016-10-14,51
2016-10-15,57
2016-10-16,35
2016-10-17,29
2016-10-18,13
2016-10-19,52
2016-10-20,5
2016-10-21,49
2016-10-22,37
2016-10-23,19
2016-10-24,26
2016-10-25,24
2016-10-26,11
2016-10-27,35
2016-10-28,32
2016-10-29,31
2016-10-30,24
2016-10-31,16
2016-11-01,45
2016-11-02,34
2016-11-03,23
2016-11-04,32
2016-11-05,43
2016-11-06,8
2016-11-07,32
2016-11-08,5
2016-11-09,22
2016-11-10,23
2016-11-11,44
2016-11-12,40
2016-11-13,12
2016-11-14,39
2016-11-15,19
2016-11-16,9
2016-11-17,1
2016-11-18,36
2016-11-19,21
2016-11-20,11
2016-11-21,19
2016-11-22,35
2016-11-23,18
2016-11-24,8
2016-11-25,36
2016-11-26,25
2016-11-27,35
2016-11-28,7
2016-11-29,25
2016-11-30,10
2016-12-01,22
2016-12-02,16
2016-12-03,49
2016-12-04,22
2016-12-05,40
2016-12-06,25
2016-12-07,20
2016-12-08,21
2016-12-09,49
2016-12-10,48
2016-12-11,15
2016-12-12,15
2016-12-13,35
2016-12-14,16
2016-12-15,9
2016-12-16,68
2016-12-17,62
2016-12-18,35
2016-12-19,24
2016-12-20,40
2016-12-21,33
2016-12-22,45
2016-12-23,39
2016-12-24,33
2016-12-25,10
2016-12-26,28
2016-12-27,35
2016-12-28,55
2016-12-29,37
2016-12-30,66
2016-12-31,26
2017-01-01,10
2017-01-02,36
2017-01-03,12
2017-01-04,7
2017-01-05,24
2017-01-06,8
2017-01-07,30
2017-01-08,27
2017-01-09,2
2017-01-10,17
2017-01-11,32
2017-01-12,29
2017-01-13,14
2017-01-14,38
2017-01-15,6
2017-01-16,4
2017-01-17,10
2017-01-18,8
2017-01-19,7
2017-01-20,51
2017-01-21,43
2017-01-22,17
2017-01-23,10
2017-01-24,19
2017-01-25,5
2017-01-26,23
2017-01-27,52
2017-01-28,33
2017-01-29,19
2017-01-30,30
2017-01-31,24
2017-02-01,15
2017-02-02,15
2017-02-03,39
2017-02-04,9
2017-02-05,9
2017-02-06,29
2017-02-07,24
2017-02-08,4
2017-02-09,11
2017-02-10,36
2017-02-11,41
2017-02-12,13
2017-02-13,32
2017-02-14,15
2017-02-15,34
2017-02-16,17
2017-02-17,19
2017-02-18,53
2017-02-19,17
2017-02-20,14
2017-02-21,36
2017-02-22,24
