date,visitors
2016-07-01,37
2016-07-02,9
2016-07-04,26
2016-07-05,15
2016-07-06,24
2016-07-07,39
2016-07-08,38
2016-07-09,12
2016-07-12,33
2016-07-13,21
2016-07-14,36
2016-07-15,45
2016-07-16,17
2016-07-18,5
2016-07-19,17
2016-07-20,46
2016-07-21,25
2016-07-22,47
2016-07-23,21
2016-07-25,30
2016-07-26,35
2016-07-27,34
2016-07-28,36
2016-07-29,37
2016-07-30,28
2016-08-01,29
2016-08-02,36
2016-08-03,27
2016-08-04,37
2016-08-05,45
2016-08-06,32
2016-08-08,38
2016-08-09,44
2016-08-10,62
2016-08-11,27
2016-08-12,23
2016-08-17,32
2016-08-18,36
2016-08-19,56
2016-08-20,30
2016-08-22,25
2016-08-23,26
2016-08-24,31
2016-08-25,38
2016-08-26,53
2016-08-27,32
2016-08-29,26
2016-08-30,53
2016-08-31,47
2016-09-01,42
2016-09-02,31
2016-09-03,44
2016-09-05,33
2016-09-06,28
2016-09-07,34
2016-09-08,45
2016-09-09,37
2016-09-10,37
2016-09-12,48
2016-09-13,29
2016-09-14,22
2016-09-15,38
2016-09-16,34
2016-09-17,23
2016-09-20,36
2016-09-21,54
2016-09-22,7
2016-09-23,31
2016-09-24,20
2016-09-26,42
2016-09-27,24
2016-09-28,13
2016-09-29,40
2016-09-30,47
2016-10-01,26
2016-10-03,25
2016-10-04,35
2016-10-05,30
2016-10-06,20
2016-10-07,45
2016-10-08,31
2016-10-12,23
2016-10-13,46
2016-10-14,34
2016-10-15,33
2016-10-17,42
2016-10-18,42
2016-10-19,35
2016-10-20,23
2016-10-21,27
2016-10-22,20
2016-10-24,37
2016-10-25,20
2016-10-26,25
2016-10-27,19
2016-10-28,45
2016-10-29,13
2016-10-31,19
2016-11-01,20
2016-11-02,34
2016-11-03,14
2016-11-04,21
2016-11-05,13
2016-11-07,28
2016-11-08,18
2016-11-09,18
2016-11-10,31
2016-11-11,19
2016-11-12,12
2016-11-14,40
2016-11-15,17
2016-11-16,28
2016-11-17,25
2016-11-18,22
2016-11-19,18
2016-11-21,37
2016-11-22,35
2016-11-23,13
2016-11-24,31
2016-11-25,29
2016-11-26,26
2016-11-28,38
2016-11-29,26
2016-11-30,30
2016-12-01,33
2016-12-02,35
2016-12-03,25
2016-12-05,35
2016-12-06,17
2016-12-07,33
2016-12-08,29
2016-12-09,38
2016-12-10,19
2016-12-12,25
2016-12-13,15
2016-12-14,40
2016-12-15,55
2016-12-16,30
2016-12-17,26
2016-12-19,16
2016-12-20,33
2016-12-21,39
2016-12-22,38
2016-12-23,27
2016-12-24,6
2016-12-26,38
2016-12-27,33
2016-12-28,55
2016-12-29,39
2016-12-30,13
2017-01-05,40
2017-01-06,46
2017-01-07,32
2017-01-08,8
2017-01-10,25
2017-01-11,24
2017-01-12,27
2017-01-13,35
2017-01-14,33
2017-01-16,24
2017-01-17,28
2017-01-18,31
2017-01-19,35
2017-01-20,27
2017-01-21,35
2017-01-23,30
2017-01-24,16
2017-01-25,21
2017-01-26,22
2017-01-27,50
2017-01-28,26
2017-01-30,31
2017-01-31,40
2017-02-01,40
2017-02-02,35
2017-02-03,35
2017-02-04,37
2017-02-06,27
2017-02-07,39
2017-02-08,27
2017-02-09,29
2017-02-10,43
2017-02-11,38
2017-02-13,36
2017-02-14,34
2017-02-15,31
2017-02-16,38
2017-02-17,38
2017-02-20,21
2017-02-21,16
2017-02-22,33
2017-02-23,29
