date,visitors
2016-03-16,12
2016-03-18,6
2016-03-19,17
2016-03-20,22
2016-03-21,21
2016-03-22,13
2016-03-25,24
2016-03-26,16
2016-03-27,10
2016-03-28,11
2016-03-29,10
2016-03-30,16
2016-03-31,42
2016-04-01,9
2016-04-02,18
2016-04-03,14
2016-04-04,17
2016-04-05,19
2016-04-06,11
2016-04-07,8
2016-04-08,30
2016-04-09,81
2016-04-10,116
2016-04-27,86
2016-04-28,39
2016-04-29,94
2016-04-30,99
2016-05-01,113
2016-05-02,60
2016-05-03,82
2016-05-04,129
2016-05-05,167
2016-05-06,32
2016-05-07,99
2016-05-08,124
2016-05-09,27
2016-05-10,40
2016-05-11,61
2016-05-12,59
2016-05-13,65
2016-05-14,57
2016-05-15,107
2016-05-16,37
2016-05-17,12
2016-05-18,58
2016-05-20,40
2016-05-21,86
2016-05-22,89
2016-05-23,74
2016-05-24,48
2016-05-25,52
2016-05-26,37
2016-05-27,43
2016-05-28,59
2016-05-29,88
2016-05-30,51
2016-05-31,41
2016-06-01,50
2016-06-02,59
2016-06-03,47
2016-06-04,81
2016-06-05,83
2016-06-06,61
2016-06-07,38
2016-06-08,59
2016-06-09,43
2016-06-10,40
2016-06-11,71
2016-06-13,15
2016-06-14,36
2016-06-15,63
2016-06-16,32
2016-06-17,73
2016-06-18,94
2016-06-19,55
2016-06-20,49
2016-06-21,24
2016-06-22,55
2016-06-23,33
2016-06-24,36
2016-06-25,95
2016-06-26,82
2016-06-27,51
2016-06-28,16
2016-06-29,26
2016-06-30,35
2016-07-01,33
2016-07-02,56
2016-07-03,86
2016-07-04,39
2016-07-05,32
2016-07-06,32
2016-07-08,55
2016-07-09,38
2016-07-10,87
2016-07-11,38
2016-07-12,42
2016-07-13,31
2016-07-14,31
2016-07-15,26
2016-07-16,48
2016-07-17,67
2016-07-18,81
2016-07-19,32
2016-07-20,30
2016-07-21,14
2016-07-22,33
2016-07-23,52
2016-07-24,55
2016-07-25,42
2016-07-26,19
2016-07-27,36
2016-07-28,42
2016-07-29,43
2016-07-30,69
2016-07-31,106
2016-08-01,47
2016-08-02,56
2016-08-03,50
2016-08-04,75
2016-08-05,59
2016-08-06,63
2016-08-07,72
2016-08-08,45
2016-08-09,49
2016-08-10,56
2016-08-11,60
2016-08-12,64
2016-08-13,69
2016-08-14,71
2016-08-15,64
2016-08-16,49
2016-08-17,59
2016-08-18,32
2016-08-19,36
2016-08-20,41
2016-08-21,100
2016-08-22,9
2016-08-23,51
2016-08-24,52
2016-08-25,27
2016-08-26,42
2016-08-27,43
2016-08-28,56
2016-08-29,46
2016-08-30,34
2016-08-31,51
2016-09-02,42
2016-09-03,47
2016-09-04,70
2016-09-05,27
2016-09-06,33
2016-09-07,26
2016-09-08,16
2016-09-09,33
2016-09-10,51
2016-09-11,54
2016-09-12,13
2016-09-13,9
2016-09-14,21
2016-09-15,9
2016-09-16,19
2016-09-17,46
2016-09-18,53
2016-09-19,45
2016-09-20,6
2016-09-21,26
2016-09-22,49
2016-09-23,15
2016-09-24,21
2016-09-25,46
2016-09-26,41
2016-09-30,35
2016-10-01,33
2016-10-02,49
2016-10-03,20
2016-10-04,26
2016-10-05,14
2016-10-06,31
2016-10-07,33
2016-10-08,29
2016-10-09,51
2016-10-11,19
2016-10-12,22
2016-10-13,10
2016-10-14,28
2016-10-15,71
2016-10-16,43
2016-10-17,14
2016-10-18,23
2016-10-19,15
2016-10-20,21
2016-10-21,29
2016-10-22,34
2016-10-23,39
2016-10-24,32
2016-10-25,17
2016-10-26,29
2016-10-27,11
2016-10-28,6
2016-10-29,31
2016-10-30,20
2016-10-31,26
2016-11-01,18
2016-11-02,15
2016-11-03,36
2016-11-04,20
2016-11-05,45
2016-11-06,31
2016-11-07,17
2016-11-08,31
2016-11-09,17
2016-11-11,5
2016-11-12,19
2016-11-15,19
2016-11-16,14
2016-11-18,12
2016-11-19,21
2016-11-21,15
2016-11-22,20
2016-11-23,33
2016-11-25,10
2016-11-26,23
2016-11-27,21
2016-11-28,26
2016-11-29,25
2016-11-30,23
2016-12-02,30
2016-12-03,32
2016-12-04,35
2016-12-05,18
2016-12-06,22
2016-12-09,24
2016-12-10,35
2016-12-12,24
2016-12-13,20
2016-12-16,22
2016-12-17,29
2016-12-18,49
2016-12-19,28
2016-12-20,32
2016-12-23,42
2016-12-24,23
2016-12-25,34
2016-12-26,17
2016-12-27,22
2016-12-28,50
2016-12-29,32
2016-12-30,36
2017-01-02,30
2017-01-03,35
2017-01-04,31
2017-01-05,17
2017-01-06,23
2017-01-07,36
2017-01-08,29
2017-01-09,47
2017-01-14,32
2017-01-15,48
2017-01-16,19
2017-01-17,26
2017-01-18,24
2017-01-21,32
2017-01-22,41
2017-01-23,22
2017-01-24,15
2017-01-25,20
2017-01-28,39
