date,visitors
2016-01-01,33
2016-01-06,17
2016-01-07,15
2016-01-08,31
2016-01-09,22
2016-01-10,55
2016-01-11,36
2016-01-12,54
2016-01-13,18
2016-01-14,22
2016-01-15,18
2016-01-16,51
2016-01-17,27
2016-01-18,14
2016-01-19,24
2016-01-20,14
2016-01-21,17
2016-01-22,50
2016-01-23,27
2016-01-24,22
2016-01-25,17
2016-01-26,44
2016-01-27,25
2016-01-28,23
2016-01-29,48
2016-01-30,32
2016-01-31,21
2016-02-01,16
2016-02-02,30
2016-02-03,21
2016-02-04,23
2016-02-05,43
2016-02-06,62
2016-02-07,28
2016-02-08,33
2016-02-09,13
2016-02-10,36
2016-02-11,28
2016-02-12,41
2016-02-13,29
2016-02-14,16
2016-02-15,9
2016-02-16,16
2016-02-17,30
2016-02-18,18
2016-02-19,48
2016-02-20,18
2016-02-21,45
2016-02-22,69
2016-02-23,31
2016-02-24,26
2016-02-25,25
2016-02-26,32
2016-02-27,41
2016-02-28,30
2016-02-29,15
2016-03-01,28
2016-03-02,36
2016-03-03,9
2016-03-04,13
2016-03-05,30
2016-03-06,38
2016-03-07,52
2016-03-08,20
2016-03-09,22
2016-03-10,29
2016-03-11,27
2016-03-12,41
2016-03-13,17
2016-03-14,29
2016-03-15,23
2016-03-16,52
2016-03-17,37
2016-03-18,86
2016-03-19,48
2016-03-20,40
2016-03-21,47
2016-03-22,15
2016-03-23,55
2016-03-24,42
2016-03-25,57
2016-03-26,36
2016-03-27,62
2016-03-28,42
2016-03-29,53
2016-03-30,48
2016-03-31,23
2016-04-01,35
2016-04-02,55
2016-04-03,23
2016-04-04,35
2016-04-05,35
2016-04-06,9
2016-04-07,24
2016-04-08,44
2016-04-09,29
2016-04-10,51
2016-04-11,46
2016-04-12,40
2016-04-13,27
2016-04-14,25
2016-04-15,43
2016-04-16,43
2016-04-17,29
2016-04-18,28
2016-04-19,33
2016-04-20,26
2016-04-21,15
2016-04-22,58
2016-04-23,18
2016-04-24,23
2016-04-25,28
2016-04-26,37
2016-04-27,32
2016-04-28,21
2016-04-29,46
2016-04-30,47
2016-05-01,54
2016-05-02,68
2016-05-03,65
2016-05-04,79
2016-05-05,42
2016-05-06,25
2016-05-07,44
2016-05-08,24
2016-05-09,35
2016-05-10,3
2016-05-11,6
2016-05-12,21
2016-05-13,54
2016-05-14,37
2016-05-15,32
2016-05-16,28
2016-05-17,11
2016-05-18,24
2016-05-19,19
2016-05-20,35
2016-05-21,63
2016-05-22,46
2016-05-23,46
2016-05-24,33
2016-05-25,28
2016-05-26,40
2016-05-27,20
2016-05-28,41
2016-05-29,27
2016-05-30,35
2016-05-31,77
2016-06-01,52
2016-06-02,37
2016-06-03,45
2016-06-04,47
2016-06-05,46
2016-06-06,32
2016-06-07,37
2016-06-08,41
2016-06-09,16
2016-06-10,43
2016-06-11,66
2016-06-12,31
2016-06-13,37
2016-06-14,34
2016-06-15,30
2016-06-16,19
2016-06-17,30
2016-06-18,61
2016-06-19,32
2016-06-20,13
2016-06-21,32
2016-06-22,4
2016-06-23,19
2016-06-24,40
2016-06-25,53
2016-06-26,67
2016-06-27,25
2016-06-28,42
2016-06-29,42
2016-06-30,33
2016-07-01,34
2016-07-02,64
2016-07-03,33
2016-07-04,28
2016-07-05,25
2016-07-06,22
2016-07-07,6
2016-07-08,29
2016-07-09,62
2016-07-10,37
2016-07-11,23
2016-07-12,20
2016-07-13,36
2016-07-14,25
2016-07-15,21
2016-07-16,27
2016-07-17,16
2016-07-18,30
2016-07-19,22
2016-07-20,36
2016-07-21,27
2016-07-22,50
2016-07-23,33
2016-07-24,56
2016-07-25,28
2016-07-26,29
2016-07-27,21
2016-07-28,27
2016-07-29,31
2016-07-30,24
2016-07-31,27
2016-08-01,1
2016-08-02,19
2016-08-03,25
