date,visitors
2016-07-01,22
2016-07-02,32
2016-07-03,47
2016-07-04,17
2016-07-05,29
2016-07-06,15
2016-07-07,18
2016-07-08,26
2016-07-09,36
2016-07-10,42
2016-07-11,28
2016-07-12,21
2016-07-13,23
2016-07-14,21
2016-07-15,29
2016-07-16,32
2016-07-17,38
2016-07-18,14
2016-07-19,15
2016-07-20,29
2016-07-21,18
2016-07-22,31
2016-07-23,44
2016-07-24,31
2016-07-25,18
2016-07-26,40
2016-07-27,9
2016-07-28,33
2016-07-29,37
2016-07-30,28
2016-07-31,41
2016-08-01,25
2016-08-02,23
2016-08-03,21
2016-08-04,16
2016-08-05,18
2016-08-06,31
2016-08-07,45
2016-08-08,22
2016-08-09,30
2016-08-10,22
2016-08-11,38
2016-08-12,33
2016-08-13,38
2016-08-14,26
2016-08-15,49
2016-08-16,39
2016-08-17,36
2016-08-18,19
2016-08-19,41
2016-08-20,44
2016-08-21,52
2016-08-22,22
2016-08-23,33
2016-08-24,7
2016-08-25,40
2016-08-26,30
2016-08-27,33
2016-08-28,42
2016-08-29,27
2016-09-01,3
2016-09-02,16
2016-09-03,28
2016-09-04,18
2016-09-05,34
2016-09-06,34
2016-09-07,26
2016-09-08,16
2016-09-09,21
2016-09-10,20
2016-09-11,38
2016-09-12,52
2016-09-13,5
2016-09-14,26
2016-09-15,24
2016-09-16,26
2016-09-17,30
2016-09-18,23
2016-09-19,25
2016-09-20,29
2016-09-21,25
2016-09-22,26
2016-09-23,25
2016-09-24,41
2016-09-25,52
2016-09-26,28
2016-09-27,39
2016-09-28,25
2016-09-29,17
2016-09-30,21
2016-10-01,39
2016-10-02,34
2016-10-03,28
2016-10-04,14
2016-10-05,27
2016-10-06,26
2016-10-07,34
2016-10-08,26
2016-10-09,22
2016-10-10,32
2016-10-11,20
2016-10-12,26
2016-10-13,18
2016-10-14,20
2016-10-15,38
2016-10-16,42
2016-10-17,9
2016-10-18,12
2016-10-21,6
2016-10-22,32
2016-10-23,27
2016-10-24,24
2016-10-25,11
2016-10-26,26
2016-10-27,14
2016-10-28,19
2016-10-29,19
2016-10-30,31
2016-10-31,20
2016-11-01,13
2016-11-02,19
2016-11-03,33
2016-11-04,18
2016-11-05,31
2016-11-06,51
2016-11-07,72
2016-11-08,41
2016-11-09,24
2016-11-10,22
2016-11-11,14
2016-11-12,23
2016-11-13,37
2016-11-14,32
2016-11-15,11
2016-11-16,28
2016-11-17,22
2016-11-18,28
2016-11-19,39
2016-11-20,47
2016-11-21,27
2016-11-22,22
2016-11-23,22
2016-11-24,20
2016-11-25,26
2016-11-26,43
2016-11-27,34
2016-11-28,23
2016-11-29,18
2016-11-30,37
2016-12-01,20
2016-12-02,10
2016-12-03,39
2016-12-04,40
2016-12-05,18
2016-12-06,10
2016-12-07,19
2016-12-08,13
2016-12-09,5
2016-12-10,59
2016-12-11,31
2016-12-12,21
2016-12-13,17
2016-12-14,22
2016-12-15,37
2016-12-16,19
2016-12-17,43
2016-12-18,48
2016-12-19,26
2016-12-20,7
2016-12-21,19
2016-12-22,25
2016-12-23,27
2016-12-24,45
2016-12-25,38
2016-12-26,30
2016-12-27,29
2016-12-28,41
2016-12-29,45
2016-12-30,74
2016-12-31,59
2017-01-01,36
2017-01-02,30
2017-01-03,21
2017-01-04,17
2017-01-05,55
2017-01-06,16
2017-01-07,37
2017-01-08,52
2017-01-09,38
2017-01-10,40
2017-01-11,18
2017-01-12,15
2017-01-13,13
2017-01-14,23
2017-01-15,23
2017-01-16,41
2017-01-17,29
2017-01-18,21
2017-01-19,24
2017-01-20,16
2017-01-21,36
2017-01-22,23
2017-01-23,21
2017-01-24,10
2017-01-25,16
2017-01-26,18
2017-01-27,35
2017-01-28,64
2017-01-29,50
2017-01-30,8
2017-01-31,22
2017-02-01,24
2017-02-02,21
2017-02-03,11
2017-02-04,37
2017-02-05,34
2017-02-06,31
2017-02-07,22
2017-02-08,33
2017-02-09,13
2017-02-10,22
2017-02-11,33
2017-02-12,36
2017-02-13,15
2017-02-14,23
2017-02-15,18
2017-02-16,25
2017-02-17,31
2017-02-18,36
2017-02-19,51
2017-02-20,20
2017-02-21,21
2017-02-22,19
