date,visitors
2016-07-01,44
2016-07-02,57
2016-07-03,4
2016-07-04,10
2016-07-06,16
2016-07-07,3
2016-07-08,19
2016-07-09,42
2016-07-10,14
2016-07-11,6
2016-07-13,9
2016-07-14,17
2016-07-15,17
2016-07-16,39
2016-07-17,18
2016-07-18,13
2016-07-19,1
2016-07-20,7
2016-07-21,4
2016-07-22,26
2016-07-23,33
2016-07-24,23
2016-07-26,9
2016-07-27,18
2016-07-28,12
2016-07-29,34
2016-07-30,33
2016-07-31,23
2016-08-01,7
2016-08-02,14
2016-08-03,22
2016-08-04,7
2016-08-05,37
2016-08-06,17
2016-08-07,27
2016-08-08,2
2016-08-09,1
2016-08-10,30
2016-08-11,25
2016-08-12,22
2016-08-13,44
2016-08-14,24
2016-08-15,18
2016-08-16,5
2016-08-17,7
2016-08-18,6
2016-08-19,39
2016-08-20,25
2016-08-21,3
2016-08-24,6
2016-08-25,7
2016-08-26,34
2016-08-27,39
2016-08-28,9
2016-08-29,10
2016-08-30,8
2016-08-31,15
2016-09-01,6
2016-09-02,26
2016-09-03,29
2016-09-04,32
2016-09-06,6
2016-09-07,5
2016-09-08,12
2016-09-09,35
2016-09-10,30
2016-09-11,25
2016-09-13,12
2016-09-14,3
2016-09-15,29
2016-09-16,33
2016-09-17,18
2016-09-18,31
2016-09-19,26
2016-09-20,2
2016-09-21,27
2016-09-22,14
2016-09-23,13
2016-09-24,19
2016-09-25,14
2016-09-26,11
2016-09-27,8
2016-09-28,9
2016-09-29,2
2016-09-30,40
2016-10-01,33
2016-10-02,17
2016-10-05,7
2016-10-06,13
2016-10-07,12
2016-10-08,20
2016-10-09,14
2016-10-10,14
2016-10-11,11
2016-10-12,8
2016-10-13,10
2016-10-14,24
2016-10-15,32
2016-10-16,27
2016-10-17,6
2016-10-19,11
2016-10-20,10
2016-10-21,2
2016-12-08,15
2016-12-09,29
2016-12-10,42
2016-12-11,33
2016-12-12,3
2016-12-13,4
2016-12-14,13
2016-12-15,20
2016-12-16,43
2016-12-17,27
2016-12-18,32
2016-12-20,9
2016-12-21,20
2016-12-22,31
2016-12-23,22
2016-12-24,29
2016-12-25,29
2016-12-26,22
2016-12-27,39
2016-12-28,34
2016-12-29,47
2016-12-30,49
2016-12-31,17
2017-01-02,23
2017-01-03,26
2017-01-04,12
2017-01-05,3
2017-01-06,14
2017-01-07,24
2017-01-08,15
2017-01-09,25
2017-01-10,2
2017-01-11,13
2017-01-12,13
2017-01-13,12
2017-01-14,28
2017-01-15,13
2017-01-17,7
2017-01-19,13
2017-01-20,15
2017-01-21,34
2017-01-22,17
2017-01-23,10
2017-01-24,1
2017-01-25,4
2017-01-26,11
2017-01-27,28
2017-01-28,37
2017-01-29,10
2017-01-31,4
2017-02-01,15
2017-02-02,3
2017-02-03,20
2017-02-04,38
2017-02-05,15
2017-02-06,8
2017-02-07,12
2017-02-08,3
2017-02-09,6
2017-02-10,29
2017-02-11,36
2017-02-12,15
2017-02-14,6
2017-02-15,37
2017-02-16,5
2017-02-17,18
2017-02-18,39
2017-02-19,10
2017-02-20,4
2017-02-23,3
2017-02-24,28
2017-02-25,55
2017-02-26,11
2017-02-28,1
2017-03-01,19
2017-03-02,4
2017-03-03,24
