date,visitors
2016-01-01,4
2016-01-04,8
2016-01-05,9
2016-01-06,11
2016-01-07,4
2016-01-08,7
2016-01-09,7
2016-01-11,8
2016-01-12,17
2016-01-13,5
2016-01-14,22
2016-01-15,18
2016-01-16,5
2016-01-19,8
2016-01-20,17
2016-01-21,17
2016-01-22,15
2016-01-23,7
2016-01-24,1
2016-01-25,5
2016-01-26,17
2016-01-27,18
2016-01-28,17
2016-01-29,21
2016-01-30,4
2016-02-01,3
2016-02-02,11
2016-02-03,35
2016-02-04,23
2016-02-05,25
2016-02-06,5
2016-02-08,6
2016-02-09,28
2016-02-10,25
2016-02-11,14
2016-02-12,13
2016-02-13,16
2016-02-14,1
2016-02-15,2
2016-02-16,24
2016-02-17,15
2016-02-18,13
2016-02-19,15
2016-02-20,27
2016-02-22,5
2016-02-23,9
2016-02-24,22
2016-02-25,30
2016-02-26,20
2016-02-27,13
2016-02-28,1
2016-03-01,16
2016-03-02,34
2016-03-03,18
2016-03-04,16
2016-03-05,12
2016-03-07,1
2016-03-08,10
2016-03-09,31
2016-03-10,12
2016-03-11,12
2016-03-12,2
2016-03-14,12
2016-03-15,14
2016-03-16,26
2016-03-17,8
2016-03-18,12
2016-03-19,7
2016-03-22,13
2016-03-23,23
2016-03-24,15
2016-03-25,19
2016-03-26,16
2016-03-28,2
2016-03-29,12
2016-03-30,18
2016-03-31,4
2016-04-01,23
2016-04-02,6
2016-04-04,2
2016-04-05,11
2016-04-06,17
2016-04-07,26
2016-04-08,26
2016-04-09,6
2016-04-12,9
2016-04-13,11
2016-04-14,21
2016-04-15,16
2016-04-16,11
2016-04-18,4
2016-04-19,20
2016-04-20,13
2016-04-21,27
2016-04-22,12
2016-04-23,11
2016-04-25,4
2016-04-26,22
2016-04-27,12
2016-04-28,20
2016-04-29,7
2016-04-30,11
2016-05-02,3
2016-05-03,9
2016-05-06,11
2016-05-07,14
2016-05-09,6
2016-05-10,7
2016-05-11,7
2016-05-12,9
2016-05-13,15
2016-05-14,8
2016-05-16,1
2016-05-17,22
2016-05-18,21
2016-05-19,25
2016-05-20,19
2016-05-21,6
2016-05-23,3
2016-05-24,12
2016-05-25,18
2016-05-26,25
2016-05-27,34
2016-05-28,3
2016-05-30,6
2016-05-31,33
2016-06-01,18
2016-06-02,16
2016-06-03,28
2016-06-04,15
2016-06-06,6
2016-06-07,14
2016-06-08,23
2016-06-09,26
2016-06-10,18
2016-06-11,3
2016-06-12,2
2016-06-13,5
2016-06-14,25
2016-06-15,16
2016-06-16,15
2016-06-17,24
2016-06-18,2
2016-06-19,4
2016-06-20,5
2016-06-21,24
2016-06-22,27
2016-06-23,22
2016-06-24,22
2016-06-25,3
2016-06-26,4
2016-06-27,6
2016-06-28,19
2016-06-29,21
2016-06-30,25
2016-07-01,12
2016-07-02,7
2016-07-04,1
2016-07-05,25
2016-07-06,56
2016-07-07,22
2016-07-08,50
2016-07-09,5
2016-07-10,1
2016-07-11,2
2016-07-12,21
2016-07-13,21
2016-07-14,23
2016-07-15,17
2016-07-16,7
2016-07-19,15
2016-07-20,31
2016-07-21,31
2016-07-22,11
2016-07-23,8
2016-07-25,7
2016-07-26,7
2016-07-27,18
2016-07-28,19
2016-07-29,22
2016-07-30,34
2016-07-31,5
2016-08-01,7
2016-08-02,30
2016-08-03,28
2016-08-04,29
2016-08-05,27
2016-08-06,1
2016-08-07,4
2016-08-08,2
2016-08-09,30
2016-08-10,18
2016-08-11,9
2016-08-12,1
2016-08-13,12
2016-08-16,15
2016-08-17,33
2016-08-18,22
2016-08-19,23
2016-08-20,6
2016-08-22,4
2016-08-23,29
2016-08-24,9
2016-08-25,31
2016-08-26,10
2016-08-27,2
2016-08-29,3
2016-08-30,19
2016-08-31,25
2016-09-01,21
2016-09-02,38
2016-09-03,8
2016-09-05,7
2016-09-06,27
2016-09-07,24
2016-09-08,16
2016-09-09,22
2016-09-10,15
2016-09-11,5
2016-09-12,2
2016-09-13,17
2016-09-14,23
2016-09-15,28
2016-09-16,31
2016-09-17,7
2016-09-20,21
2016-09-21,24
2016-09-23,19
2016-09-24,6
2016-09-26,5
2016-09-27,25
2016-09-28,15
2016-09-29,30
2016-09-30,26
2016-10-01,5
2016-10-03,3
2016-10-04,35
2016-10-05,17
