date,visitors
2016-01-01,62
2016-01-02,37
2016-01-03,34
2016-01-06,20
2016-01-07,16
2016-01-08,13
2016-01-09,29
2016-01-10,32
2016-01-13,14
2016-01-14,19
2016-01-15,23
2016-01-16,15
2016-01-17,28
2016-01-20,12
2016-01-21,11
2016-01-22,17
2016-01-23,20
2016-01-24,16
2016-01-27,17
2016-01-28,20
2016-01-29,5
2016-01-30,18
2016-01-31,27
2016-02-03,20
2016-02-04,16
2016-02-05,19
2016-02-06,16
2016-02-07,20
2016-02-10,25
2016-02-11,18
2016-02-12,19
2016-02-13,19
2016-02-14,18
2016-02-19,21
2016-02-20,12
2016-02-21,25
2016-02-24,1
2016-02-25,1
2016-02-26,16
2016-02-27,23
2016-02-28,25
2016-03-02,14
2016-03-03,16
2016-03-04,18
2016-03-05,23
2016-03-06,16
2016-03-09,7
2016-03-10,16
2016-03-11,16
2016-03-12,23
2016-03-13,35
2016-03-16,25
2016-03-17,25
2016-03-18,15
2016-03-19,79
2016-03-20,19
2016-03-23,21
2016-03-24,12
2016-03-25,14
2016-03-26,21
2016-03-27,56
2016-03-30,16
2016-03-31,16
2016-04-01,12
2016-04-02,22
2016-04-03,34
2016-04-06,23
2016-04-07,9
2016-04-08,20
2016-04-09,28
2016-04-10,26
2016-04-13,12
2016-04-14,16
2016-04-15,15
2016-04-16,23
2016-04-17,97
2016-04-20,14
2016-04-21,8
2016-04-22,11
2016-04-23,8
2016-04-24,17
2016-04-27,17
2016-04-28,11
2016-04-29,97
2016-04-30,21
2016-05-01,28
2016-05-03,14
2016-05-04,25
2016-05-05,16
2016-05-06,11
2016-05-07,17
2016-05-08,16
2016-05-11,14
2016-05-12,10
2016-05-13,17
2016-05-14,18
2016-05-15,18
2016-05-18,21
2016-05-19,21
2016-05-20,26
2016-05-21,18
2016-05-22,17
2016-05-25,14
2016-05-26,13
2016-05-27,18
2016-05-28,26
2016-05-29,112
2016-06-02,13
2016-06-03,18
2016-06-04,22
2016-06-05,12
2016-06-08,12
2016-06-09,13
2016-06-10,9
2016-06-11,17
2016-06-12,17
2016-06-15,15
2016-06-16,8
2016-06-17,16
2016-06-18,12
2016-06-19,17
2016-06-22,14
2016-06-23,10
2016-06-24,17
2016-06-25,13
2016-06-26,15
2016-06-29,16
2016-06-30,18
2016-07-01,10
2016-07-02,28
2016-07-03,14
2016-07-06,9
2016-07-07,12
2016-07-08,16
2016-07-09,8
2016-07-10,7
2016-07-13,13
2016-07-14,13
2016-07-15,11
2016-07-16,12
2016-07-17,58
2016-07-20,14
2016-07-21,10
2016-07-22,13
2016-07-23,9
2016-07-24,16
2016-07-27,12
2016-07-29,17
2016-07-30,9
2016-07-31,10
2016-08-05,13
2016-08-06,2
2016-08-07,14
2016-08-10,10
2016-08-11,13
2016-08-12,13
2016-08-13,7
2016-08-14,8
2016-08-17,12
2016-08-18,16
2016-08-19,13
2016-08-20,37
2016-08-21,16
2016-08-24,12
2016-08-25,6
2016-08-26,12
2016-08-27,11
2016-08-28,11
2016-08-31,13
2016-09-01,4
2016-09-02,7
2016-09-03,12
2016-09-04,14
2016-09-07,6
2016-09-08,9
2016-09-09,9
2016-09-10,12
2016-09-11,18
2016-09-12,1
2016-09-14,9
2016-09-15,10
2016-09-16,11
2016-09-17,61
2016-09-18,6
2016-09-19,72
2016-09-21,8
2016-09-22,14
2016-09-23,9
2016-09-24,18
2016-09-25,93
2016-09-28,10
2016-09-29,9
2016-09-30,13
2016-10-01,19
2016-10-02,11
2016-10-05,19
2016-10-06,11
2016-10-07,14
2016-10-08,17
2016-10-09,22
2016-10-12,12
2016-10-13,11
2016-10-14,18
2016-10-15,16
2016-10-16,17
2016-10-19,16
2016-10-20,16
2016-10-21,13
2016-10-22,11
2016-10-23,136
2016-10-26,15
2016-10-27,11
2016-10-28,10
2016-10-29,93
2016-10-30,109
2016-10-31,76
2016-11-03,94
2016-11-04,21
2016-11-05,77
2016-11-06,16
2016-11-09,24
2016-11-10,11
2016-11-11,12
2016-11-12,18
2016-11-13,100
2016-11-16,12
2016-11-17,16
2016-11-18,9
2016-11-19,17
2016-11-20,114
2016-11-23,14
2016-11-25,10
2016-11-26,10
2016-11-27,10
2016-11-30,14
2016-12-01,14
2016-12-02,9
2016-12-03,18
2016-12-04,89
2016-12-07,11
2016-12-08,7
2016-12-09,18
2016-12-10,19
2016-12-11,12
2016-12-14,19
2016-12-15,9
2016-12-16,14
2016-12-17,16
2016-12-18,128
2016-12-21,14
2016-12-22,10
2016-12-24,14
2016-12-25,17
2016-12-28,15
