date,visitors
2016-01-01,8
2016-01-03,9
2016-01-04,27
2016-01-05,25
2016-01-06,10
2016-01-07,11
2016-01-08,5
2016-01-09,15
2016-01-10,8
2016-01-11,6
2016-01-12,6
2016-01-13,9
2016-01-14,7
2016-01-15,4
2016-01-16,16
2016-01-17,14
2016-01-18,9
2016-01-19,13
2016-01-20,4
2016-01-21,9
2016-01-22,12
2016-01-23,16
2016-01-24,16
2016-01-25,21
2016-01-26,2
2016-01-27,18
2016-01-28,10
2016-01-29,10
2016-01-30,20
2016-01-31,18
2016-02-01,10
2016-02-02,12
2016-02-03,18
2016-02-04,12
2016-02-05,10
2016-02-06,11
2016-02-07,18
2016-02-08,11
2016-02-09,5
2016-02-10,15
2016-02-11,14
2016-02-12,12
2016-02-13,15
2016-02-14,9
2016-02-15,20
2016-02-16,12
2016-02-17,4
2016-02-19,11
2016-02-20,9
2016-02-21,16
2016-02-22,11
2016-02-23,7
2016-02-24,15
2016-02-25,5
2016-02-26,12
2016-02-27,11
2016-02-28,12
2016-02-29,12
2016-03-01,16
2016-03-02,9
2016-03-03,9
2016-03-04,6
2016-03-05,10
2016-03-06,26
2016-03-07,1
2016-03-08,22
2016-03-09,8
2016-03-10,15
2016-03-11,3
2016-03-12,8
2016-03-13,4
2016-03-14,2
2016-03-15,8
2016-03-16,14
2016-03-17,13
2016-03-18,10
2016-03-19,12
2016-03-20,9
2016-03-21,9
2016-03-22,9
2016-03-23,14
2016-03-24,5
2016-03-25,5
2016-03-26,22
2016-03-27,7
2016-03-28,5
2016-03-29,23
2016-03-30,4
2016-03-31,15
2016-04-01,7
2016-04-02,8
2016-04-03,13
2016-04-04,9
2016-04-05,8
2016-04-06,14
2016-04-07,9
2016-04-08,5
2016-04-09,18
2016-04-10,16
2016-04-11,6
2016-04-12,17
2016-04-13,8
2016-04-14,13
2016-04-15,17
2016-04-16,15
2016-04-17,14
2016-04-18,4
2016-04-19,19
2016-04-20,14
2016-04-21,7
2016-04-22,11
2016-04-23,16
2016-04-24,16
2016-04-25,2
2016-04-26,33
2016-04-27,4
2016-04-28,14
2016-04-29,6
2016-04-30,6
2016-05-01,7
2016-05-02,22
2016-05-03,15
2016-05-04,12
2016-05-05,22
2016-05-06,1
2016-05-07,14
2016-05-08,14
2016-05-09,4
2016-05-10,2
2016-05-11,3
2016-05-12,12
2016-05-13,6
2016-05-14,17
2016-05-15,22
2016-05-16,12
2016-05-17,7
2016-05-18,21
2016-05-19,13
2016-05-20,17
2016-05-21,15
2016-05-22,10
2016-05-23,3
2016-05-24,14
2016-05-25,11
2016-05-26,21
2016-05-27,1
2016-05-28,23
2016-05-29,12
2016-05-30,10
2016-05-31,8
2016-06-01,13
2016-06-02,21
2016-06-03,2
2016-06-04,18
2016-06-05,13
2016-06-06,4
2016-06-07,7
2016-06-08,8
2016-06-09,13
2016-06-10,11
2016-06-11,9
2016-06-12,11
2016-06-13,13
2016-06-14,19
2016-06-15,17
2016-06-16,16
2016-06-17,8
2016-06-18,32
2016-06-19,26
2016-06-20,3
2016-06-21,18
2016-06-22,10
2016-06-23,4
2016-06-24,2
2016-06-25,22
2016-06-26,12
2016-06-27,10
2016-06-28,19
2016-06-29,11
2016-06-30,19
2016-07-01,8
2016-07-02,23
2016-07-03,18
2016-07-04,3
2016-07-05,9
2016-07-06,7
2016-07-07,11
2016-07-08,6
2016-07-09,14
2016-07-10,17
2016-07-11,7
2016-07-12,15
2016-07-13,7
2016-07-14,4
2016-07-15,8
2016-07-16,22
2016-07-17,14
2016-07-18,7
2016-07-19,7
2016-07-20,12
2016-07-21,7
2016-07-22,14
2016-07-23,12
2016-07-24,11
2016-07-25,9
2016-07-26,10
2016-07-27,3
2016-07-28,4
2016-07-29,12
2016-07-30,9
2016-07-31,2
2016-08-01,7
2016-08-02,14
2016-08-03,10
2016-08-04,9
2016-08-05,3
2016-08-06,15
2016-08-07,5
2016-08-08,10
2016-08-09,7
2016-08-10,10
2016-08-11,6
2016-08-12,11
2016-08-13,8
2016-08-14,5
2016-08-15,11
2016-08-16,7
2016-08-17,11
2016-08-18,11
2016-08-19,6
2016-08-20,11
2016-08-21,20
2016-08-22,8
2016-08-23,16
2016-08-24,7
2016-08-25,18
2016-08-26,15
2016-08-27,15
2016-08-28,19
2016-08-29,13
2016-08-30,11
2016-08-31,9
2016-09-01,6
2016-09-02,7
2016-09-03,11
2016-09-04,22
2016-09-05,11
2016-09-06,8
2016-09-07,11
2016-09-08,2
2016-09-09,9
2016-09-10,12
2016-09-11,10
2016-09-12,9
2016-09-13,32
2016-09-14,10
2016-09-15,10
2016-09-16,16
2016-09-17,13
2016-09-18,21
2016-09-19,9
2016-09-20,11
2016-09-21,14
2016-09-22,8
2016-09-23,7
2016-09-24,11
2016-09-25,9
2016-09-26,6
2016-09-27,13
2016-09-28,10
2016-09-29,13
2016-09-30,6
2016-10-01,16
2016-10-02,10
2016-10-03,6
2016-10-04,4
2016-10-05,11
2016-10-06,8
2016-10-07,5
2016-10-08,9
2016-10-09,16
2016-10-10,13
2016-10-11,11
2016-10-12,6
2016-10-13,5
2016-10-14,10
2016-10-15,3
2016-10-16,10
2016-10-17,11
2016-10-18,11
2016-10-19,4
2016-10-20,15
2016-10-21,9
2016-10-22,10
2016-10-23,8
2016-10-24,6
2016-10-25,13
2016-10-26,6
2016-10-27,16
2016-10-28,6
2016-10-29,13
2016-10-30,7
2016-10-31,8
2016-11-01,12
2016-11-02,9
2016-11-03,7
2016-11-04,14
2016-11-05,12
2016-11-06,3
2016-11-07,7
2016-11-08,11
2016-11-09,8
2016-11-10,12
2016-11-11,10
2016-11-12,9
2016-11-13,15
2016-11-14,7
2016-11-15,15
2016-11-16,3
2016-11-17,9
2016-11-18,2
2016-11-19,13
2016-11-20,12
2016-11-21,2
2016-11-22,14
2016-11-23,9
2016-11-24,2
2016-11-25,9
2016-11-26,6
2016-11-27,10
2016-11-28,2
2016-11-29,9
2016-11-30,14
2016-12-01,8
2016-12-02,10
2016-12-03,11
2016-12-04,12
2016-12-05,3
2016-12-06,12
2016-12-07,10
2016-12-08,7
2016-12-09,8
2016-12-10,11
2016-12-11,14
2016-12-12,1
2016-12-13,10
2016-12-14,8
2016-12-15,1
2016-12-16,11
2016-12-17,19
2016-12-18,10
2016-12-20,7
2016-12-21,7
2016-12-22,7
2016-12-23,6
2016-12-24,7
2016-12-25,6
2016-12-26,6
