date,visitors
2016-01-05,7
2016-01-06,13
2016-01-07,9
2016-01-08,4
2016-01-09,18
2016-01-10,13
2016-01-12,2
2016-01-13,5
2016-01-14,9
2016-01-15,15
2016-01-16,8
2016-01-17,7
2016-01-18,3
2016-01-19,8
2016-01-20,24
2016-01-21,3
2016-01-22,8
2016-01-23,14
2016-01-24,10
2016-01-26,4
2016-01-27,10
2016-01-28,19
2016-01-29,8
2016-01-30,20
2016-01-31,11
2016-02-01,3
2016-02-02,11
2016-02-03,6
2016-02-04,16
2016-02-05,10
2016-02-06,12
2016-02-07,4
2016-02-08,3
2016-02-09,6
2016-02-10,10
2016-02-11,8
2016-02-12,5
2016-02-13,12
2016-02-14,9
2016-02-15,9
2016-02-16,18
2016-02-17,16
2016-02-18,9
2016-02-23,3
2016-02-24,4
2016-02-25,4
2016-02-26,7
2016-02-27,9
2016-02-28,2
2016-02-29,2
2016-03-01,34
2016-03-02,7
2016-03-03,7
2016-03-04,12
2016-03-05,7
2016-03-06,6
2016-03-07,6
2016-03-08,9
2016-03-09,4
2016-03-10,10
2016-03-11,7
2016-03-12,5
2016-03-13,6
2016-03-14,7
2016-03-15,7
2016-03-16,10
2016-03-17,12
2016-03-18,12
2016-03-19,15
2016-03-20,11
2016-03-22,5
2016-03-23,13
2016-03-24,16
2016-03-25,15
2016-03-26,15
2016-03-27,9
2016-03-28,4
2016-03-29,12
2016-03-30,15
2016-03-31,17
2016-04-01,14
2016-04-02,10
2016-04-04,11
2016-04-05,7
2016-04-06,10
2016-04-07,8
2016-04-08,14
2016-04-09,5
2016-04-10,5
2016-04-11,1
2016-04-12,10
2016-04-13,13
2016-04-14,2
2016-04-15,9
2016-04-16,14
2016-04-17,2
2016-04-18,3
2016-04-19,8
2016-04-20,2
2016-04-21,6
2016-04-22,7
2016-04-23,15
2016-04-24,1
2016-04-25,13
2016-04-26,5
2016-04-27,8
2016-04-28,16
2016-04-29,8
2016-04-30,4
2016-05-01,3
2016-05-02,4
2016-05-03,7
2016-05-06,2
2016-05-07,6
2016-05-08,8
2016-05-09,3
2016-05-10,7
2016-05-11,4
2016-05-12,7
2016-05-13,8
2016-05-14,9
2016-05-15,5
2016-05-16,2
2016-05-17,4
2016-05-18,9
2016-05-19,7
2016-05-20,6
2016-05-21,3
2016-05-22,4
2016-05-23,1
2016-05-24,6
2016-05-25,8
2016-05-26,5
2016-05-27,4
2016-05-28,9
2016-05-29,4
2016-05-30,2
2016-05-31,3
2016-06-01,3
2016-06-02,6
2016-06-03,3
2016-06-04,5
2016-06-06,2
2016-06-07,3
2016-06-08,4
2016-06-09,9
2016-06-10,7
2016-06-11,8
2016-06-12,1
2016-06-13,3
2016-06-14,4
2016-06-15,3
2016-06-16,4
2016-06-17,5
2016-06-18,13
2016-06-19,1
2016-06-20,2
2016-06-21,6
2016-06-22,6
2016-06-23,4
2016-06-24,5
2016-06-25,9
2016-06-26,6
2016-06-27,6
2016-06-28,6
2016-06-29,2
2016-06-30,7
2016-07-01,6
2016-07-02,7
2016-07-03,3
2016-07-04,2
2016-07-05,6
2016-07-06,6
2016-07-07,7
2016-07-08,11
2016-07-09,6
