date,visitors
2016-07-01,16
2016-07-02,10
2016-07-03,10
2016-07-04,2
2016-07-05,14
2016-07-06,9
2016-07-07,4
2016-07-08,15
2016-07-09,12
2016-07-10,10
2016-07-11,11
2016-07-12,4
2016-07-13,14
2016-07-14,9
2016-07-15,8
2016-07-16,16
2016-07-17,12
2016-07-19,7
2016-07-20,14
2016-07-21,10
2016-07-22,8
2016-07-23,15
2016-07-24,13
2016-07-25,1
2016-07-26,3
2016-07-27,14
2016-07-28,9
2016-07-29,11
2016-07-30,4
2016-07-31,19
2016-08-01,4
2016-08-02,12
2016-08-03,6
2016-08-04,4
2016-08-05,14
2016-08-06,10
2016-08-07,15
2016-08-08,11
2016-08-09,12
2016-08-10,17
2016-08-11,8
2016-08-12,11
2016-08-13,10
2016-08-14,5
2016-08-15,11
2016-08-16,6
2016-08-17,16
2016-08-18,6
2016-08-19,12
2016-08-20,10
2016-08-21,9
2016-08-22,2
2016-08-23,4
2016-08-24,20
2016-08-25,17
2016-08-26,10
2016-08-27,18
2016-08-28,7
2016-08-29,2
2016-08-30,12
2016-08-31,10
2016-09-01,10
2016-09-02,14
2016-09-03,14
2016-09-04,10
2016-09-05,2
2016-09-06,10
2016-09-07,12
2016-09-08,13
2016-09-09,8
2016-09-10,16
2016-09-11,10
2016-09-12,16
2016-09-13,9
2016-09-14,6
2016-09-15,13
2016-09-16,12
2016-09-17,12
2016-09-18,6
2016-09-19,19
2016-09-21,19
2016-09-23,8
2016-09-24,26
2016-09-25,2
2016-09-26,15
2016-09-28,10
2016-09-29,9
2016-09-30,7
2016-10-01,12
2016-10-02,14
2016-10-03,9
2016-10-04,9
2016-10-05,6
2016-10-06,11
2016-10-07,14
2016-10-08,14
2016-10-09,16
2016-10-10,23
2016-10-12,3
2016-10-13,6
2016-10-14,6
2016-10-15,15
2016-10-16,13
2016-10-17,8
2016-10-18,9
2016-10-19,12
2016-10-20,11
2016-10-21,10
2016-10-22,13
2016-10-23,14
2016-10-24,14
2016-10-25,10
2016-10-26,9
2016-10-27,12
2016-10-28,16
2016-10-29,13
2016-10-30,10
2016-10-31,22
2016-11-01,10
2016-11-03,24
2016-11-05,15
2016-11-06,13
2016-11-08,2
2016-11-09,4
2016-11-10,8
2016-11-11,15
2016-11-12,14
2016-11-13,14
2016-11-14,10
2016-11-15,5
2016-11-16,15
2016-11-18,13
2016-11-19,15
2016-11-20,15
2016-11-21,13
2016-11-22,12
2016-11-23,14
2016-11-24,10
2016-11-25,14
2016-11-26,16
2016-11-27,14
2016-11-28,10
2016-11-29,11
2016-11-30,9
2016-12-01,17
2016-12-03,15
2016-12-04,16
2016-12-05,14
2016-12-06,14
2016-12-07,14
2016-12-08,14
2016-12-09,14
2016-12-10,16
2016-12-11,18
2016-12-12,13
2016-12-13,15
2016-12-14,14
2016-12-15,15
2016-12-16,16
2016-12-17,17
2016-12-18,19
2016-12-19,17
2016-12-20,15
2016-12-21,16
2016-12-22,19
2016-12-23,17
2016-12-24,23
2016-12-25,24
2016-12-26,22
2016-12-27,18
2016-12-28,15
2016-12-29,17
2016-12-30,18
2017-01-06,7
2017-01-07,18
2017-01-08,10
2017-01-09,29
2017-01-11,6
2017-01-12,10
2017-01-13,14
2017-01-14,18
2017-01-15,11
2017-01-16,15
2017-01-17,11
2017-01-18,3
2017-01-19,13
2017-01-20,13
2017-01-21,20
2017-01-22,9
2017-01-23,14
2017-01-24,13
2017-01-25,10
2017-01-26,11
2017-01-27,12
2017-01-28,16
2017-01-29,24
2017-01-31,7
2017-02-01,15
2017-02-02,8
2017-02-03,12
2017-02-04,12
2017-02-05,17
2017-02-06,10
2017-02-07,10
2017-02-08,10
2017-02-09,11
2017-02-10,10
2017-02-11,14
2017-02-12,22
2017-02-14,15
2017-02-15,12
2017-02-16,10
2017-02-17,12
2017-02-18,15
2017-02-19,24
2017-02-21,13
2017-02-22,8
