date,visitors
2016-07-01,18
2016-07-02,35
2016-07-03,16
2016-07-05,14
2016-07-06,18
2016-07-07,24
2016-07-08,16
2016-07-09,24
2016-07-10,11
2016-07-12,19
2016-07-13,12
2016-07-14,22
2016-07-15,16
2016-07-16,12
2016-07-19,17
2016-07-20,27
2016-07-21,22
2016-07-22,17
2016-07-23,26
2016-07-24,13
2016-07-26,34
2016-07-27,14
2016-07-28,13
2016-07-29,20
2016-07-30,24
2016-07-31,19
2016-08-02,26
2016-08-03,11
2016-08-04,19
2016-08-05,3
2016-08-06,23
2016-08-09,24
2016-08-10,27
2016-08-11,16
2016-08-12,27
2016-08-13,20
2016-08-14,13
2016-08-15,35
2016-08-16,26
2016-08-17,23
2016-08-18,17
2016-08-19,26
2016-08-20,39
2016-08-21,32
2016-08-24,10
2016-08-25,26
2016-08-26,17
2016-08-27,44
2016-08-28,19
2016-08-30,33
2016-08-31,30
2016-09-01,20
2016-09-02,21
2016-09-03,16
2016-09-04,20
2016-09-06,14
2016-09-07,23
2016-09-08,16
2016-09-09,17
2016-09-10,28
2016-09-11,10
2016-09-13,10
2016-09-14,8
2016-09-15,18
2016-09-16,7
2016-09-17,9
2016-09-18,3
2016-09-20,2
2016-09-21,17
2016-09-22,14
2016-09-23,28
2016-09-24,25
2016-09-25,31
2016-09-27,22
2016-09-28,9
2016-09-29,22
2016-09-30,15
2016-10-01,16
2016-10-02,24
2016-10-04,12
2016-10-05,19
2016-10-06,21
2016-10-07,16
2016-10-08,21
2016-10-09,17
2016-10-10,4
2016-10-11,8
2016-10-12,24
2016-10-13,10
2016-10-14,34
2016-10-15,19
2016-10-16,14
2016-10-18,22
2016-10-19,16
2016-10-20,11
2016-10-21,19
2016-10-22,13
2016-10-23,25
2016-10-25,21
2016-10-26,23
2016-10-27,23
2016-10-28,25
2016-10-29,29
2016-10-30,41
2016-11-01,18
2016-11-02,18
2016-11-03,16
2016-11-04,9
2016-11-05,41
2016-11-06,9
2016-11-08,10
2016-11-09,18
2016-11-10,21
2016-11-11,30
2016-11-12,31
2016-11-13,18
2016-11-15,23
2016-11-16,19
2016-11-17,35
2016-11-18,25
2016-11-19,29
2016-11-22,11
2016-11-23,30
2016-11-24,21
2016-11-25,19
2016-11-26,35
2016-11-27,21
2016-11-29,10
2016-11-30,26
2016-12-01,20
2016-12-02,13
2016-12-03,16
2016-12-04,15
2016-12-06,19
2016-12-07,29
2016-12-08,19
2016-12-09,21
2016-12-10,36
2016-12-11,24
2016-12-13,33
2016-12-14,22
2016-12-15,27
2016-12-16,36
2016-12-17,23
2016-12-18,16
2016-12-20,5
2016-12-21,29
2016-12-22,31
2016-12-23,28
2016-12-24,42
2016-12-25,40
2016-12-27,15
2016-12-28,30
2016-12-29,25
2016-12-30,20
2016-12-31,7
2017-01-05,46
2017-01-06,21
2017-01-07,21
2017-01-08,17
2017-01-09,5
2017-01-10,14
2017-01-11,20
2017-01-12,23
2017-01-13,11
2017-01-14,13
2017-01-15,1
2017-01-16,15
2017-01-17,17
2017-01-18,20
2017-01-19,14
2017-01-20,27
2017-01-21,38
2017-01-22,11
2017-01-24,19
2017-01-25,18
2017-01-26,9
2017-01-27,33
2017-01-28,23
2017-01-29,21
2017-01-30,8
2017-01-31,44
2017-02-01,31
2017-02-02,15
2017-02-03,9
2017-02-04,27
2017-02-05,11
2017-02-07,17
2017-02-08,18
2017-02-09,8
2017-02-10,23
2017-02-11,29
2017-02-12,26
2017-02-13,18
2017-02-14,34
2017-02-15,18
2017-02-16,23
2017-02-17,23
2017-02-18,23
2017-02-19,14
2017-02-21,28
2017-02-22,24
