date,visitors
2016-07-01,23
2016-07-02,11
2016-07-04,8
2016-07-05,12
2016-07-06,14
2016-07-07,8
2016-07-08,18
2016-07-09,14
2016-07-11,11
2016-07-12,19
2016-07-13,13
2016-07-14,13
2016-07-15,14
2016-07-16,19
2016-07-17,6
2016-07-18,12
2016-07-19,14
2016-07-20,8
2016-07-21,16
2016-07-22,11
2016-07-23,15
2016-07-24,6
2016-07-25,7
2016-07-26,15
2016-07-27,14
2016-07-28,21
2016-07-29,27
2016-07-30,9
2016-07-31,6
2016-08-01,8
2016-08-02,17
2016-08-03,11
2016-08-04,20
2016-08-05,16
2016-08-06,24
2016-08-08,7
2016-08-09,20
2016-08-10,15
2016-08-11,15
2016-08-12,9
2016-08-13,5
2016-08-17,10
2016-08-18,16
2016-08-19,20
2016-08-20,10
2016-08-22,5
2016-08-23,17
2016-08-24,11
2016-08-25,14
2016-08-26,20
2016-08-27,19
2016-08-28,4
2016-08-29,8
2016-08-30,13
2016-08-31,13
2016-09-01,13
2016-09-02,15
2016-09-03,19
2016-09-04,3
2016-09-05,7
2016-09-06,15
2016-09-07,13
2016-09-08,18
2016-09-09,15
2016-09-10,14
2016-09-11,4
2016-09-12,10
2016-09-13,15
2016-09-14,13
2016-09-15,9
2016-09-16,16
2016-09-17,15
2016-09-19,7
2016-09-20,8
2016-09-21,8
2016-09-22,8
2016-09-23,13
2016-09-24,7
2016-09-25,1
2016-09-26,8
2016-09-27,10
2016-09-28,10
2016-09-29,16
2016-09-30,14
2016-10-01,18
2016-10-02,3
2016-10-03,8
2016-10-04,13
2016-10-05,11
2016-10-06,14
2016-10-07,11
2016-10-08,12
2016-10-09,2
2016-10-10,11
2016-10-11,8
2016-10-12,7
2016-10-13,14
2016-10-14,16
2016-10-17,5
2016-10-18,12
2016-10-19,19
2016-10-20,8
2016-10-21,19
2016-10-22,11
2016-10-23,3
2016-10-24,13
2016-10-25,12
2016-10-26,13
2016-10-27,13
2016-10-28,8
2016-10-29,6
2016-10-30,25
2016-10-31,10
2016-11-01,11
2016-11-02,11
2016-11-03,11
2016-11-04,1
2016-11-05,30
2016-11-07,5
2016-11-08,11
2016-11-09,13
2016-11-10,10
2016-11-11,12
2016-11-12,14
2016-11-13,4
2016-11-14,6
2016-11-15,16
2016-11-16,9
2016-11-17,16
2016-11-18,12
2016-11-19,8
2016-11-20,16
2016-11-21,2
2016-11-22,12
2016-11-23,10
2016-11-24,10
2016-11-25,15
2016-11-26,21
2016-11-27,2
2016-11-28,7
2016-11-29,5
2016-11-30,20
2016-12-01,20
2016-12-02,10
2016-12-03,7
2016-12-04,4
2016-12-05,8
2016-12-06,9
2016-12-07,8
2016-12-08,15
2016-12-09,3
2016-12-10,32
2016-12-11,2
2016-12-12,7
2016-12-13,8
2016-12-14,9
2016-12-15,22
2016-12-16,8
2016-12-17,18
2016-12-18,3
2016-12-19,7
2016-12-20,9
2016-12-21,14
2016-12-22,17
2016-12-23,21
2016-12-24,3
2016-12-25,3
2016-12-26,10
2016-12-27,3
2016-12-28,31
2016-12-29,4
2016-12-30,11
2016-12-31,7
2017-01-01,6
2017-01-03,14
2017-01-04,7
2017-01-05,6
2017-01-06,13
2017-01-07,14
2017-01-08,1
2017-01-09,6
2017-01-10,7
2017-01-11,12
2017-01-12,12
2017-01-13,10
2017-01-14,21
2017-01-16,7
2017-01-17,12
2017-01-18,12
2017-01-19,8
2017-01-20,9
2017-01-21,6
2017-01-22,1
2017-01-23,10
2017-01-25,12
2017-01-26,10
2017-01-27,11
2017-01-28,13
2017-01-29,2
2017-01-30,12
2017-01-31,10
2017-02-01,9
2017-02-02,12
2017-02-03,14
2017-02-04,12
2017-02-05,3
2017-02-06,8
2017-02-07,10
2017-02-08,15
2017-02-09,12
2017-02-10,6
2017-02-11,12
2017-02-12,4
2017-02-13,5
2017-02-14,12
2017-02-15,7
2017-02-16,11
2017-02-17,14
2017-02-18,11
2017-02-19,6
2017-02-20,13
2017-02-21,14
2017-02-22,13
