date,visitors
2016-07-01,26
2016-07-02,44
2016-07-03,38
2016-07-04,26
2016-07-06,17
2016-07-07,19
2016-07-08,10
2016-07-09,27
2016-07-10,35
2016-07-11,19
2016-07-13,17
2016-07-14,27
2016-07-15,22
2016-07-16,40
2016-07-17,45
2016-07-18,26
2016-07-20,20
2016-07-21,41
2016-07-22,15
2016-07-23,21
2016-07-24,31
2016-07-25,12
2016-07-27,25
2016-07-28,39
2016-07-29,24
2016-07-30,27
2016-07-31,22
2016-08-01,7
2016-08-03,24
2016-08-04,25
2016-08-05,32
2016-08-06,43
2016-08-07,21
2016-08-08,16
2016-08-10,23
2016-08-11,25
2016-08-12,18
2016-08-13,18
2016-08-14,23
2016-08-15,1
2016-08-17,17
2016-08-18,44
2016-08-19,8
2016-08-20,12
2016-08-21,44
2016-08-22,17
2016-08-23,1
2016-08-24,24
2016-08-25,30
2016-08-26,8
2016-08-27,28
2016-08-28,26
2016-08-29,8
2016-08-31,18
2016-09-01,21
2016-09-02,17
2016-09-03,41
2016-09-04,32
2016-09-05,31
2016-09-07,15
2016-09-08,24
2016-09-09,10
2016-09-10,34
2016-09-11,27
2016-09-12,14
2016-09-14,11
2016-09-15,30
2016-09-16,21
2016-09-17,26
2016-09-18,19
2016-09-19,11
2016-09-21,22
2016-09-22,35
2016-09-23,14
2016-09-24,42
2016-09-25,31
2016-09-26,22
2016-09-29,24
2016-09-30,15
2016-10-01,32
2016-10-02,26
2016-10-03,11
2016-10-06,25
2016-10-07,15
2016-10-08,44
2016-10-09,29
2016-10-10,26
2016-10-11,1
2016-10-13,40
2016-10-14,12
2016-10-15,44
2016-10-16,45
2016-10-17,16
2016-10-20,42
2016-10-21,22
2016-10-22,49
2016-10-23,45
2016-10-24,16
2016-10-27,37
2016-10-28,18
2016-10-29,28
2016-10-30,41
2016-10-31,19
2016-11-01,1
2016-11-02,26
2016-11-03,50
2016-11-04,20
2016-11-05,44
2016-11-06,35
2016-11-07,18
2016-11-09,14
2016-11-10,41
2016-11-11,16
2016-11-12,46
2016-11-13,33
2016-11-14,25
2016-11-17,36
2016-11-18,30
2016-11-19,30
2016-11-20,44
2016-11-21,28
2016-11-23,3
2016-11-24,27
2016-11-25,15
2016-11-26,41
2016-11-27,26
2016-11-28,25
2016-12-01,43
2016-12-02,24
2016-12-03,20
2016-12-04,25
2016-12-05,30
2016-12-08,35
2016-12-09,20
2016-12-10,40
2016-12-11,43
2016-12-12,19
2016-12-15,37
2016-12-16,19
2016-12-17,38
2016-12-18,50
2016-12-19,12
2016-12-22,28
2016-12-23,45
2016-12-24,27
2016-12-25,32
2016-12-26,19
2016-12-29,9
2016-12-30,2
2017-01-03,6
2017-01-04,6
2017-01-05,42
2017-01-06,16
2017-01-07,39
2017-01-08,23
2017-01-09,27
2017-01-11,10
2017-01-12,33
2017-01-13,23
2017-01-14,32
2017-01-15,29
2017-01-16,9
2017-01-18,20
2017-01-19,40
2017-01-20,20
2017-01-21,29
2017-01-22,36
2017-01-23,6
2017-01-25,36
2017-01-26,46
2017-01-27,26
2017-01-28,59
2017-01-29,42
2017-01-30,23
2017-02-01,36
2017-02-02,26
2017-02-03,24
2017-02-04,35
2017-02-05,39
2017-02-06,12
2017-02-08,25
2017-02-09,27
2017-02-10,28
2017-02-11,25
2017-02-12,54
2017-02-13,23
2017-02-15,32
2017-02-16,40
2017-02-17,29
2017-02-18,48
2017-02-19,37
2017-02-20,12
2017-02-22,18
2017-02-23,34
2017-02-24,25
