date,visitors
2016-07-01,29
2016-07-04,8
2016-07-05,17
2016-07-06,15
2016-07-07,31
2016-07-08,22
2016-07-11,19
2016-07-12,25
2016-07-13,22
2016-07-14,13
2016-07-15,27
2016-07-19,8
2016-07-20,11
2016-07-21,8
2016-07-22,24
2016-07-25,18
2016-07-26,22
2016-07-27,17
2016-07-28,15
2016-07-29,14
2016-08-01,12
2016-08-02,11
2016-08-03,22
2016-08-04,11
2016-08-05,22
2016-08-08,25
2016-08-09,22
2016-08-10,23
2016-08-12,21
2016-08-17,13
2016-08-18,11
2016-08-19,27
2016-08-23,19
2016-08-24,28
2016-08-25,24
2016-08-26,27
2016-08-29,14
2016-08-30,18
2016-08-31,26
2016-09-01,30
2016-09-02,20
2016-09-05,22
2016-09-06,4
2016-09-07,10
2016-09-08,11
2016-09-09,30
2016-09-12,17
2016-09-13,7
2016-09-14,22
2016-09-15,8
2016-09-16,17
2016-09-20,7
2016-09-21,17
2016-09-23,15
2016-09-26,11
2016-09-27,14
2016-09-28,16
2016-09-29,19
2016-09-30,26
2016-10-03,22
2016-10-04,14
2016-10-05,17
2016-10-06,25
2016-10-07,28
2016-10-11,3
2016-10-12,23
2016-10-13,21
2016-10-14,28
2016-10-17,14
2016-10-18,16
2016-10-19,27
2016-10-20,5
2016-10-21,23
2016-10-24,22
2016-10-25,24
2016-10-26,29
2016-10-27,34
