date,visitors
2016-07-01,10
2016-07-02,1
2016-07-04,8
2016-07-05,4
2016-07-07,9
2016-07-08,15
2016-07-09,4
2016-07-12,12
2016-07-13,17
2016-07-14,1
2016-07-15,4
2016-07-16,6
2016-07-17,6
2016-07-19,4
2016-07-20,5
2016-07-21,7
2016-07-22,18
2016-07-23,14
2016-07-25,4
2016-07-26,9
2016-07-27,7
2016-07-28,9
2016-07-29,8
2016-07-30,9
2016-08-01,9
2016-08-02,6
2016-08-03,13
2016-08-04,15
2016-08-05,18
2016-08-06,5
2016-08-08,7
2016-08-09,4
2016-08-10,7
2016-08-11,10
2016-08-16,3
2016-08-17,7
2016-08-18,4
2016-08-19,18
2016-08-20,1
2016-08-22,3
2016-08-23,15
2016-08-24,12
2016-08-25,7
2016-08-26,12
2016-08-27,13
2016-08-29,7
2016-08-30,8
2016-08-31,4
2016-09-01,2
2016-09-02,19
2016-09-05,2
2016-09-06,7
2016-09-08,16
2016-09-09,4
2016-09-12,12
2016-09-13,11
2016-09-14,17
2016-09-15,13
2016-09-16,2
2016-09-20,5
2016-09-21,8
2016-09-23,15
2016-09-27,4
2016-09-28,5
2016-09-29,6
2016-09-30,20
2016-10-01,2
2016-10-03,3
2016-10-06,9
2016-10-07,2
2016-10-08,18
2016-10-09,11
2016-10-11,4
2016-10-12,14
2016-10-13,12
2016-10-14,12
2016-10-15,8
2016-10-17,5
2016-10-18,6
2016-10-19,4
2016-10-20,19
2016-10-21,7
2016-10-22,9
2016-10-24,11
2016-10-25,3
2016-10-26,5
2016-10-27,17
2016-10-28,14
2016-10-29,6
2016-10-30,13
2016-10-31,6
2016-11-01,15
2016-11-02,8
2016-11-04,13
2016-11-05,10
2016-11-07,14
2016-11-09,21
2016-11-10,12
2016-11-11,6
2016-11-12,10
2016-11-14,13
2016-11-15,12
2016-11-16,5
2016-11-17,4
2016-11-18,17
2016-11-19,10
2016-11-21,1
2016-11-22,12
2016-11-25,21
2016-11-28,17
2016-11-29,11
2016-12-01,16
2016-12-02,14
2016-12-03,4
2016-12-04,14
2016-12-05,9
2016-12-06,10
2016-12-07,14
2016-12-08,29
2016-12-09,16
2016-12-10,11
2016-12-12,19
2016-12-13,1
2016-12-14,9
2016-12-15,17
2016-12-16,17
2016-12-17,14
2016-12-19,8
2016-12-20,5
2016-12-21,15
2016-12-22,22
2016-12-26,14
2016-12-27,14
2016-12-28,26
2016-12-29,16
2017-01-05,12
2017-01-07,10
2017-01-09,7
2017-01-10,4
2017-01-11,1
2017-01-12,4
2017-01-13,19
2017-01-14,23
2017-01-16,11
2017-01-17,5
2017-01-18,3
2017-01-19,11
2017-01-20,26
2017-01-21,5
2017-01-24,7
2017-01-26,15
2017-01-27,11
2017-01-28,12
2017-01-30,1
2017-01-31,5
2017-02-01,8
2017-02-02,12
2017-02-03,18
2017-02-04,7
2017-02-06,1
2017-02-07,8
2017-02-08,11
2017-02-09,13
2017-02-10,15
2017-02-11,12
2017-02-13,10
2017-02-15,16
2017-02-17,16
2017-02-18,3
2017-02-20,15
