date,visitors
2016-07-01,11
2016-07-02,7
2016-07-03,16
2016-07-04,13
2016-07-05,16
2016-07-06,10
2016-07-07,10
2016-07-08,11
2016-07-09,13
2016-07-10,16
2016-07-11,9
2016-07-12,12
2016-07-13,12
2016-07-14,11
2016-07-15,10
2016-07-16,9
2016-07-17,9
2016-07-18,13
2016-07-19,13
2016-07-20,19
2016-07-21,7
2016-07-22,5
2016-07-23,10
2016-07-24,13
2016-07-25,8
2016-07-26,18
2016-07-27,10
2016-07-28,11
2016-07-29,7
2016-07-30,8
2016-07-31,12
2016-08-01,12
2016-08-02,17
2016-08-03,8
2016-08-04,6
2016-08-05,8
2016-08-06,14
2016-08-07,11
2016-08-08,11
2016-08-09,17
2016-08-10,11
2016-08-11,6
2016-08-12,7
2016-08-13,11
2016-08-14,5
2016-08-15,6
2016-08-16,19
2016-08-17,12
2016-08-18,8
2016-08-19,6
2016-08-20,8
2016-08-21,13
2016-08-23,17
2016-08-24,11
2016-08-25,16
2016-08-26,21
2016-08-27,11
2016-08-28,14
2016-08-29,11
2016-08-30,12
2016-08-31,12
2016-09-01,11
2016-09-02,11
2016-09-03,12
2016-09-04,14
2016-09-05,11
2016-09-06,19
2016-09-07,12
2016-09-08,7
2016-09-09,11
2016-09-10,9
2016-09-11,17
2016-09-12,15
2016-09-13,14
2016-09-14,22
2016-09-15,16
2016-09-16,8
2016-09-17,9
2016-09-18,23
2016-09-19,10
2016-09-20,14
2016-09-21,11
2016-09-22,10
2016-09-23,8
2016-09-24,16
2016-09-25,12
2016-09-26,9
2016-09-27,18
2016-09-28,8
2016-09-29,8
2016-09-30,9
2016-10-01,11
2016-10-02,16
2016-10-03,10
2016-10-04,12
2016-10-05,10
2016-10-06,12
2016-10-07,12
2016-10-08,6
2016-10-09,19
2016-10-10,13
2016-10-11,27
2016-10-12,18
2016-10-13,5
2016-10-14,7
2016-10-15,12
2016-10-16,19
2016-10-17,7
2016-10-18,21
2016-10-19,11
2016-10-20,11
2016-10-21,9
2016-10-22,18
2016-10-23,16
2016-10-24,10
2016-10-25,13
2016-10-26,15
2016-10-27,13
2016-10-28,9
2016-10-29,5
2016-10-30,22
2016-10-31,12
2016-11-01,25
2016-11-02,17
2016-11-03,6
2016-11-04,13
2016-11-05,10
2016-11-06,7
2016-11-07,13
2016-11-08,19
2016-11-09,11
2016-11-10,9
2016-11-11,3
2016-11-12,9
2016-11-13,16
2016-11-14,13
2016-11-15,13
2016-11-16,8
2016-11-17,14
2016-11-18,12
2016-11-19,12
2016-11-20,14
2016-11-21,11
2016-11-22,25
2016-11-23,9
2016-11-24,16
2016-11-25,8
2016-11-27,18
2016-11-28,8
2016-11-29,15
2016-11-30,8
2016-12-01,9
2016-12-02,8
2016-12-03,7
2016-12-04,23
2016-12-05,12
2016-12-06,20
2016-12-07,4
2016-12-08,17
2016-12-09,10
2016-12-10,11
2016-12-11,17
2016-12-12,10
2016-12-13,13
2016-12-14,12
2016-12-15,14
2016-12-16,9
2016-12-17,6
2016-12-18,16
2016-12-19,14
2016-12-20,19
2016-12-21,6
2016-12-22,16
2016-12-23,11
2016-12-24,7
2016-12-25,13
2016-12-26,7
2016-12-27,17
2016-12-28,4
2016-12-29,12
2017-01-03,17
2017-01-04,8
2017-01-05,8
2017-01-06,6
2017-01-07,16
2017-01-08,16
2017-01-09,15
2017-01-10,20
2017-01-11,16
2017-01-12,13
2017-01-13,11
2017-01-14,6
2017-01-15,19
2017-01-16,15
2017-01-17,20
2017-01-18,13
2017-01-19,11
2017-01-20,9
2017-01-21,9
2017-01-22,20
2017-01-23,12
2017-01-24,13
2017-01-25,11
2017-01-26,10
2017-01-27,8
2017-01-28,18
2017-01-29,23
2017-01-30,6
2017-01-31,21
2017-02-01,8
2017-02-02,8
2017-02-03,10
2017-02-04,10
2017-02-05,8
2017-02-06,12
2017-02-07,14
2017-02-08,12
2017-02-09,5
2017-02-10,8
2017-02-11,13
2017-02-12,10
2017-02-13,4
2017-02-14,10
2017-02-15,7
2017-02-16,11
2017-02-17,7
2017-02-18,3
2017-02-19,17
2017-02-20,8
2017-02-21,15
2017-02-22,10
2017-02-23,6
