date,visitors
2016-01-01,102
2016-01-02,85
2016-01-03,96
2016-01-04,84
2016-01-05,43
2016-01-06,41
2016-01-07,30
2016-01-08,39
2016-01-09,99
2016-01-10,104
2016-01-11,75
2016-01-12,20
2016-01-13,24
2016-01-14,57
2016-01-15,21
2016-01-16,86
2016-01-17,94
2016-01-18,9
2016-01-19,41
2016-01-20,47
2016-01-21,28
2016-01-22,45
2016-01-23,47
2016-01-24,121
2016-01-25,43
2016-01-26,23
2016-01-27,38
2016-01-28,37
2016-01-29,13
2016-01-30,84
2016-01-31,84
2016-02-01,64
2016-02-02,37
2016-02-03,21
2016-02-04,46
2016-02-05,50
2016-02-06,94
2016-02-07,92
2016-02-08,31
2016-02-09,64
2016-02-10,81
2016-02-11,78
2016-02-12,51
2016-02-13,87
2016-02-14,52
2016-02-15,37
2016-02-16,37
2016-02-17,44
2016-02-18,44
2016-02-19,53
2016-02-20,53
2016-02-21,85
2016-02-22,25
2016-02-23,42
2016-02-24,49
2016-02-25,49
2016-02-26,59
2016-02-27,113
2016-02-28,79
2016-02-29,32
2016-03-01,37
2016-03-02,21
2016-03-03,28
2016-03-04,44
2016-03-05,91
2016-03-06,81
2016-03-07,24
2016-03-08,52
2016-03-09,26
2016-03-10,38
2016-03-11,25
2016-03-12,96
2016-03-13,79
2016-03-14,37
2016-03-15,43
2016-03-16,36
2016-03-17,43
2016-03-18,30
2016-03-19,79
2016-03-20,118
2016-03-21,82
2016-03-22,44
2016-03-23,60
2016-03-24,72
2016-03-25,49
2016-03-26,109
2016-03-27,79
2016-03-28,50
2016-03-29,70
2016-03-30,43
2016-03-31,49
2016-04-01,48
2016-04-02,103
2016-04-03,96
2016-04-04,32
2016-04-05,34
2016-04-06,40
2016-04-07,32
2016-04-08,38
2016-04-09,94
2016-04-10,77
2016-04-11,20
2016-04-12,18
2016-04-13,27
2016-04-14,23
2016-04-15,52
2016-04-16,117
2016-04-17,85
2016-04-18,24
2016-04-19,40
2016-04-20,22
2016-04-21,30
2016-04-22,21
2016-04-23,109
2016-04-24,97
2016-04-25,27
2016-04-26,34
2016-04-27,17
2016-04-28,19
2016-04-29,139
2016-04-30,88
2016-05-01,115
2016-05-02,43
2016-05-03,117
2016-05-04,79
2016-05-05,95
2016-05-06,32
2016-05-07,90
2016-05-08,96
2016-05-09,14
2016-05-10,22
2016-05-11,60
2016-05-12,36
2016-05-13,20
2016-05-14,63
2016-05-15,79
2016-05-16,23
2016-05-17,13
2016-05-18,34
2016-05-19,23
2016-05-20,48
2016-05-21,80
2016-05-22,80
2016-05-23,21
2016-05-24,24
2016-05-25,27
2016-05-26,50
2016-05-27,28
2016-05-28,48
2016-05-29,51
2016-05-30,23
2016-05-31,17
2016-06-01,23
2016-06-02,29
2016-06-03,18
2016-06-04,50
2016-06-05,52
2016-06-06,9
2016-06-07,24
2016-06-08,26
2016-06-09,25
2016-06-10,14
2016-06-11,74
2016-06-12,47
2016-06-13,27
2016-06-14,28
2016-06-15,28
2016-06-16,24
2016-06-17,32
2016-06-18,48
2016-06-19,50
2016-06-20,27
2016-06-21,8
2016-06-22,16
2016-06-23,14
2016-06-24,27
2016-06-25,53
2016-06-26,47
2016-06-27,23
2016-06-28,21
2016-06-29,16
2016-06-30,23
2016-07-01,15
2016-07-02,56
2016-07-03,52
2016-07-04,15
2016-07-05,41
2016-07-06,61
2016-07-07,13
2016-07-08,21
2016-07-09,48
2016-07-10,100
2016-07-11,13
2016-07-12,15
2016-07-13,20
2016-07-14,6
2016-07-15,11
2016-07-16,60
2016-07-17,56
2016-07-18,41
2016-07-19,12
2016-07-20,17
2016-07-21,17
2016-07-22,17
2016-07-23,40
2016-07-24,55
2016-07-25,19
2016-07-26,19
2016-07-27,14
2016-07-28,44
2016-07-29,28
2016-07-30,51
2016-07-31,42
2016-08-01,22
2016-08-02,23
2016-08-03,25
2016-08-04,19
2016-08-05,20
2016-08-06,29
2016-08-07,39
2016-08-08,21
2016-08-09,20
2016-08-10,38
2016-08-11,55
2016-08-12,32
2016-08-13,54
2016-08-14,59
2016-08-15,26
2016-08-16,19
2016-08-17,22
2016-08-18,6
2016-08-19,27
2016-08-20,37
2016-08-21,49
2016-08-23,14
2016-08-24,37
2016-08-25,55
2016-08-26,35
2016-08-27,49
2016-08-28,59
2016-08-29,7
2016-08-30,9
2016-08-31,15
2016-09-01,16
2016-09-02,40
2016-09-03,51
2016-09-04,51
2016-09-05,12
2016-09-06,17
2016-09-07,17
2016-09-08,22
2016-09-09,12
2016-09-10,57
2016-09-11,48
2016-09-12,19
2016-09-13,11
2016-09-14,27
2016-09-15,39
2016-09-16,30
2016-09-17,60
2016-09-18,59
2016-09-19,45
2016-09-20,11
2016-09-21,10
2016-09-22,35
2016-09-23,17
2016-09-24,40
2016-09-25,54
2016-09-26,18
2016-09-27,45
2016-09-28,49
2016-09-29,12
2016-09-30,20
2016-10-01,78
2016-10-02,73
2016-10-03,20
2016-10-04,42
2016-10-05,22
2016-10-06,25
2016-10-07,20
2016-10-08,46
2016-10-09,51
2016-10-10,85
2016-10-11,8
2016-10-12,35
2016-10-13,16
2016-10-14,16
2016-10-15,47
2016-10-16,56
2016-10-17,9
2016-10-18,28
2016-10-19,19
2016-10-20,19
2016-10-21,21
2016-10-22,46
2016-10-23,54
2016-10-24,30
2016-10-25,15
2016-10-26,23
2016-10-27,26
2016-10-28,20
2016-10-29,54
2016-10-30,50
2016-10-31,17
2016-11-01,23
2016-11-02,16
2016-11-03,60
2016-11-04,28
2016-11-05,33
2016-11-06,48
2016-11-07,15
2016-11-08,16
2016-11-09,14
2016-11-10,16
2016-11-11,14
2016-11-12,49
2016-11-13,50
2016-11-14,17
2016-11-15,9
2016-11-16,45
2016-11-17,32
2016-11-18,16
2016-11-19,26
2016-11-20,14
2016-11-22,15
2016-11-23,37
2016-11-24,7
2016-11-25,17
2016-11-26,55
2016-11-27,36
2016-11-28,15
2016-11-29,30
2016-11-30,26
2016-12-01,14
2016-12-02,15
2016-12-03,63
2016-12-04,50
2016-12-05,13
2016-12-06,15
2016-12-07,14
2016-12-08,24
2016-12-09,25
2016-12-10,37
2016-12-11,26
2016-12-12,11
2016-12-13,11
2016-12-14,13
2016-12-15,24
2016-12-16,44
2016-12-17,43
2016-12-18,47
2016-12-19,9
2016-12-20,24
