date,visitors
2016-07-01,10
2016-07-02,12
2016-07-03,1
2016-07-05,9
2016-07-06,9
2016-07-07,5
2016-07-08,6
2016-07-09,1
2016-07-12,13
2016-07-13,8
2016-07-14,5
2016-07-15,5
2016-07-16,9
2016-07-17,7
2016-07-19,10
2016-07-20,10
2016-07-21,9
2016-07-22,4
2016-07-23,10
2016-07-24,2
2016-07-26,6
2016-07-27,9
2016-07-28,7
2016-07-29,9
2016-07-30,14
2016-07-31,3
2016-08-02,7
2016-08-03,5
2016-08-04,11
2016-08-05,4
2016-08-06,8
2016-08-09,6
2016-08-10,8
2016-08-11,5
2016-08-12,11
2016-08-13,11
2016-08-14,2
2016-08-16,11
2016-08-17,5
2016-08-18,4
2016-08-19,7
2016-08-20,9
2016-08-21,1
2016-08-23,9
2016-08-24,12
2016-08-25,6
2016-08-26,7
2016-08-27,10
2016-08-28,2
2016-08-30,8
2016-08-31,8
2016-09-01,5
2016-09-02,7
2016-09-03,11
2016-09-04,9
2016-09-06,7
2016-09-07,5
2016-09-08,11
2016-09-09,5
2016-09-10,9
2016-09-11,3
2016-09-13,11
2016-09-14,8
2016-09-15,6
2016-09-16,6
2016-09-17,11
2016-09-18,1
2016-09-20,11
2016-09-21,7
2016-09-22,9
2016-09-23,6
2016-09-24,16
2016-09-25,3
2016-09-27,10
2016-09-28,6
2016-09-29,6
2016-09-30,10
2016-10-01,13
2016-10-04,11
2016-10-05,10
2016-10-06,10
2016-10-07,8
2016-10-08,10
2016-10-09,1
2016-10-11,9
2016-10-12,4
2016-10-13,9
2016-10-14,6
2016-10-15,9
2016-10-16,2
2016-10-18,7
2016-10-19,14
2016-10-20,8
2016-10-21,11
2016-10-22,9
2016-10-23,1
2016-10-25,13
2016-10-26,11
2016-10-27,5
2016-10-28,17
2016-10-29,9
2016-10-30,4
2016-11-01,6
2016-11-02,6
2016-11-03,12
2016-11-04,8
2016-11-05,9
2016-11-08,7
2016-11-09,6
2016-11-11,7
2016-11-12,31
2016-11-13,40
2016-11-14,50
2016-11-17,8
2016-11-18,6
2016-11-19,15
2016-11-20,1
2016-11-22,12
2016-11-23,13
2016-11-24,5
2016-11-25,9
2016-11-26,7
2016-11-29,7
2016-11-30,10
2016-12-01,6
2016-12-02,3
2016-12-03,13
2016-12-06,9
2016-12-07,5
2016-12-08,6
2016-12-09,3
2016-12-10,14
2016-12-13,5
2016-12-14,7
2016-12-15,9
2016-12-16,6
2016-12-17,8
2016-12-20,5
2016-12-21,2
2016-12-22,11
2016-12-23,7
2016-12-24,9
2016-12-25,2
2016-12-27,9
2016-12-28,15
2017-01-03,15
2017-01-04,4
2017-01-05,6
2017-01-06,4
2017-01-07,6
2017-01-10,7
2017-01-11,5
2017-01-12,3
2017-01-13,13
2017-01-14,13
2017-01-15,3
2017-01-17,8
2017-01-18,8
2017-01-19,8
2017-01-20,8
2017-01-21,8
2017-01-24,11
2017-01-25,6
2017-01-26,8
2017-01-27,5
2017-01-28,11
2017-01-31,10
2017-02-01,8
2017-02-02,8
2017-02-03,10
2017-02-04,5
2017-02-05,4
2017-02-07,9
2017-02-08,10
2017-02-09,3
2017-02-10,7
2017-02-11,15
2017-02-14,9
2017-02-15,8
2017-02-16,2
2017-02-17,7
2017-02-18,12
2017-02-19,4
2017-02-21,11
2017-02-22,5
2017-02-23,5
2017-02-24,11
2017-02-25,7
2017-02-26,6
2017-02-28,9
2017-03-01,9
2017-03-02,10
2017-03-03,11
