date,visitors
2016-07-01,12
2016-07-02,7
2016-07-03,17
2016-07-05,7
2016-07-06,7
2016-07-07,15
2016-07-08,7
2016-07-09,8
2016-07-10,9
2016-07-12,6
2016-07-13,11
2016-07-14,6
2016-07-15,10
2016-07-16,19
2016-07-17,5
2016-07-19,12
2016-07-20,6
2016-07-21,13
2016-07-22,13
2016-07-23,3
2016-07-24,6
2016-07-26,13
2016-07-27,4
2016-07-28,4
2016-07-29,6
2016-07-30,9
2016-07-31,11
2016-08-02,3
2016-08-03,4
2016-08-04,7
2016-08-05,7
2016-08-06,8
2016-08-07,6
2016-08-09,8
2016-08-10,9
2016-08-11,4
2016-08-12,3
2016-08-13,8
2016-08-14,4
2016-08-17,3
2016-08-18,11
2016-08-19,8
2016-08-20,8
2016-08-21,5
2016-08-23,3
2016-08-24,6
2016-08-25,3
2016-08-26,7
2016-08-27,7
2016-08-28,5
2016-08-30,9
2016-08-31,4
2016-09-01,2
2016-09-02,8
2016-09-03,5
2016-09-04,5
2016-09-06,3
2016-09-07,1
2016-09-08,13
2016-09-09,4
2016-09-10,9
2016-09-11,4
2016-09-13,4
2016-09-14,1
2016-09-15,11
2016-09-16,7
2016-09-17,5
2016-09-18,16
2016-09-20,4
2016-09-21,4
2016-09-22,5
2016-09-23,9
2016-09-24,7
2016-09-25,7
2016-09-27,7
2016-09-28,3
2016-09-29,13
2016-09-30,4
2016-10-01,7
2016-10-02,17
2016-10-04,9
2016-10-05,6
2016-10-06,7
2016-10-07,6
2016-10-09,5
2016-10-29,16
2016-10-30,14
2016-10-31,1
2016-11-01,8
2016-11-02,10
2016-11-03,8
2016-11-04,8
2016-11-05,11
2016-11-06,4
2016-11-08,2
2016-11-09,5
2016-11-10,5
2016-11-11,8
2016-11-12,13
2016-11-13,8
2016-11-14,1
2016-11-15,5
2016-11-16,9
2016-11-17,2
2016-11-18,14
2016-11-19,6
2016-11-20,9
2016-11-22,5
2016-11-23,10
2016-11-24,13
2016-11-25,9
2016-11-26,3
2016-11-27,7
2016-11-29,5
2016-12-01,5
2016-12-02,10
2016-12-03,6
2016-12-04,11
2016-12-06,10
2016-12-07,4
2016-12-08,14
2016-12-09,13
2016-12-10,4
2016-12-11,6
2016-12-13,5
2016-12-14,10
2016-12-15,12
2016-12-16,3
2016-12-17,6
2016-12-18,12
2016-12-20,6
2016-12-21,12
2016-12-22,19
2016-12-23,8
2016-12-24,13
2016-12-25,6
2016-12-27,12
2016-12-28,12
2016-12-29,13
2016-12-30,1
2017-01-02,9
2017-01-03,11
2017-01-04,8
2017-01-05,5
2017-01-06,9
2017-01-07,6
2017-01-08,2
2017-01-10,5
2017-01-11,3
2017-01-12,7
2017-01-13,4
2017-01-14,9
2017-01-15,5
2017-01-17,2
2017-01-18,10
2017-01-19,5
2017-01-20,3
2017-01-21,2
2017-01-22,5
2017-01-24,10
2017-01-26,13
2017-01-27,10
2017-01-28,10
2017-01-29,13
2017-01-30,2
2017-01-31,8
2017-02-01,8
2017-02-02,6
2017-02-03,7
2017-02-04,5
2017-02-05,15
2017-02-06,1
2017-02-07,12
2017-02-08,3
2017-02-09,6
2017-02-10,8
2017-02-11,11
2017-02-12,3
2017-02-14,8
2017-02-15,6
2017-02-16,12
2017-02-18,9
2017-02-19,17
2017-02-21,6
2017-02-24,9
2017-02-25,4
