date,visitors
2016-07-01,11
2016-07-02,17
2016-07-03,4
2016-07-04,7
2016-07-05,5
2016-07-06,8
2016-07-07,7
2016-07-08,11
2016-07-09,4
2016-07-10,11
2016-07-11,1
2016-07-12,8
2016-07-13,8
2016-07-14,4
2016-07-15,9
2016-07-16,19
2016-07-17,15
2016-07-18,8
2016-07-19,7
2016-07-20,12
2016-07-21,11
2016-07-22,14
2016-07-23,16
2016-07-24,9
2016-07-25,1
2016-07-26,13
2016-07-27,6
2016-07-28,19
2016-07-29,10
2016-07-30,49
2016-07-31,16
2016-08-02,8
2016-08-03,9
2016-08-04,10
2016-08-05,8
2016-08-06,17
2016-08-07,14
2016-08-08,1
2016-08-09,6
2016-08-10,15
2016-08-11,28
2016-08-12,14
2016-08-13,21
2016-08-14,3
2016-08-15,1
2016-08-16,13
2016-08-17,8
2016-08-18,11
2016-08-19,15
2016-08-20,18
2016-08-21,9
2016-08-22,5
2016-08-23,7
2016-08-24,12
2016-08-25,1
2016-08-26,8
2016-08-27,12
2016-08-28,11
2016-08-29,4
2016-08-30,3
2016-08-31,10
2016-09-01,16
2016-09-02,7
2016-09-03,7
2016-09-04,9
2016-09-05,8
2016-09-06,4
2016-09-07,8
2016-09-08,8
2016-09-09,14
2016-09-10,7
2016-09-11,10
2016-09-12,3
2016-09-13,8
2016-09-14,7
2016-09-15,7
2016-09-16,5
2016-09-17,9
2016-09-18,10
2016-09-19,2
2016-09-20,8
2016-09-21,4
2016-09-22,13
2016-09-23,3
2016-09-24,15
2016-09-25,19
2016-09-26,4
2016-09-27,12
2016-09-28,3
2016-09-29,2
2016-09-30,13
2016-10-01,30
2016-10-02,7
2016-10-03,7
2016-10-04,5
2016-10-05,9
2016-10-06,13
2016-10-07,5
2016-10-08,27
2016-10-09,8
2016-10-10,8
2016-10-11,3
2016-10-12,10
2016-10-13,6
2016-10-14,4
2016-10-15,22
2016-10-16,11
2016-10-17,2
2016-10-18,7
2016-10-19,6
2016-10-20,7
2016-10-21,16
2016-10-22,12
2016-10-23,16
2016-10-24,3
2016-10-25,9
2016-10-26,10
2016-10-27,7
2016-10-28,10
2016-10-29,9
2016-10-30,6
2016-10-31,2
2016-11-01,11
2016-11-02,8
2016-11-03,23
2016-11-04,2
2016-11-05,23
2016-11-06,5
2016-11-07,4
2016-11-08,6
2016-11-09,4
2016-11-10,4
2016-11-11,12
2016-11-12,20
2016-11-13,11
2016-11-14,4
2016-11-15,9
2016-11-16,6
2016-11-17,9
2016-11-18,11
2016-11-19,7
2016-11-20,7
2016-11-21,3
2016-11-22,12
2016-11-23,3
2016-11-24,19
2016-11-25,19
2016-11-26,19
2016-11-27,5
2016-11-28,7
2016-11-29,8
2016-11-30,9
2016-12-01,4
2016-12-02,3
2016-12-03,22
2016-12-04,3
2016-12-05,7
2016-12-06,4
2016-12-07,9
2016-12-08,5
2016-12-09,17
2016-12-10,10
2016-12-11,10
2016-12-12,8
2016-12-13,11
2016-12-14,10
2016-12-15,8
2016-12-16,14
2016-12-17,15
2016-12-18,6
2016-12-19,4
2016-12-20,5
2016-12-21,19
2016-12-22,11
2016-12-23,27
2016-12-24,11
2016-12-25,5
2016-12-26,8
2016-12-27,18
2016-12-28,7
2016-12-29,28
2016-12-30,6
2016-12-31,22
2017-01-03,3
2017-01-04,12
2017-01-05,10
2017-01-06,11
2017-01-07,25
2017-01-08,10
2017-01-09,7
2017-01-10,13
2017-01-11,17
2017-01-12,8
2017-01-13,12
2017-01-14,10
2017-01-15,14
2017-01-16,3
2017-01-17,4
2017-01-18,12
2017-01-19,6
2017-01-20,8
2017-01-21,11
2017-01-22,9
2017-01-23,2
2017-01-24,6
2017-01-25,4
2017-01-26,5
2017-01-27,13
2017-01-28,26
2017-01-29,15
2017-01-30,7
2017-01-31,12
2017-02-01,3
2017-02-02,9
2017-02-03,15
2017-02-04,17
2017-02-05,6
2017-02-06,3
2017-02-07,10
2017-02-08,19
2017-02-09,16
2017-02-10,4
2017-02-11,12
2017-02-12,4
2017-02-13,7
2017-02-14,10
2017-02-15,16
2017-02-16,11
2017-02-17,4
2017-02-18,8
2017-02-19,4
2017-02-20,4
2017-02-21,14
2017-02-22,5
